#
# Alpha Centauri A&B Ephemeris
# Frame: Alpha Cen A
#
# xOrb = Alpha Cen B orbit x (E-W) position relative to Alpha Cen A [arcsec]
# yOrb = Alpha Cen B orbit y (N-S) position relative to Alpha Cen A [arcsec]
#
 xOrb        yOrb
 16.3501453  11.3087177
 15.7199144  11.1798220
 15.4562531  11.1187181
 14.7118292  10.9339371
 13.9868164  10.7324667
 13.0790043  10.4483137
 12.6369886  10.2954597
 12.2618608  10.1691532
 10.4361906  9.49621010
 5.87078667  7.51967192
 5.40480947  7.29619265
 5.18606329  7.19594669
 4.98281765  7.09509897
 4.45619154  6.83578444
 3.14399672  6.17577362
 2.88758898  6.04581070
 2.68307185  5.94235039
 2.34011531  5.76300764
 2.08304644  5.61613894
 1.66603756  5.39877939
 1.31093884  5.20752668
 0.93369180  5.00363064
 0.67347723  4.85349655
 0.15391005  4.56740761
-0.24282553  4.34321737
-0.58313602  4.14922333
-1.10389280  3.84466124
-1.48241222  3.61808705
-2.20311236  3.18169689
-2.51591206  2.99303985
-2.85959220  2.76823640
-3.13009477  2.60142446
-3.60128164  2.29426908
-3.85669899  2.13868475
-4.74845648  1.53370738
-4.90710115  1.42564428
-5.48477888  1.02644920
-6.07067871  0.59737545
-7.01999760 -0.00612611
-7.88802767 -0.71092677
-8.45268917 -1.21805120
-8.93691254 -1.81823552
-9.09018993 -2.05690026
-9.78514385 -3.15108824
-9.83260155 -3.44910884
-9.76143074 -3.78620958
-9.55105591 -3.98746109
-9.42113400 -4.06323051
-9.21602345 -4.13218212
-8.55087185 -4.20755100
-7.81928253 -4.16634321
-6.44568157 -3.93137312
-5.32704592 -3.65433717
-3.66288781 -3.14835715
-2.74041462 -2.83085299
-2.33697653 -2.68554282
-1.70200729 -2.44613385
-1.24655330 -2.27028728
-1.01889122 -2.18402410
-0.45727726 -1.95729339
-0.35268172 -1.91784143
-0.22716026 -1.8662256
 0.16181644 -1.70232654
 0.31664815 -1.63970542
 0.87802696 -1.39698541
 1.00589001 -1.34557986
 1.33871138 -1.20326710
 3.11468792 -0.39789527
 3.55479050 -0.19252051
 4.92745876  0.47185677
 5.38440752  0.70217889
 6.90237331  1.48352265
 7.53333330  1.81972265
 8.10496140  2.12932158
 8.88810158  2.56206107
 11.2581673  3.94696999
 11.6329346  4.17665100
 13.7145653  5.56333494
 14.6527557  6.24993181
 16.8569260  7.93227196
 17.3512783  8.47403049
 18.1832981  9.13729763
 18.5054321  9.51866817
 18.7349281  9.83605766
 19.0134907  10.3751030
 19.0744286  10.8005829
 19.0217495  10.9733610
 18.9321747  11.1074419
 18.7967587  11.2184629
 18.4055939  11.3808460
 17.8500175  11.4375229
 17.5274620  11.4390974
 17.1708508  11.4169321
 16.7705479  11.3673353
 16.3501453  11.3087177
