#
# Alpha Centauri A,B observed positions
# From See 1893, MNRAS, 54, 102.
#
# Year: epoch in decimal years
# xCenB: x [E-W] coordinate of Alpha Cen B relative to Alpha Cen A [arcsec]
# yCenB: y [N-S] coordinate of Alpha Cen B relative to Alpha Cen A [arcsec]
#
Year        xCenB       yCenB
1752.19995  16.1973000  12.5820351
1822.00000  25.1331406  13.9602213
1824.00000  18.4168892  12.8382540
1826.01001  18.9003773  12.1152086
1830.01001  16.4334240  11.3112841
1831.00000  18.3687286  13.0974550
1832.16003  16.0854187  11.6310711
1833.00000  14.9144459  11.2306814
1834.32996  14.2639818  10.6980238
1834.44995  13.7297964  10.8509302
1835.07996  13.5907936  10.7526388
1835.89001  13.2008142  10.7433195
1836.60999  12.8726826  10.7327375
1837.21997  12.5167656  10.5812416
1840.00000  10.8186722  10.0111895
1846.20996  6.74463511  8.63895226
1846.80005  5.62867355  7.72733068
1847.08997  5.30735874  7.67338562
1847.35999  5.45517635  7.54434586
1848.00000  4.31696224  6.79458189
1849.63000  2.71638322  5.60661793
1849.94995  2.96054149  6.34312153
1850.19995  2.92780113  6.27011824
1850.38000  2.74346256  6.24386215
1850.41003  3.69438076  6.84689379
1850.62000  2.32948518  5.95026016
1850.93005  1.96655881  5.61561584
1851.09998  1.89253306  5.67262888
1851.43994  1.70681119  5.69993830
1851.87000  1.32471156  5.36898899
1851.94995  1.04262388  4.98207140
1852.32996  0.85763299  5.16933870
1852.64001  0.63216817  4.99011707
1853.27002  0.10394667  4.68884802
1853.75000 -0.17973566  4.43636084
1854.16003 -0.59588462  4.28880167
1854.79004 -1.06466150  4.05248022
1855.25000 -1.55555713  3.99804235
1856.13000 -2.14414787  3.30548501
1856.51001 -2.51773858  3.01759720
1856.93994 -2.72916365  3.01936531
1857.27002 -3.20433354  2.77666068
1857.85999 -3.43947148  2.30426455
1858.17004 -3.81025147  2.18038559
1859.32996 -4.82929993  1.70066452
1859.52002 -4.66629696  1.55950987
1859.96997 -4.84722614  1.22653985
1860.27002 -5.49266243  1.18956184
1861.06995 -6.02215147  0.83671158
1861.43994 -6.21826220  0.72167730
1862.41003 -7.16969299  0.06632147
1863.03003 -7.19857454 -0.14324715
1863.75000 -8.46829796 -0.73343408
1864.10999 -7.81320047 -0.75920778
1865.56006 -9.51218033 -2.91906095
1866.06006 -9.13344193 -1.75221181
1868.38000 -10.0111113 -2.37944436
1868.51001 -10.2475529 -4.05315590
1869.13000 -9.90491581 -3.17058873
1870.09998 -9.60769749 -3.54256177
1870.60999 -9.38209343 -3.71273947
1870.65002 -9.39080048 -4.27963448
1870.75000 -9.67561436 -3.97417831
1871.18005 -9.04767132 -3.86849427
1871.48999 -9.01574993 -3.89212632
1872.51001 -9.13528442 -4.16511488
1873.25000 -7.86478662 -4.16594791
1874.31006 -6.90600300 -3.99844027
1875.02002 -5.65137243 -3.81764245
1875.93994 -5.18178320 -4.21562862
1876.41003 -2.97777987 -3.17101336
1876.60999 -2.61786652 -3.22013569
1876.92004 -2.56447482 -3.96255827
1877.14001 -1.42588282 -2.97604728
1877.25000 -1.12475097 -2.92093062
1877.52002 -0.77707272 -2.48116040
1877.56006 -0.47141659 -2.05666375
1877.56995 -0.35741663 -2.09979844
1877.58997 -0.27821368 -1.87952042
1877.63000 -0.29244187 -1.91783154
1877.81995  0.22449700 -1.83632815
1877.89001  0.30827817 -1.59039760
1878.16003  0.79888039 -1.57945883
1878.21997  0.96525770 -1.69433701
1878.28003  1.06817114 -1.41135049
1878.38000  1.80992806 -1.57612205
1879.25000  3.39284277 -0.34164068
1879.46997  3.38746953 -0.39134329
1880.18005  5.20876360  0.34231314
1880.39001  5.53833199  0.49038595
1880.45996  5.50031662  0.46574306
1881.28003  4.99676895  0.85860359
1881.54004  7.40575409  1.30583644
1881.65002  7.73587418  1.78881347
1882.00000  7.97000742  2.05228353
1882.21997  8.42364407  2.17536449
1882.50000  8.77455997  2.48625994
1884.18994  11.3158569  3.87207723
1884.43005  11.6212168  4.09019613
1884.53003  12.1739750  4.35651875
1885.56006  13.1429892  4.96632147
1886.27002  13.7664909  5.67413616
1886.38000  13.8244820  5.11383390
1886.54004  14.0159388  5.50972700
1886.58997  14.1183119  5.54997063
1887.41003  14.7781305  6.00077963
1887.68994  14.8670559  6.10045481
1888.30005  15.4918604  6.67826223
1888.63000  15.7765017  6.64803934
1889.44995  16.3064690  7.40723753
1890.48999  17.0210762  7.91175699
1890.73999  17.0031147  7.75952482
1891.50000  17.3003120  8.44166660
1892.30005  17.4767151  8.69453144
1892.40002  17.8228054  8.46289062
1892.44995  17.8216057  8.51192474
1892.57996  17.7587910  8.59641075
1892.76001  17.9551716  8.71856308
1893.20996  17.8716221  9.06679440
1893.20996  18.0560322  9.10099125
1893.33997  17.8425770  8.85713673
1893.42004  18.1485252  9.13966274
1893.50000  18.2270203  9.13935566
