#
# Stars with well-determined mass-loss rates
# Source: Cranmer & Saar 2011
#
# Column 1: ID number: large negative integer = HIP,
#                      positive integer = HD,
#                      others explained in references
# Column 2: Teff [Kelvin]
# Column 3: log (L/L_sun)
# Column 4: log (Mdot) [units = Msun/Myr]
#
starID   Teff     logL    logMdot
-112460   3168   -1.907   -7.70  
-105993   5420    1.676   -2.68  
-102082   1880    4.40    0.80   
-92194    2650    4.05    0.00   
-90883    2310    4.06    -0.10  
-87820    1850    4.22    0.91   
-85487    5250    1.725   -2.95  
-84876    2510    4.02    0.08   
-77739    4930    2.037   -2.91  
-75263    5130    1.408   -2.76  
-74003    4550    2.611   -1.65  
-69746    4600    2.581   -2.43  
-66378    4840    2.352   -2.24  
-63758    4610    2.439   -2.15  
-63385    4920    1.903   -3.06  
-58682    4860    1.916   -2.94  
-53085    2160    4.242   0.88   
-43905    2405    4.25    -0.01  
-42975    2440    3.70    -0.17  
-34326    2440    3.85    -0.23  
-31349    2960    4.13    -0.08  
-27181    2735    4.29    0.20   
-26958    2530    3.83    -0.29  
-22796    2665    3.90    -0.24  
-22670    2880    4.09    -0.70  
-19931    2705    4.24    0.18   
-11582    2000    4.22    0.70   
-22       42000   6.09    0.59   
-12       12500   6.14    1.36   
-11       38550   6.00    0.88   
-10       31100   5.82    0.73   
-9        43100   6.34    1.06   
-8.3      43300   5.84    0.56   
-8.2      35700   5.58    0.55   
-8.1      38550   6.10    1.02   
-7        47450   6.09    1.05   
-5        37600   6.13    1.31   
-4        35550   5.44    0.26   
-3        35000   5.87    0.77   
-2        28700   4.88    -0.79  
0         5772    0.00    -7.70  
7.18      4190    3.208   -2.70  
10.49     4280    3.184   -2.72  
11.341    4300    3.183   -2.67  
11.421    4330    3.207   -2.72  
11.479    4270    3.224   -2.64  
11.757    4190    3.195   -2.88  
11.87     4610    2.708   -2.85  
11.969    4590    2.851   -2.86  
12.08     4430    2.896   -2.70  
12.34     4660    2.570   -2.92  
12.592    4460    2.689   -2.59  
12.72     4180    3.096   -2.56  
12.954    3940    3.329   -2.51  
12.96     4190    3.010   -2.32  
12.973    3910    3.377   -2.80  
108       36200   5.92    1.60   
0419.48   2700   -2.77   -8.22  
1026.00   3490   -2.08   -10.0  
1213.52   3440   -1.89   -10.0  
1546      2530    3.68    -0.85  
