#
# Lodders 2020 Solar Abundances
# Source: Lodders, K., 2021, Space Science Reviews, 217, 3, id 44, Table 3
#
# present = present-day abundances
# proto = proto-solar, 4.567 Gy ago
# datum -999 used to indicate no measureda bundnace
#
Z       Elem     present errP    proto   errProto
1       H        12      0.00    12      0.00
2       He       10.924  0.02    10.994  0.02
3       Li       3.27    0.03    3.35    0.03
4       Be       1.31    0.04    1.40    0.04
5       B        2.77    0.03    2.85    0.03
6       C        8.47    0.06    8.56    0.06
7       N        7.85    0.12    7.94    0.12
8       O        8.73    0.07    8.82    0.07
9       F        4.61    0.09    4.79    0.09
10      Ne       8.15    0.10    8.24    0.10
11      Na       6.27    0.03    6.36    0.03
12      Mg       7.52    0.02    7.61    0.02
13      Al       6.42    0.03    6.51    0.03
14      Si       7.51    0.01    7.60    0.01
15      P        5.43    0.03    5.52    0.03
16      S        7.15    0.03    7.24    0.03
17      Cl       5.23    0.06    5.32    0.06
18      Ar       6.50    0.10    6.59    0.10
19      K        5.07    0.02    5.16    0.02
20      Ca       6.27    0.03    6.36    0.03
21      Sc       3.04    0.03    3.13    0.03
22      Ti       4.90    0.03    4.99    0.03
23      V        3.95    0.03    4.04    0.03
24      Cr       5.63    0.02    5.72    0.02
25      Mn       5.47    0.03    5.56    0.03
26      Fe       7.45    0.02    7.54    0.02
27      Co       4.86    0.02    4.95    0.02
28      Ni       6.20    0.03    6.29    0.03
29      Cu       4.24    0.04    4.33    0.04
30      Zn       4.61    0.60    4.70    0.60
31      Ga       3.07    0.02    3.16    0.02
32      Ge       3.59    0.03    3.68    0.03
33      As       2.29    0.03    2.38    0.03
34      Se       3.34    0.03    3.43    0.03
35      Br       2.60    0.09    2.69    0.09
36      Kr       3.22    0.08    3.31    0.08
37      Rb       2.36    0.03    2.45    0.03
38      Sr       2.88    0.02    2.97    0.02
39      Y        2.15    0.02    2.24    0.02
40      Zr       2.55    0.04    2.64    0.04
41      Nb       1.4     0.04    1.49    0.04
42      Mo       1.92    0.04    2.01    0.04
43      Tc       -999    -999    -999    -999
44      Ru       1.77    0.01    1.86    0.01
45      Rh       1.04    0.02    1.13    0.02
46      Pd       1.65    0.02    1.74    0.02
47      Ag       1.21    0.02    1.29    0.02
48      Cd       1.71    0.02    1.80    0.02
49      In       0.76    0.02    0.85    0.02
50      Sn       2.07    0.03    2.15    0.03
51      Sb       1.06    0.05    1.15    0.05
52      Te       2.18    0.02    2.27    0.02
53      I        1.71    0.15    1.80    0.15
54      Xe       2.25    0.08    2.34    0.08
55      Cs       1.08    0.02    1.16    0.02
56      Ba       2.17    0.02    2.26    0.02
57      La       1.17    0.02    1.26    0.02
58      Ce       1.58    0.02    1.66    0.02
59      Pr       0.75    0.01    0.84    0.01
60      Nd       1.45    0.01    1.53    0.01
61      Pm       -999    -999    -999    -999
62      Sm       0.94    0.02    1.03    0.02
63      Eu       0.51    0.02    0.60    0.02
64      Gd       1.05    0.02    1.14    0.02
65      Tb       0.31    0.02    0.39    0.02
66      Dy       1.12    0.02    1.21    0.02
67      Ho       0.46    0.02    0.55    0.02
68      Er       0.92    0.02    1.01    0.02
69      Tm       0.11    0.02    0.20    0.02
70      Yb       0.91    0.02    1.00    0.02
71      Lu       0.09    0.02    0.18    0.02
72      Hf       0.70    0.03    0.79    0.03
73      Ta       -0.16   0.02    -0.07   0.02
74      W        0.67    0.04    0.76    0.04
75      Re       0.23    0.03    0.34    0.03
76      Os       1.33    0.03    1.41    0.03
77      Ir       1.31    0.02    1.40    0.02
78      Pt       1.60    0.03    1.69    0.03
79      Au       0.80    0.03    0.89    0.03
80      Hg       1.08    0.15    1.17    0.15
81      Tl       0.76    0.04    0.85    0.04
82      Pb       2.03    0.03    2.12    0.03
83      Bi       0.66    0.03    0.75    0.03
84      Po       -999    -999    -999    -999
85      At       -999    -999    -999    -999
86      Rn       -999    -999    -999    -999
87      Fr       -999    -999    -999    -999
88      Ra       -999    -999    -999    -999
89      Ac       -999    -999    -999    -999
90      Th       0.04    0.02    0.22    0.02
91      Pa       -999    -999    -999    -999
92      U        -0.54   0.03    -0.02   0.03
