#
# Lodders 2025 Solar Abundances
# Source: Lodders, K., 2025, Space Science Reviews, (arXiv 2502.10575)
#
# present = present-day abundances, table 6
# proto = proto-solar abundances, table 6
# datum -999 used to indicate no measured abundnace
#
Z       Elem     present errP    proto   errProto
1       H        12.000  0.004   12.000  0.004
2       He       10.922  0.012   10.992  0.012
3       Li       3.30    0.02    3.39    0.02
4       Be       1.37    0.02    1.46    0.02
5       B        2.81    0.05    2.90    0.05
6       C        8.51    0.09    8.60    0.09
7       N        7.94    0.11    8.03    0.11
8       O        8.76    0.05    8.85    0.05
9       F        4.66    0.09    4.75    0.09
10      Ne       8.15    0.12    8.24    0.12
11      Na       6.30    0.01    6.39    0.01
12      Mg       7.57    0.01    7.66    0.01
13      Al       6.46    0.03    6.55    0.03
14      Si       7.55    0.01    7.64    0.01
15      P        5.48    0.04    5.56    0.04
16      S        7.18    0.04    7.27    0.04
17      Cl       5.28    0.06    5.37    0.06
18      Ar       6.50    0.12    6.59    0.12
19      K        5.12    0.03    5.20    0.03
20      Ca       6.33    0.01    6.42    0.01
21      Sc       3.08    0.03    3.17    0.03
22      Ti       4.94    0.03    5.03    0.03
23      V        3.99    0.03    4.08    0.03
24      Cr       5.67    0.02    5.76    0.02
25      Mn       5.52    0.01    5.61    0.01
26      Fe       7.49    0.01    7.58    0.01
27      Co       4.91    0.02    5.00    0.02
28      Ni       6.25    0.01    6.34    0.01
29      Cu       4.29    0.05    4.38    0.05
30      Zn       4.65    0.03    4.74    0.03
31      Ga       3.11    0.03    3.20    0.03
32      Ge       3.64    0.03    3.72    0.03
33      As       2.34    0.04    2.43    0.04
34      Se       3.41    0.01    3.49    0.01
35      Br       2.65    0.09    2.73    0.09
36      Kr       3.31    0.12    3.40    0.12
37      Rb       2.39    0.02    2.49    0.02
38      Sr       2.93    0.01    3.02    0.01
39      Y        2.20    0.04    2.29    0.04
40      Zr       2.57    0.02    2.66    0.02
41      Nb       1.44    0.03    1.51    0.03
42      Mo       1.97    0.04    2.05    0.04
43      Tc       -999    -999    -999    -999
44      Ru       1.80    0.03    1.89    0.03
45      Rh       1.08    0.02    1.17    0.02
46      Pd       1.69    0.02    1.78    0.02
47      Ag       1.25    0.04    1.34    0.04
48      Cd       1.75    0.03    1.84    0.03
49      In       0.80    0.03    0.89    0.03
50      Sn       2.12    0.05    2.21    0.05
51      Sb       1.08    0.07    1.17    0.07
52      Te       2.23    0.02    2.32    0.02
53      I        1.76    0.15    1.84    0.15
54      Xe       2.30    0.12    2.39    0.12
55      Cs       1.12    0.02    1.20    0.03
56      Ba       2.22    0.02    2.30    0.02
57      La       1.22    0.02    1.31    0.02
58      Ce       1.63    0.02    1.71    0.02
59      Pr       0.80    0.02    0.89    0.02
60      Nd       1.50    0.02    1.58    0.02
61      Pm       -999    -999    -999    -999
62      Sm       0.99    0.02    1.08    0.02
63      Eu       0.57    0.02    0.66    0.02
64      Gd       1.10    0.02    1.19    0.02
65      Tb       0.36    0.02    0.44    0.02
66      Dy       1.17    0.02    1.26    0.02
67      Ho       0.51    0.02    0.60    0.02
68      Er       0.97    0.02    1.06    0.02
69      Tm       0.16    0.02    0.25    0.02
70      Yb       0.96    0.02    1.05    0.02
71      Lu       0.13    0.02    0.22    0.02
72      Hf       0.75    0.02    0.84    0.02
73      Ta      -0.11    0.02   -0.02    0.02
74      W        0.71    0.05    0.80    0.05
75      Re       0.30    0.02    0.41    0.02
76      Os       1.38    0.01    1.47    0.01
77      Ir       1.35    0.03    1.44    0.03
78      Pt       1.64    0.03    1.73    0.03
79      Au       0.85    0.04    0.94    0.04
80      Hg       1.14    0.13    1.22    0.13
81      Tl       0.81    0.04    0.90    0.04
82      Pb       2.07    0.03    2.16    0.03
83      Bi       0.70    0.03    0.79    0.03
84      Po       -999    -999    -999    -999
85      At       -999    -999    -999    -999
86      Rn       -999    -999    -999    -999
87      Fr       -999    -999    -999    -999
88      Ra       -999    -999    -999    -999
89      Ac       -999    -999    -999    -999
90      Th       0.09    0.04    0.27    0.04
91      Pa       -999    -999    -999    -999
92      U       -0.50    0.04    0.02    0.04
