#
# Spectrum of HD10032, spectral type F0v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       9.69797516E+00
3511.3999       9.69178867E+00
3512.8000       9.68953896E+00
3514.2000       9.68672657E+00
3515.6001       9.70022488E+00
3517.0000       9.72216034E+00
3518.3999       9.71316147E+00
3519.8000       9.67716599E+00
3521.2000       9.66029263E+00
3522.6001       9.65635490E+00
3524.0000       9.66872883E+00
3525.3999       9.68953896E+00
3526.8000       9.68953896E+00
3528.2000       9.68278980E+00
3529.6001       9.67041588E+00
3531.0000       9.67154121E+00
3532.3999       9.70809937E+00
3533.8000       9.74409485E+00
3535.2000       9.74634361E+00
3536.6001       9.71766090E+00
3538.0000       9.73790741E+00
3539.3999       9.75028133E+00
3540.8000       9.74465752E+00
3542.2000       9.74128246E+00
3543.6001       9.72722149E+00
3545.0000       9.72609711E+00
3546.3999       9.75365639E+00
3547.8000       9.76152992E+00
3549.2000       9.75590515E+00
3550.6001       9.75871754E+00
3552.0000       9.73790741E+00
3553.3999       9.71259880E+00
3554.8000       9.72159767E+00
3556.2000       9.74015808E+00
3557.6001       9.71484756E+00
3559.0000       9.70528698E+00
3560.3999       9.73453331E+00
3561.8000       9.73903275E+00
3563.2000       9.70584869E+00
3564.6001       9.67041588E+00
3566.0000       9.65635490E+00
3567.3999       9.64173222E+00
3568.8000       9.62598419E+00
3570.2000       9.62429714E+00
3571.6001       9.62767220E+00
3573.0000       9.63273335E+00
3574.3999       9.65241814E+00
3575.8000       9.67154121E+00
3577.2000       9.69122601E+00
3578.6001       9.69966316E+00
3580.0000       9.68672657E+00
3581.3999       9.66929150E+00
3582.8000       9.63442039E+00
3584.2000       9.60461235E+00
3585.6001       9.61811066E+00
3587.0000       9.64679432E+00
3588.3999       9.64510727E+00
3589.8000       9.63104630E+00
3591.2000       9.63948250E+00
3592.6001       9.66647911E+00
3594.0000       9.68785095E+00
3595.3999       9.68953896E+00
3596.8000       9.67885208E+00
3598.2000       9.68897629E+00
3599.6001       9.71822262E+00
3601.0000       9.72216034E+00
