#
# Spectrum of HD116608, spectral type A1v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       1.19926033E+01
3511.3999       1.19915123E+01
3512.8000       1.20172186E+01
3514.2000       1.20234022E+01
3515.6001       1.20076389E+01
3517.0000       1.20097008E+01
3518.3999       1.20153999E+01
3519.8000       1.20088520E+01
3521.2000       1.19792652E+01
3522.6001       1.19512548E+01
3524.0000       1.19250641E+01
3525.3999       1.19220324E+01
3526.8000       1.19272461E+01
3528.2000       1.19579239E+01
3529.6001       1.20013332E+01
3531.0000       1.19824181E+01
3532.3999       1.19554987E+01
3533.8000       1.19782953E+01
3535.2000       1.19938164E+01
3536.6001       1.19992723E+01
3538.0000       1.20032740E+01
3539.3999       1.20078812E+01
3540.8000       1.19859343E+01
3542.2000       1.20191584E+01
3543.6001       1.20474110E+01
3545.0000       1.20704498E+01
3546.3999       1.20562630E+01
3547.8000       1.19884806E+01
3549.2000       1.20293446E+01
3550.6001       1.20023041E+01
3552.0000       1.20293446E+01
3553.3999       1.20443802E+01
3554.8000       1.20118828E+01
3556.2000       1.20120049E+01
3557.6001       1.20083666E+01
3559.0000       1.20324965E+01
3560.3999       1.20157633E+01
3561.8000       1.19921188E+01
3563.2000       1.19672604E+01
3564.6001       1.19545288E+01
3566.0000       1.19706554E+01
3567.3999       1.19701710E+01
3568.8000       1.19562263E+01
3570.2000       1.19303989E+01
3571.6001       1.19199715E+01
3573.0000       1.19556198E+01
3574.3999       1.19872684E+01
3575.8000       1.19952707E+01
3577.2000       1.19881172E+01
3578.6001       1.19970894E+01
3580.0000       1.19888439E+01
3581.3999       1.19675035E+01
3582.8000       1.19557419E+01
3584.2000       1.19387655E+01
3585.6001       1.19421606E+01
3587.0000       1.19496784E+01
3588.3999       1.19839945E+01
3589.8000       1.20070324E+01
3591.2000       1.19892082E+01
3592.6001       1.19987869E+01
3594.0000       1.20229168E+01
3595.3999       1.20135803E+01
3596.8000       1.19807205E+01
3598.2000       1.19805984E+01
3599.6001       1.19946651E+01
3601.0000       1.19721107E+01
3602.3999       1.19715042E+01
3603.8000       1.19763546E+01
3605.2000       1.19439793E+01
3606.6001       1.19145145E+01
3608.0000       1.19099064E+01
3609.3999       1.19251852E+01
3610.8000       1.19388866E+01
3612.2000       1.19866619E+01
3613.6001       1.20275249E+01
3615.0000       1.20016975E+01
3616.3999       1.19785376E+01
3617.8000       1.19924822E+01
3619.2000       1.19926033E+01
3620.6001       1.19605923E+01
3622.0000       1.19384022E+01
3623.3999       1.19631386E+01
3624.8000       1.20110340E+01
3626.2000       1.20463200E+01
3627.6001       1.20341940E+01
3629.0000       1.20030308E+01
3630.3999       1.19459200E+01
3631.8000       1.19253063E+01
3633.2000       1.19648361E+01
3634.6001       1.19972115E+01
3636.0000       1.20306778E+01
3637.3999       1.20029106E+01
3638.8000       1.19974537E+01
3640.2000       1.19974537E+01
3641.6001       1.19653206E+01
3643.0000       1.19796295E+01
3644.3999       1.19780521E+01
3645.8000       1.19767189E+01
3647.2000       1.19816904E+01
3648.6001       1.19867830E+01
3650.0000       1.19911480E+01
3651.3999       1.19913902E+01
3652.8000       1.20231600E+01
3654.2000       1.20537167E+01
3655.6001       1.20362558E+01
3657.0000       1.20402565E+01
3658.3999       1.20475330E+01
3659.8000       1.20320110E+01
3661.2000       1.19807205E+01
3662.6001       1.19723530E+01
3664.0000       1.19896927E+01
3665.3999       1.19795074E+01
