#
# Spectrum of HD23524, spectral type K0v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       5.34619427E+00
3511.3999       5.35651875E+00
3512.8000       5.36608887E+00
3514.2000       5.36586285E+00
3515.6001       5.36104012E+00
3517.0000       5.35267544E+00
3518.3999       5.33504105E+00
3519.8000       5.31522274E+00
3521.2000       5.29193687E+00
3522.6001       5.27761841E+00
3524.0000       5.29238892E+00
3525.3999       5.32260704E+00
3526.8000       5.33843231E+00
3528.2000       5.34853077E+00
3529.6001       5.37558365E+00
3531.0000       5.38975143E+00
3532.3999       5.38892269E+00
3533.8000       5.38681221E+00
3535.2000       5.37920094E+00
3536.6001       5.38259220E+00
3538.0000       5.39148426E+00
3539.3999       5.39449883E+00
3540.8000       5.40896797E+00
3542.2000       5.41514683E+00
3543.6001       5.40120602E+00
3545.0000       5.39819145E+00
3546.3999       5.40022564E+00
3547.8000       5.40195942E+00
3549.2000       5.37558365E+00
3550.6001       5.34174824E+00
3552.0000       5.35011292E+00
3553.3999       5.37166500E+00
3554.8000       5.37339878E+00
3556.2000       5.36616421E+00
3557.6001       5.36571217E+00
3559.0000       5.37121296E+00
3560.3999       5.37249470E+00
3561.8000       5.34694767E+00
3563.2000       5.31017303E+00
3564.6001       5.29698563E+00
3566.0000       5.28892231E+00
3567.3999       5.27151489E+00
3568.8000       5.27784443E+00
3570.2000       5.29773903E+00
3571.6001       5.31341362E+00
3573.0000       5.32162762E+00
3574.3999       5.32162762E+00
3575.8000       5.30331612E+00
3577.2000       5.26608849E+00
3578.6001       5.24325562E+00
3580.0000       5.24702358E+00
3581.3999       5.24800301E+00
3582.8000       5.23443890E+00
3584.2000       5.22592354E+00
3585.6001       5.23911095E+00
3587.0000       5.27694035E+00
3588.3999       5.32886219E+00
3589.8000       5.35621738E+00
3591.2000       5.36963081E+00
3592.6001       5.38432503E+00
3594.0000       5.39570427E+00
3595.3999       5.40972137E+00
3596.8000       5.44544125E+00
3598.2000       5.45681953E+00
3599.6001       5.42780685E+00
3601.0000       5.38304424E+00
3602.3999       5.35101700E+00
3603.8000       5.34378338E+00
3605.2000       5.33006763E+00
3606.6001       5.29969883E+00
3608.0000       5.30836487E+00
3609.3999       5.33451366E+00
3610.8000       5.35975838E+00
3612.2000       5.38334560E+00
3613.6001       5.39397144E+00
3615.0000       5.35553837E+00
3616.3999       5.30384350E+00
3617.8000       5.28334618E+00
3619.2000       5.31175613E+00
3620.6001       5.35923100E+00
3622.0000       5.38869667E+00
3623.3999       5.41748333E+00
3624.8000       5.45267487E+00
3626.2000       5.44212532E+00
3627.6001       5.40693283E+00
3629.0000       5.36639023E+00
3630.3999       5.33541870E+00
3631.8000       5.32938957E+00
3633.2000       5.34996223E+00
3634.6001       5.37935162E+00
3636.0000       5.40693283E+00
3637.3999       5.42253208E+00
3638.8000       5.42456627E+00
3640.2000       5.41612625E+00
3641.6001       5.39472485E+00
3643.0000       5.36729431E+00
3644.3999       5.34815407E+00
3645.8000       5.33978939E+00
3647.2000       5.34076881E+00
3648.6001       5.36088943E+00
3650.0000       5.41062546E+00
3651.3999       5.45297623E+00
3652.8000       5.47098732E+00
3654.2000       5.48311996E+00
3655.6001       5.49766350E+00
3657.0000       5.51522255E+00
3658.3999       5.52516937E+00
3659.8000       5.51605129E+00
3661.2000       5.50045204E+00
3662.6001       5.49871922E+00
3664.0000       5.50150681E+00
3665.3999       5.49713612E+00
3666.8000       5.48357201E+00
3668.2000       5.47731686E+00
3669.6001       5.49058056E+00
3671.0000       5.51122856E+00
3672.3999       5.51160526E+00
3673.8000       5.49623203E+00
3675.2000       5.47339821E+00
3676.6001       5.42788219E+00
3678.0000       5.40429497E+00
3679.3999       5.40610409E+00
3680.8000       5.42208004E+00
3682.2000       5.43443871E+00
3683.6001       5.42494392E+00
3685.0000       5.39412212E+00
3686.3999       5.39457417E+00
3687.8000       5.41371536E+00
3689.2000       5.45282555E+00
3690.6001       5.48485279E+00
3692.0000       5.48960018E+00
3693.3999       5.48749065E+00
3694.8000       5.48372269E+00
3696.2000       5.47309685E+00
3697.6001       5.48952484E+00
3699.0000       5.50354195E+00
3700.3999       5.48801804E+00
3701.8000       5.45998478E+00
3703.2000       5.40459633E+00
3704.6001       5.35900497E+00
3706.0000       5.34310436E+00
3707.3999       5.35915565E+00
3708.8000       5.40098000E+00
3710.2000       5.47754288E+00
3711.6001       5.53323269E+00
3713.0000       5.54069328E+00
3714.3999       5.52042198E+00
3715.8000       5.47565937E+00
3717.2000       5.40527534E+00
3718.6001       5.32494354E+00
3720.0000       5.31024837E+00
3721.3999       5.34137154E+00
3722.8000       5.38010597E+00
3724.2000       5.40482330E+00
3725.6001       5.41431808E+00
3727.0000       5.42381287E+00
3728.3999       5.42878628E+00
3729.8000       5.40173340E+00
3731.2000       5.34453678E+00
3732.6001       5.27957821E+00
3734.0000       5.24581718E+00
3735.3999       5.25463486E+00
3736.8000       5.29178619E+00
3738.2000       5.34310436E+00
3739.6001       5.38025665E+00
3741.0000       5.37731743E+00
3742.3999       5.33752823E+00
3743.8000       5.29879379E+00
3745.2000       5.27098751E+00
3746.6001       5.26111507E+00
3748.0000       5.28085899E+00
3749.3999       5.33594608E+00
3750.8000       5.39984894E+00
3752.2000       5.44476223E+00
3753.6001       5.46895218E+00
3755.0000       5.45697021E+00
3756.3999       5.41183090E+00
3757.8000       5.37354946E+00
3759.2000       5.37761879E+00
3760.6001       5.38296890E+00
3762.0000       5.37889957E+00
3763.3999       5.37347412E+00
3764.8000       5.37776947E+00
3766.2000       5.39487553E+00
3767.6001       5.42795753E+00
3769.0000       5.45757389E+00
3770.3999       5.48568153E+00
3771.8000       5.51250935E+00
3773.2000       5.51537323E+00
3774.6001       5.51914120E+00
3776.0000       5.52750587E+00
3777.3999       5.53760338E+00
3778.8000       5.55079079E+00
3780.2000       5.56006050E+00
3781.6001       5.55674458E+00
3783.0000       5.53225327E+00
3784.3999       5.49140930E+00
3785.8000       5.44792747E+00
3787.2000       5.42185402E+00
3788.6001       5.42449093E+00
3790.0000       5.43654823E+00
3791.3999       5.43692493E+00
3792.8000       5.42456627E+00
3794.2000       5.41137886E+00
3795.6001       5.39487553E+00
3797.0000       5.39457417E+00
3798.3999       5.42358685E+00
3799.8000       5.46224594E+00
3801.2000       5.49427319E+00
3802.6001       5.52516937E+00
3804.0000       5.52539539E+00
3805.3999       5.49284077E+00
3806.8000       5.47897530E+00
3808.2000       5.49728680E+00
3809.6001       5.51145458E+00
3811.0000       5.48349667E+00
3812.3999       5.42486763E+00
3813.8000       5.37091160E+00
3815.2000       5.34611893E+00
3816.6001       5.36337566E+00
3818.0000       5.35915565E+00
3819.3999       5.34295368E+00
3820.8000       5.34664631E+00
3822.2000       5.34619427E+00
3823.6001       5.32110023E+00
3825.0000       5.28447628E+00
3826.3999       5.27430248E+00
3827.8000       5.28003025E+00
3829.2000       5.28010559E+00
3830.6001       5.27430248E+00
3832.0000       5.27709103E+00
3833.3999       5.29593086E+00
3834.8000       5.30926895E+00
3836.2000       5.30550098E+00
3837.6001       5.29487610E+00
3839.0000       5.30542564E+00
3840.3999       5.34438610E+00
3841.8000       5.38214016E+00
3843.2000       5.40482330E+00
3844.6001       5.41966820E+00
3846.0000       5.43157482E+00
3847.3999       5.42969131E+00
3848.8000       5.42675209E+00
3850.2000       5.43466473E+00
3851.6001       5.43406200E+00
3853.0000       5.41959286E+00
3854.3999       5.40218544E+00
3855.8000       5.37972832E+00
3857.2000       5.35124302E+00
3858.6001       5.34084415E+00
3860.0000       5.36970615E+00
3861.3999       5.41793537E+00
3862.8000       5.44333076E+00
3864.2000       5.44302940E+00
3865.6001       5.43345928E+00
3867.0000       5.42042160E+00
3868.3999       5.39367008E+00
3869.8000       5.36835003E+00
3871.2000       5.37385082E+00
3872.6001       5.41100216E+00
