#
# Spectrum of HD242908, spectral type O5v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       1.95348473E+01
3511.3999       1.95756168E+01
3512.8000       1.96280327E+01
3514.2000       1.96357994E+01
3515.6001       1.96105614E+01
3517.0000       1.95989132E+01
3518.3999       1.96377411E+01
3519.8000       1.96823921E+01
3521.2000       1.96338577E+01
3522.6001       1.96241512E+01
3524.0000       1.96668606E+01
3525.3999       1.97755775E+01
3526.8000       1.98046989E+01
3528.2000       1.97969322E+01
3529.6001       1.97483978E+01
3531.0000       1.95697918E+01
3532.3999       1.95600853E+01
3533.8000       1.96726856E+01
3535.2000       1.97464561E+01
3536.6001       1.97716942E+01
3538.0000       1.96998634E+01
3539.3999       1.96280327E+01
3540.8000       1.95833817E+01
3542.2000       1.96940403E+01
3543.6001       1.97930489E+01
3545.0000       1.97891674E+01
3546.3999       1.96959820E+01
3547.8000       1.96396828E+01
3549.2000       1.97018051E+01
3550.6001       1.96668606E+01
3552.0000       1.96513290E+01
3553.3999       1.95717335E+01
3554.8000       1.96105614E+01
3556.2000       1.96493893E+01
3557.6001       1.96338577E+01
3559.0000       1.95193176E+01
3560.3999       1.94397202E+01
3561.8000       1.93892441E+01
3563.2000       1.93581829E+01
3564.6001       1.92882938E+01
3566.0000       1.92611141E+01
3567.3999       1.93271217E+01
3568.8000       1.93368282E+01
3570.2000       1.93193550E+01
3571.6001       1.92727623E+01
3573.0000       1.91931667E+01
3574.3999       1.91077461E+01
3575.8000       1.90106773E+01
3577.2000       1.89640846E+01
3578.6001       1.88941956E+01
3580.0000       1.89194336E+01
3581.3999       1.90242672E+01
3582.8000       1.91174526E+01
3584.2000       1.91446323E+01
3585.6001       1.91019211E+01
3587.0000       1.90766850E+01
3588.3999       1.90844498E+01
3589.8000       1.91174526E+01
3591.2000       1.90553284E+01
3592.6001       1.89466133E+01
3594.0000       1.88437195E+01
3595.3999       1.88243065E+01
3596.8000       1.89271984E+01
3598.2000       1.90145607E+01
3599.6001       1.89815559E+01
3601.0000       1.89233170E+01
3602.3999       1.88631325E+01
3603.8000       1.88301296E+01
3605.2000       1.88573093E+01
3606.6001       1.89213753E+01
3608.0000       1.89951477E+01
3609.3999       1.90320320E+01
3610.8000       1.90397987E+01
3612.2000       1.90475636E+01
3613.6001       1.90145607E+01
3615.0000       1.89155502E+01
3616.3999       1.88437195E+01
3617.8000       1.88417778E+01
3619.2000       1.88476028E+01
3620.6001       1.88573093E+01
3622.0000       1.88611927E+01
3623.3999       1.88359547E+01
3624.8000       1.88146000E+01
3626.2000       1.88320713E+01
3627.6001       1.88825474E+01
3629.0000       1.89213753E+01
3630.3999       1.88728409E+01
3631.8000       1.87971268E+01
3633.2000       1.88165398E+01
3634.6001       1.88747826E+01
3636.0000       1.88728409E+01
3637.3999       1.88495445E+01
3638.8000       1.88320713E+01
3640.2000       1.87350025E+01
3641.6001       1.87330627E+01
3643.0000       1.87757721E+01
3644.3999       1.88611927E+01
3645.8000       1.89097252E+01
3647.2000       1.88301296E+01
3648.6001       1.87893620E+01
3650.0000       1.88806057E+01
3651.3999       1.89136086E+01
3652.8000       1.90009708E+01
3654.2000       1.91562805E+01
3655.6001       1.92048149E+01
3657.0000       1.91038628E+01
3658.3999       1.89932060E+01
3659.8000       1.90320320E+01
3661.2000       1.90048523E+01
3662.6001       1.89582596E+01
3664.0000       1.89155502E+01
3665.3999       1.88553677E+01
3666.8000       1.88087749E+01
3668.2000       1.87874203E+01
3669.6001       1.88204231E+01
3671.0000       1.87641239E+01
3672.3999       1.87019997E+01
3673.8000       1.88010101E+01
3675.2000       1.87680054E+01
3676.6001       1.87485924E+01
3678.0000       1.87505341E+01
3679.3999       1.87000580E+01
3680.8000       1.86806450E+01
3682.2000       1.87078247E+01
3683.6001       1.87913017E+01
3685.0000       1.87019997E+01
3686.3999       1.86243439E+01
3687.8000       1.86592903E+01
3689.2000       1.87214127E+01
3690.6001       1.86049309E+01
3692.0000       1.84826241E+01
3693.3999       1.85777512E+01
3694.8000       1.87874203E+01
3696.2000       1.88786640E+01
3697.6001       1.88689575E+01
3699.0000       1.88456612E+01
3700.3999       1.87466507E+01
3701.8000       1.86651134E+01
3703.2000       1.85874596E+01
3704.6001       1.85602798E+01
3706.0000       1.85059204E+01
3707.3999       1.85447483E+01
3708.8000       1.85680447E+01
3710.2000       1.85447483E+01
3711.6001       1.85466900E+01
3713.0000       1.85758095E+01
3714.3999       1.86107559E+01
3715.8000       1.86185207E+01
3717.2000       1.86204624E+01
3718.6001       1.86107559E+01
3720.0000       1.85331001E+01
3721.3999       1.84418564E+01
3722.8000       1.84340897E+01
3724.2000       1.84709759E+01
3725.6001       1.84030285E+01
3727.0000       1.83040199E+01
3728.3999       1.83428459E+01
3729.8000       1.84263248E+01
3731.2000       1.84612694E+01
3732.6001       1.84806824E+01
3734.0000       1.85020390E+01
3735.3999       1.85020390E+01
3736.8000       1.84360313E+01
3738.2000       1.84010868E+01
3739.6001       1.84593277E+01
3741.0000       1.85000973E+01
3742.3999       1.85098038E+01
3743.8000       1.85428085E+01
3745.2000       1.85855179E+01
3746.6001       1.85738697E+01
3748.0000       1.85098038E+01
3749.3999       1.83525524E+01
3750.8000       1.82166576E+01
3752.2000       1.80147552E+01
3753.6001       1.78963318E+01
3755.0000       1.80438747E+01
3756.3999       1.81739464E+01
3757.8000       1.82030678E+01
3759.2000       1.82302475E+01
3760.6001       1.82185974E+01
3762.0000       1.82496605E+01
3763.3999       1.83253746E+01
3764.8000       1.84321480E+01
3766.2000       1.84185600E+01
3767.6001       1.81797714E+01
3769.0000       1.79895172E+01
3770.3999       1.79040966E+01
3771.8000       1.78575039E+01
3773.2000       1.78885651E+01
3774.6001       1.80496979E+01
3776.0000       1.82535439E+01
3777.3999       1.84224434E+01
3778.8000       1.84923325E+01
3780.2000       1.84981556E+01
3781.6001       1.85641632E+01
3783.0000       1.85369835E+01
3784.3999       1.85078621E+01
3785.8000       1.84981556E+01
3787.2000       1.85563965E+01
3788.6001       1.85408669E+01
3790.0000       1.84107933E+01
3791.3999       1.83428459E+01
3792.8000       1.82554855E+01
3794.2000       1.81331787E+01
3795.6001       1.79953403E+01
3797.0000       1.78905067E+01
3798.3999       1.79079781E+01
3799.8000       1.79856339E+01
3801.2000       1.81040573E+01
3802.6001       1.82360706E+01
3804.0000       1.83040199E+01
3805.3999       1.83913803E+01
3806.8000       1.84030285E+01
3808.2000       1.83913803E+01
3809.6001       1.83933220E+01
3811.0000       1.84340897E+01
3812.3999       1.85758095E+01
3813.8000       1.86107559E+01
3815.2000       1.85913410E+01
3816.6001       1.85855179E+01
3818.0000       1.85738697E+01
