#
# Spectrum of HD260655, spectral type M0v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       3.12986851E+00
3511.3999       3.08159542E+00
3512.8000       3.08014679E+00
3514.2000       3.10645676E+00
3515.6001       3.10950089E+00
3517.0000       3.10593224E+00
3518.3999       3.10918617E+00
3519.8000       3.09293461E+00
3521.2000       3.06111240E+00
3522.6001       3.05692387E+00
3524.0000       3.07540131E+00
3525.3999       3.08736992E+00
3526.8000       3.11601067E+00
3528.2000       3.11107635E+00
3529.6001       3.10422039E+00
3531.0000       3.14593220E+00
3532.3999       3.18005276E+00
3533.8000       3.17217827E+00
3535.2000       3.17165375E+00
3536.6001       3.19947529E+00
3538.0000       3.16587925E+00
3539.3999       3.14068222E+00
3540.8000       3.16776943E+00
3542.2000       3.18341255E+00
3543.6001       3.17186356E+00
3545.0000       3.19002628E+00
3546.3999       3.17364788E+00
3547.8000       3.13700771E+00
3549.2000       3.11789989E+00
3550.6001       3.09652519E+00
3552.0000       3.08996296E+00
3553.3999       3.11317539E+00
3554.8000       3.14761162E+00
3556.2000       3.12839890E+00
3557.6001       3.11748028E+00
3559.0000       3.13658810E+00
3560.3999       3.12934399E+00
3561.8000       3.11023617E+00
3563.2000       3.10561657E+00
3564.6001       3.09519196E+00
3566.0000       3.10029411E+00
3567.3999       3.10614204E+00
3568.8000       3.08885002E+00
3570.2000       3.08172226E+00
3571.6001       3.08538628E+00
3573.0000       3.10159588E+00
3574.3999       3.11128616E+00
3575.8000       3.07821560E+00
3577.2000       3.04440975E+00
3578.6001       3.04701328E+00
3580.0000       3.05119133E+00
3581.3999       3.05043602E+00
3582.8000       3.06586838E+00
3584.2000       3.07255650E+00
3585.6001       3.07117081E+00
3587.0000       3.09553814E+00
3588.3999       3.11212635E+00
3589.8000       3.11380577E+00
3591.2000       3.09762764E+00
3592.6001       3.07075024E+00
3594.0000       3.08031464E+00
3595.3999       3.13102341E+00
3596.8000       3.14582634E+00
3598.2000       3.13312340E+00
3599.6001       3.13144398E+00
3601.0000       3.13039398E+00
3602.3999       3.12398911E+00
3603.8000       3.11181068E+00
3605.2000       3.09292412E+00
3606.6001       3.09169579E+00
3608.0000       3.08541775E+00
3609.3999       3.09090805E+00
3610.8000       3.09777451E+00
3612.2000       3.11160088E+00
3613.6001       3.14992142E+00
3615.0000       3.14551163E+00
3616.3999       3.09905529E+00
3617.8000       3.07787895E+00
3619.2000       3.09560108E+00
3620.6001       3.11874008E+00
3622.0000       3.11832047E+00
3623.3999       3.11695576E+00
3624.8000       3.12388420E+00
3626.2000       3.11643028E+00
3627.6001       3.10002136E+00
3629.0000       3.09143353E+00
3630.3999       3.08690834E+00
3631.8000       3.08722305E+00
3633.2000       3.11685085E+00
3634.6001       3.13217831E+00
3636.0000       3.13186359E+00
3637.3999       3.13963223E+00
3638.8000       3.16472435E+00
3640.2000       3.16734886E+00
3641.6001       3.12850380E+00
3643.0000       3.11454105E+00
3644.3999       3.10719204E+00
3645.8000       3.10183716E+00
3647.2000       3.10708618E+00
3648.6001       3.12063026E+00
3650.0000       3.10981655E+00
3651.3999       3.10750675E+00
3652.8000       3.11433029E+00
3654.2000       3.11517048E+00
3655.6001       3.12524891E+00
3657.0000       3.14939594E+00
3658.3999       3.14089203E+00
3659.8000       3.12965870E+00
3661.2000       3.12808418E+00
3662.6001       3.14425182E+00
3664.0000       3.15422535E+00
3665.3999       3.14855671E+00
3666.8000       3.15758514E+00
3668.2000       3.15559101E+00
3669.6001       3.13112831E+00
3671.0000       3.11632538E+00
3672.3999       3.11874008E+00
3673.8000       3.13028908E+00
3675.2000       3.13690281E+00
3676.6001       3.14404202E+00
3678.0000       3.12325478E+00
3679.3999       3.11359596E+00
3680.8000       3.11055088E+00
3682.2000       3.11265087E+00
3683.6001       3.12084007E+00
3685.0000       3.11349106E+00
3686.3999       3.10740185E+00
3687.8000       3.11527538E+00
3689.2000       3.14425182E+00
3690.6001       3.17091846E+00
3692.0000       3.16787434E+00
3693.3999       3.16272926E+00
3694.8000       3.14341164E+00
3696.2000       3.13333321E+00
3697.6001       3.14666653E+00
3699.0000       3.16556454E+00
3700.3999       3.14950085E+00
3701.8000       3.13784790E+00
3703.2000       3.11107635E+00
3704.6001       3.08762169E+00
3706.0000       3.08773708E+00
3707.3999       3.10519695E+00
3708.8000       3.10530186E+00
3710.2000       3.13081360E+00
3711.6001       3.14750671E+00
3713.0000       3.15643024E+00
3714.3999       3.14992142E+00
3715.8000       3.12608910E+00
3717.2000       3.10750675E+00
3718.6001       3.08532238E+00
3720.0000       3.07521248E+00
3721.3999       3.07058239E+00
3722.8000       3.07736492E+00
3724.2000       3.09636784E+00
3725.6001       3.11065578E+00
3727.0000       3.10813618E+00
3728.3999       3.10540676E+00
3729.8000       3.10855675E+00
3731.2000       3.10876656E+00
3732.6001       3.09496021E+00
3734.0000       3.07542229E+00
3735.3999       3.07426739E+00
3736.8000       3.06982708E+00
3738.2000       3.06689739E+00
3739.6001       3.07616806E+00
3741.0000       3.10056686E+00
3742.3999       3.09574795E+00
3743.8000       3.08142757E+00
3745.2000       3.06975365E+00
3746.6001       3.06501865E+00
3748.0000       3.07298660E+00
3749.3999       3.08690834E+00
3750.8000       3.10303402E+00
3752.2000       3.13574791E+00
3753.6001       3.14362240E+00
3755.0000       3.11569595E+00
3756.3999       3.08359051E+00
3757.8000       3.09020519E+00
3759.2000       3.10845184E+00
3760.6001       3.12356949E+00
3762.0000       3.13270378E+00
3763.3999       3.12577438E+00
3764.8000       3.11254597E+00
3766.2000       3.12598419E+00
3767.6001       3.14582634E+00
3769.0000       3.15391064E+00
3770.3999       3.15359592E+00
3771.8000       3.15286064E+00
3773.2000       3.15611553E+00
3774.6001       3.15915966E+00
3776.0000       3.15758514E+00
3777.3999       3.15569592E+00
3778.8000       3.16125965E+00
3780.2000       3.18036747E+00
3781.6001       3.17721748E+00
3783.0000       3.16272926E+00
3784.3999       3.15464592E+00
3785.8000       3.14372730E+00
3787.2000       3.13921261E+00
3788.6001       3.13868809E+00
3790.0000       3.14141750E+00
3791.3999       3.14404202E+00
3792.8000       3.13816261E+00
3794.2000       3.12829399E+00
3795.6001       3.11685085E+00
3797.0000       3.12125969E+00
3798.3999       3.14215183E+00
3799.8000       3.15727043E+00
3801.2000       3.16440964E+00
3802.6001       3.16808414E+00
3804.0000       3.15947533E+00
3805.3999       3.15779495E+00
3806.8000       3.16671944E+00
3808.2000       3.17175865E+00
3809.6001       3.17679787E+00
3811.0000       3.16587925E+00
3812.3999       3.14645672E+00
3813.8000       3.12934399E+00
3815.2000       3.10866165E+00
3816.6001       3.10593224E+00
3818.0000       3.10845184E+00
3819.3999       3.10729694E+00
3820.8000       3.10834599E+00
3822.2000       3.10782146E+00
3823.6001       3.11443615E+00
3825.0000       3.10792637E+00
3826.3999       3.09729099E+00
3827.8000       3.09912872E+00
3829.2000       3.10070324E+00
3830.6001       3.09867764E+00
3832.0000       3.10191059E+00
3833.3999       3.11821556E+00
3834.8000       3.12934399E+00
3836.2000       3.13301849E+00
3837.6001       3.13532829E+00
3839.0000       3.12734890E+00
3840.3999       3.12304497E+00
3841.8000       3.13679790E+00
3843.2000       3.14918613E+00
3844.6001       3.16325474E+00
3846.0000       3.16230965E+00
3847.3999       3.14299202E+00
3848.8000       3.13438320E+00
3850.2000       3.12335968E+00
3851.6001       3.12587929E+00
3853.0000       3.12797928E+00
3854.3999       3.11086655E+00
3855.8000       3.09530735E+00
3857.2000       3.08846188E+00
3858.6001       3.09397411E+00
3860.0000       3.11118126E+00
3861.3999       3.13112831E+00
3862.8000       3.13900280E+00
3864.2000       3.14162731E+00
3865.6001       3.15999985E+00
3867.0000       3.17133904E+00
3868.3999       3.14530182E+00
3869.8000       3.11569595E+00
3871.2000       3.09770107E+00
3872.6001       3.11695576E+00
3874.0000       3.15002632E+00
3875.3999       3.14530182E+00
3876.8000       3.13217831E+00
3878.2000       3.12955379E+00
3879.6001       3.14929104E+00
3881.0000       3.16199493E+00
3882.3999       3.14498711E+00
3883.8000       3.12797928E+00
3885.2000       3.11023617E+00
3886.6001       3.11422539E+00
3888.0000       3.15076160E+00
3889.3999       3.16230965E+00
3890.8000       3.16084003E+00
3892.2000       3.15286064E+00
3893.6001       3.14236259E+00
3895.0000       3.14236259E+00
3896.3999       3.13774300E+00
3897.8000       3.13396358E+00
3899.2000       3.13648319E+00
3900.6001       3.13826752E+00
3902.0000       3.14771652E+00
3903.3999       3.15412045E+00
3904.8000       3.15695572E+00
3906.2000       3.15937042E+00
3907.6001       3.17070866E+00
3909.0000       3.16598415E+00
3910.3999       3.15894985E+00
3911.8000       3.16084003E+00
3913.2000       3.17774296E+00
3914.6001       3.19454098E+00
3916.0000       3.19748020E+00
3917.3999       3.18572140E+00
3918.8000       3.16304493E+00
3920.2000       3.15601063E+00
3921.6001       3.14467239E+00
3923.0000       3.14624691E+00
3924.3999       3.14687634E+00
3925.8000       3.14509201E+00
3927.2000       3.12514400E+00
3928.6001       3.10572147E+00
3930.0000       3.09462452E+00
3931.3999       3.09498119E+00
3932.8000       3.10887146E+00
3934.2000       3.10866165E+00
3935.6001       3.11244106E+00
3937.0000       3.11674500E+00
3938.3999       3.12052536E+00
3939.8000       3.12577438E+00
3941.2000       3.11359596E+00
3942.6001       3.10698128E+00
3944.0000       3.12031460E+00
3945.3999       3.13522339E+00
3946.8000       3.15097141E+00
3948.2000       3.16797924E+00
3949.6001       3.18110275E+00
3951.0000       3.19433117E+00
3952.3999       3.17837238E+00
3953.8000       3.15055084E+00
3955.2000       3.13270378E+00
