#
# Spectrum of HD28099, spectral type G0v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave  Flux
3510.0000       7.67566490E+00
3511.3999       7.64509726E+00
3512.8000       7.62048435E+00
3514.2000       7.59348965E+00
3515.6001       7.60817814E+00
3517.0000       7.63556957E+00
3518.3999       7.65621281E+00
3519.8000       7.63398170E+00
3521.2000       7.61095667E+00
3522.6001       7.58316803E+00
3524.0000       7.56411266E+00
3525.3999       7.55776119E+00
3526.8000       7.57880116E+00
3528.2000       7.63279057E+00
3529.6001       7.65899181E+00
3531.0000       7.66375542E+00
3532.3999       7.67844391E+00
3533.8000       7.68876553E+00
3535.2000       7.68836832E+00
3536.6001       7.68995619E+00
3538.0000       7.70067501E+00
3539.3999       7.71814203E+00
3540.8000       7.70901155E+00
3542.2000       7.69789600E+00
3543.6001       7.70424747E+00
3545.0000       7.71615696E+00
3546.3999       7.71337843E+00
3547.8000       7.68797159E+00
3549.2000       7.69352913E+00
3550.6001       7.68876553E+00
3552.0000       7.66335869E+00
3553.3999       7.64509726E+00
3554.8000       7.64509726E+00
3556.2000       7.65383101E+00
3557.6001       7.63120270E+00
3559.0000       7.61929321E+00
3560.3999       7.63120270E+00
3561.8000       7.64747906E+00
3563.2000       7.64390612E+00
3564.6001       7.60778093E+00
3566.0000       7.57959509E+00
3567.3999       7.55379105E+00
3568.8000       7.52362061E+00
3570.2000       7.50258064E+00
3571.6001       7.51409292E+00
3573.0000       7.55537891E+00
3574.3999       7.59110737E+00
3575.8000       7.60698700E+00
3577.2000       7.59190178E+00
3578.6001       7.55339432E+00
3580.0000       7.50258064E+00
3581.3999       7.46010303E+00
3582.8000       7.44700289E+00
3584.2000       7.44620895E+00
3585.6001       7.44660568E+00
3587.0000       7.45930910E+00
3588.3999       7.49384689E+00
3589.8000       7.54743958E+00
3591.2000       7.61135387E+00
3592.6001       7.65700674E+00
3594.0000       7.67884064E+00
3595.3999       7.70662975E+00
3596.8000       7.72489071E+00
3598.2000       7.74196100E+00
3599.6001       7.73957920E+00
3601.0000       7.70385075E+00
3602.3999       7.65462494E+00
3603.8000       7.61135387E+00
3605.2000       7.58832884E+00
3606.6001       7.57919788E+00
3608.0000       7.56530380E+00
3609.3999       7.55021858E+00
3610.8000       7.55458498E+00
3612.2000       7.58316803E+00
3613.6001       7.60857487E+00
3615.0000       7.63080597E+00
3616.3999       7.63556957E+00
3617.8000       7.60460520E+00
3619.2000       7.55180645E+00
3620.6001       7.52203274E+00
3622.0000       7.55180645E+00
3623.3999       7.62167549E+00
3624.8000       7.67328310E+00
3626.2000       7.70265961E+00
3627.6001       7.71893597E+00
3629.0000       7.72608185E+00
3630.3999       7.69868994E+00
3631.8000       7.63001204E+00
3633.2000       7.58951950E+00
3634.6001       7.59587145E+00
3636.0000       7.62604237E+00
3637.3999       7.65660954E+00
3638.8000       7.68757439E+00
3640.2000       7.71258450E+00
3641.6001       7.72092104E+00
3643.0000       7.68916225E+00
3644.3999       7.65899181E+00
3645.8000       7.63477564E+00
3647.2000       7.60698700E+00
3648.6001       7.58078623E+00
3650.0000       7.58793163E+00
3651.3999       7.62088108E+00
3652.8000       7.69313240E+00
3654.2000       7.74553394E+00
3655.6001       7.76300144E+00
3657.0000       7.76538324E+00
3658.3999       7.77451372E+00
3659.8000       7.81063938E+00
3661.2000       7.79436302E+00
3662.6001       7.77292585E+00
3664.0000       7.76617718E+00
3665.3999       7.76736784E+00
3666.8000       7.77371979E+00
3668.2000       7.77649879E+00
3669.6001       7.75267982E+00
3671.0000       7.72052383E+00
3672.3999       7.73481560E+00
3673.8000       7.76538324E+00
3675.2000       7.77133799E+00
3676.6001       7.75784063E+00
3678.0000       7.72489071E+00
3679.3999       7.68955946E+00
