#
# Spectrum of HD30584, spectral type B5v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       1.35632820E+01
3511.3999       1.36268711E+01
3512.8000       1.36404104E+01
3514.2000       1.35801029E+01
3515.6001       1.35355892E+01
3517.0000       1.35122051E+01
3518.3999       1.35312824E+01
3519.8000       1.35202045E+01
3521.2000       1.35284100E+01
3522.6001       1.34972305E+01
3524.0000       1.34445133E+01
3525.3999       1.34545641E+01
3526.8000       1.34816408E+01
3528.2000       1.34892311E+01
3529.6001       1.35534363E+01
3531.0000       1.36229744E+01
3532.3999       1.36166153E+01
3533.8000       1.35671797E+01
3535.2000       1.35655384E+01
3536.6001       1.35940514E+01
3538.0000       1.36293335E+01
3539.3999       1.36756926E+01
3540.8000       1.36845131E+01
3542.2000       1.36523075E+01
3543.6001       1.36201019E+01
3545.0000       1.36256409E+01
3546.3999       1.36268711E+01
3547.8000       1.36043072E+01
3549.2000       1.35702562E+01
3550.6001       1.35641022E+01
3552.0000       1.35522051E+01
3553.3999       1.35095387E+01
3554.8000       1.34785643E+01
3556.2000       1.34654360E+01
3557.6001       1.34761028E+01
3559.0000       1.35148716E+01
3560.3999       1.35413332E+01
3561.8000       1.35304613E+01
3563.2000       1.34984617E+01
3564.6001       1.35156918E+01
3566.0000       1.35150766E+01
3567.3999       1.34914875E+01
3568.8000       1.35105639E+01
3570.2000       1.35214357E+01
3571.6001       1.35161028E+01
3573.0000       1.35191793E+01
3574.3999       1.35702562E+01
3575.8000       1.35852308E+01
3577.2000       1.35573330E+01
3578.6001       1.35532303E+01
3580.0000       1.35263596E+01
3581.3999       1.34886150E+01
3582.8000       1.34732304E+01
3584.2000       1.35140514E+01
3585.6001       1.35714874E+01
3587.0000       1.35889225E+01
3588.3999       1.35762053E+01
3589.8000       1.35288200E+01
3591.2000       1.34783592E+01
3592.6001       1.34830770E+01
3594.0000       1.34793844E+01
3595.3999       1.34596920E+01
3596.8000       1.35015383E+01
3598.2000       1.35386667E+01
3599.6001       1.35563078E+01
3601.0000       1.35563078E+01
3602.3999       1.35321026E+01
3603.8000       1.34687176E+01
3605.2000       1.34518976E+01
3606.6001       1.34902563E+01
3608.0000       1.34781532E+01
3609.3999       1.34875898E+01
3610.8000       1.35078974E+01
3612.2000       1.34863586E+01
3613.6001       1.34949741E+01
3615.0000       1.35747690E+01
3616.3999       1.35522051E+01
3617.8000       1.35019493E+01
3619.2000       1.34631796E+01
3620.6001       1.34406147E+01
3622.0000       1.34543591E+01
3623.3999       1.35025635E+01
3624.8000       1.35095387E+01
3626.2000       1.35357952E+01
3627.6001       1.35083075E+01
3629.0000       1.34648209E+01
3630.3999       1.34196920E+01
3631.8000       1.33887177E+01
3633.2000       1.34129229E+01
3634.6001       1.34882050E+01
3636.0000       1.34998970E+01
3637.3999       1.34703588E+01
3638.8000       1.34738464E+01
3640.2000       1.35275898E+01
3641.6001       1.35193844E+01
3643.0000       1.35144615E+01
3644.3999       1.35089226E+01
3645.8000       1.34941540E+01
3647.2000       1.34555893E+01
3648.6001       1.34194870E+01
3650.0000       1.34402046E+01
3651.3999       1.34594870E+01
3652.8000       1.34281025E+01
3654.2000       1.34272823E+01
3655.6001       1.34262562E+01
3657.0000       1.34266663E+01
3658.3999       1.34352818E+01
3659.8000       1.34289227E+01
3661.2000       1.34293327E+01
3662.6001       1.34633846E+01
3664.0000       1.34810257E+01
3665.3999       1.34763079E+01
3666.8000       1.35111790E+01
3668.2000       1.35261536E+01
3669.6001       1.35409231E+01
3671.0000       1.35587692E+01
3672.3999       1.35458460E+01
3673.8000       1.35095387E+01
3675.2000       1.34941540E+01
3676.6001       1.35392818E+01
3678.0000       1.34951801E+01
3679.3999       1.34410257E+01
3680.8000       1.33948717E+01
3682.2000       1.34080000E+01
3683.6001       1.34295387E+01
3685.0000       1.34375381E+01
3686.3999       1.34447174E+01
3687.8000       1.35177441E+01
3689.2000       1.35388718E+01
3690.6001       1.34951801E+01
3692.0000       1.34783592E+01
3693.3999       1.35177441E+01
3694.8000       1.34886150E+01
3696.2000       1.34377441E+01
3697.6001       1.34537430E+01
3699.0000       1.34861536E+01
3700.3999       1.34685125E+01
3701.8000       1.34143591E+01
3703.2000       1.33772306E+01
3704.6001       1.34094353E+01
3706.0000       1.34945641E+01
3707.3999       1.35308723E+01
3708.8000       1.34533329E+01
3710.2000       1.34201031E+01
3711.6001       1.34207182E+01
3713.0000       1.34603081E+01
3714.3999       1.35766153E+01
3715.8000       1.37122049E+01
3717.2000       1.37439995E+01
3718.6001       1.36075897E+01
3720.0000       1.34685125E+01
3721.3999       1.34133339E+01
3722.8000       1.34639997E+01
3724.2000       1.35942564E+01
3725.6001       1.37842045E+01
3727.0000       1.39749737E+01
3728.3999       1.39316921E+01
3729.8000       1.37803078E+01
3731.2000       1.36045132E+01
3732.6001       1.34693336E+01
3734.0000       1.34018459E+01
3735.3999       1.34506664E+01
3736.8000       1.36071796E+01
3738.2000       1.38211279E+01
3739.6001       1.40289230E+01
3741.0000       1.41476917E+01
3742.3999       1.42071791E+01
3743.8000       1.40861540E+01
3745.2000       1.38797951E+01
3746.6001       1.36791792E+01
3748.0000       1.34898462E+01
3749.3999       1.33382568E+01
3750.8000       1.33839998E+01
3752.2000       1.35915899E+01
3753.6001       1.38334360E+01
3755.0000       1.40656414E+01
3756.3999       1.42482052E+01
3757.8000       1.43487177E+01
3759.2000       1.43712826E+01
3760.6001       1.44082050E+01
3762.0000       1.43938465E+01
3763.3999       1.42625637E+01
3764.8000       1.40984612E+01
3766.2000       1.38882046E+01
3767.6001       1.36110764E+01
3769.0000       1.33995895E+01
3770.3999       1.33478975E+01
3771.8000       1.34512825E+01
3773.2000       1.37183590E+01
3774.6001       1.39954872E+01
3776.0000       1.42441025E+01
3777.3999       1.44820509E+01
3778.8000       1.46625643E+01
3780.2000       1.47158976E+01
3781.6001       1.47548714E+01
3783.0000       1.47835903E+01
3784.3999       1.48061543E+01
3785.8000       1.48184614E+01
3787.2000       1.47651281E+01
3788.6001       1.46584616E+01
3790.0000       1.45066662E+01
3791.3999       1.43323078E+01
3792.8000       1.41087179E+01
3794.2000       1.38559999E+01
3795.6001       1.35234871E+01
3797.0000       1.33561020E+01
3798.3999       1.34295387E+01
3799.8000       1.36315899E+01
3801.2000       1.39247179E+01
3802.6001       1.42071791E+01
3804.0000       1.44471798E+01
3805.3999       1.46215382E+01
3806.8000       1.47548714E+01
3808.2000       1.48984613E+01
3809.6001       1.50010262E+01
3811.0000       1.50317945E+01
3812.3999       1.50564098E+01
3813.8000       1.50912819E+01
3815.2000       1.51179485E+01
3816.6001       1.51384621E+01
3818.0000       1.51712818E+01
3819.3999       1.51528206E+01
3820.8000       1.50482054E+01
3822.2000       1.49558973E+01
3823.6001       1.48369226E+01
3825.0000       1.47733335E+01
3826.3999       1.47097435E+01
3827.8000       1.44943590E+01
3829.2000       1.42399998E+01
3830.6001       1.39435902E+01
3832.0000       1.36752815E+01
3833.3999       1.34966154E+01
3834.8000       1.34162054E+01
3836.2000       1.34951801E+01
3837.6001       1.36836929E+01
3839.0000       1.39251280E+01
3840.3999       1.41558971E+01
3841.8000       1.43364105E+01
3843.2000       1.45046158E+01
3844.6001       1.47056408E+01
3846.0000       1.48758974E+01
3847.3999       1.49641027E+01
3848.8000       1.49969234E+01
3850.2000       1.49969234E+01
3851.6001       1.49907694E+01
3853.0000       1.49887180E+01
3854.3999       1.49805126E+01
3855.8000       1.49907694E+01
3857.2000       1.50871792E+01
3858.6001       1.51425648E+01
3860.0000       1.50851288E+01
3861.3999       1.50071793E+01
3862.8000       1.49784613E+01
3864.2000       1.50194874E+01
3865.6001       1.50810251E+01
3867.0000       1.51097431E+01
3868.3999       1.51323080E+01
3869.8000       1.51056414E+01
3871.2000       1.50400000E+01
3872.6001       1.49989738E+01
3874.0000       1.49374361E+01
3875.3999       1.48615379E+01
3876.8000       1.47938461E+01
3878.2000       1.46912823E+01
3879.6001       1.45579491E+01
3881.0000       1.43856411E+01
3882.3999       1.42379494E+01
3883.8000       1.40233841E+01
3885.2000       1.37497435E+01
3886.6001       1.34785643E+01
3888.0000       1.33349743E+01
3889.3999       1.33856411E+01
3890.8000       1.35247183E+01
3892.2000       1.37370262E+01
3893.6001       1.39866667E+01
3895.0000       1.42153845E+01
3896.3999       1.43589745E+01
3897.8000       1.45025635E+01
3899.2000       1.46358976E+01
3900.6001       1.47446156E+01
3902.0000       1.48184614E+01
3903.3999       1.48861542E+01
3904.8000       1.49107695E+01
3906.2000       1.49148722E+01
3907.6001       1.49743595E+01
3909.0000       1.49682045E+01
3910.3999       1.49641027E+01
3911.8000       1.49517946E+01
3913.2000       1.49353848E+01
3914.6001       1.50379486E+01
3916.0000       1.50461540E+01
3917.3999       1.50215387E+01
3918.8000       1.49969234E+01
3920.2000       1.49702568E+01
3921.6001       1.50092306E+01
3923.0000       1.50379486E+01
3924.3999       1.50194874E+01
3925.8000       1.49825640E+01
3927.2000       1.49846153E+01
3928.6001       1.49784613E+01
3930.0000       1.49374361E+01
3931.3999       1.48594875E+01
3932.8000       1.48369226E+01
3934.2000       1.48553848E+01
3935.6001       1.48882046E+01
3937.0000       1.49230766E+01
3938.3999       1.49661541E+01
3939.8000       1.50215387E+01
3941.2000       1.49846153E+01
3942.6001       1.49620514E+01
3944.0000       1.50010262E+01
3945.3999       1.50051279E+01
3946.8000       1.49764099E+01
3948.2000       1.49456406E+01
3949.6001       1.49005127E+01
3951.0000       1.48902569E+01
3952.3999       1.48512821E+01
3953.8000       1.47569227E+01
3955.2000       1.47138462E+01
3956.6001       1.46441021E+01
3958.0000       1.45969229E+01
3959.3999       1.45046158E+01
3960.8000       1.43589745E+01
3962.2000       1.42174358E+01
3963.6001       1.40367184E+01
3965.0000       1.38135386E+01
3966.3999       1.35403080E+01
3967.8000       1.32937431E+01
3969.2000       1.31983585E+01
3970.6001       1.32855387E+01
3972.0000       1.35101538E+01
3973.3999       1.37522049E+01
3974.8000       1.39569225E+01
3976.2000       1.41497440E+01
3977.6001       1.42933331E+01
3979.0000       1.44082050E+01
3980.3999       1.45271797E+01
3981.8000       1.46502562E+01
3983.2000       1.47241030E+01
3984.6001       1.47712822E+01
3986.0000       1.48061543E+01
3987.3999       1.48307695E+01
