#
# Spectrum of Hz227, spectral type F5v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       8.65417099E+00
3511.3999       8.65631676E+00
3512.8000       8.68585205E+00
3514.2000       8.70301628E+00
3515.6001       8.71689987E+00
3517.0000       8.71652222E+00
3518.3999       8.70200729E+00
3519.8000       8.70503616E+00
3521.2000       8.70364761E+00
3522.6001       8.69456005E+00
3524.0000       8.68900681E+00
3525.3999       8.68055058E+00
3526.8000       8.68231773E+00
3528.2000       8.71715260E+00
3529.6001       8.73810387E+00
3531.0000       8.73520088E+00
3532.3999       8.71866703E+00
3533.8000       8.72497749E+00
3535.2000       8.73608494E+00
3536.6001       8.74491978E+00
3538.0000       8.74668694E+00
3539.3999       8.73911381E+00
3540.8000       8.72712326E+00
3542.2000       8.72018242E+00
3543.6001       8.74176407E+00
3545.0000       8.75627899E+00
3546.3999       8.76385212E+00
3547.8000       8.77104664E+00
3549.2000       8.78038597E+00
3550.6001       8.77811432E+00
3552.0000       8.76195908E+00
3553.3999       8.74113369E+00
3554.8000       8.71917152E+00
3556.2000       8.74996853E+00
3557.6001       8.76271629E+00
3559.0000       8.74428940E+00
3560.3999       8.72030830E+00
3561.8000       8.68761826E+00
3563.2000       8.65947247E+00
3564.6001       8.64773464E+00
3566.0000       8.65051079E+00
3567.3999       8.64054012E+00
3568.8000       8.63271523E+00
3570.2000       8.63183117E+00
3571.6001       8.63208389E+00
3573.0000       8.64104462E+00
3574.3999       8.66553116E+00
3575.8000       8.68559837E+00
3577.2000       8.68686104E+00
3578.6001       8.68004608E+00
3580.0000       8.66578293E+00
3581.3999       8.64155006E+00
3582.8000       8.60330677E+00
3584.2000       8.57642365E+00
3585.6001       8.57175255E+00
3587.0000       8.57743263E+00
3588.3999       8.59712219E+00
3589.8000       8.62829781E+00
3591.2000       8.65896797E+00
3592.6001       8.67979240E+00
3594.0000       8.70314217E+00
3595.3999       8.71955109E+00
3596.8000       8.72030830E+00
3598.2000       8.70617199E+00
3599.6001       8.69190979E+00
3601.0000       8.68648243E+00
3602.3999       8.66161823E+00
3603.8000       8.63486099E+00
3605.2000       8.63915253E+00
3606.6001       8.64672470E+00
3608.0000       8.63864708E+00
3609.3999       8.62779236E+00
3610.8000       8.62918091E+00
3612.2000       8.64924908E+00
3613.6001       8.65555954E+00
3615.0000       8.66994858E+00
3616.3999       8.66780281E+00
3617.8000       8.66527843E+00
3619.2000       8.65442371E+00
3620.6001       8.63170528E+00
3622.0000       8.63422966E+00
3623.3999       8.64268589E+00
3624.8000       8.68130779E+00
3626.2000       8.70251179E+00
3627.6001       8.70920086E+00
3629.0000       8.70491028E+00
3630.3999       8.68092918E+00
3631.8000       8.65720081E+00
3633.2000       8.63006401E+00
3634.6001       8.62286949E+00
3636.0000       8.65253067E+00
3637.3999       8.69052124E+00
3638.8000       8.71008492E+00
3640.2000       8.70478344E+00
3641.6001       8.70629883E+00
3643.0000       8.69228840E+00
3644.3999       8.66666603E+00
3645.8000       8.67790031E+00
3647.2000       8.68951225E+00
3648.6001       8.68471527E+00
3650.0000       8.68812370E+00
3651.3999       8.71803665E+00
3652.8000       8.74214363E+00
3654.2000       8.74794960E+00
3655.6001       8.76864815E+00
3657.0000       8.78631783E+00
3658.3999       8.78720188E+00
3659.8000       8.78909492E+00
3661.2000       8.78631783E+00
3662.6001       8.76587105E+00
3664.0000       8.74618149E+00
3665.3999       8.75867748E+00
3666.8000       8.74466705E+00
3668.2000       8.72131729E+00
3669.6001       8.72157001E+00
3671.0000       8.74125957E+00
3672.3999       8.76359940E+00
3673.8000       8.75766754E+00
3675.2000       8.74378395E+00
3676.6001       8.73860931E+00
3678.0000       8.72472572E+00
3679.3999       8.70932770E+00
3680.8000       8.70352173E+00
3682.2000       8.71374512E+00
3683.6001       8.73545361E+00
3685.0000       8.72056007E+00
3686.3999       8.68736649E+00
3687.8000       8.69582176E+00
3689.2000       8.72838593E+00
3690.6001       8.75463867E+00
3692.0000       8.78051186E+00
3693.3999       8.80941582E+00
3694.8000       8.82973671E+00
3696.2000       8.80272675E+00
3697.6001       8.77672577E+00
3699.0000       8.79591084E+00
3700.3999       8.81989098E+00
3701.8000       8.81736755E+00
3703.2000       8.77546406E+00
3704.6001       8.72510433E+00
3706.0000       8.70894814E+00
3707.3999       8.71955109E+00
3708.8000       8.73772621E+00
3710.2000       8.75009537E+00
3711.6001       8.75388145E+00
3713.0000       8.76890087E+00
3714.3999       8.80941582E+00
3715.8000       8.83592033E+00
3717.2000       8.85497856E+00
3718.6001       8.84652328E+00
3720.0000       8.73949242E+00
3721.3999       8.67941475E+00
3722.8000       8.69178391E+00
3724.2000       8.73974514E+00
3725.6001       8.78846359E+00
3727.0000       8.81686211E+00
3728.3999       8.83289146E+00
3729.8000       8.84866905E+00
3731.2000       8.80158997E+00
3732.6001       8.70907497E+00
3734.0000       8.64849186E+00
3735.3999       8.64281273E+00
3736.8000       8.67171478E+00
3738.2000       8.72926903E+00
3739.6001       8.79616356E+00
3741.0000       8.81661034E+00
3742.3999       8.80070686E+00
3743.8000       8.78669739E+00
3745.2000       8.76069641E+00
3746.6001       8.70099735E+00
3748.0000       8.64647293E+00
3749.3999       8.60961723E+00
