#
# Spectrum of SAO76803, spectral type K5v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       4.08701229E+00
3511.3999       4.09683228E+00
3512.8000       4.08356571E+00
3514.2000       4.06930256E+00
3515.6001       4.08296776E+00
3517.0000       4.10836697E+00
3518.3999       4.15884495E+00
3519.8000       4.13334656E+00
3521.2000       4.08490086E+00
3522.6001       4.05262947E+00
3524.0000       4.03557777E+00
3525.3999       4.04645443E+00
3526.8000       4.07792854E+00
3528.2000       4.11894417E+00
3529.6001       4.11679268E+00
3531.0000       4.10376453E+00
3532.3999       4.10928249E+00
3533.8000       4.11874485E+00
3535.2000       4.12292862E+00
3536.6001       4.11442184E+00
3538.0000       4.11079693E+00
3539.3999       4.12870502E+00
3540.8000       4.13629436E+00
3542.2000       4.13635445E+00
3543.6001       4.14099598E+00
3545.0000       4.12968159E+00
3546.3999       4.10691261E+00
3547.8000       4.10551834E+00
3549.2000       4.11065769E+00
3550.6001       4.10912323E+00
3552.0000       4.10880470E+00
3553.3999       4.10264969E+00
3554.8000       4.07227135E+00
3556.2000       4.08820724E+00
3557.6001       4.12623501E+00
3559.0000       4.12701225E+00
3560.3999       4.11328697E+00
3561.8000       4.09247017E+00
3563.2000       4.06794834E+00
3564.6001       4.05115509E+00
3566.0000       4.03507996E+00
3567.3999       4.03342628E+00
3568.8000       4.06101608E+00
3570.2000       4.09649372E+00
3571.6001       4.11266899E+00
3573.0000       4.08800793E+00
3574.3999       4.05639458E+00
3575.8000       4.06661320E+00
3577.2000       4.09312725E+00
3578.6001       4.08115578E+00
3580.0000       4.04513931E+00
3581.3999       4.03268909E+00
3582.8000       4.04780865E+00
3584.2000       4.06488037E+00
3585.6001       4.06464100E+00
3587.0000       4.05918312E+00
3588.3999       4.06065750E+00
3589.8000       4.06079674E+00
3591.2000       4.06513977E+00
3592.6001       4.07960129E+00
3594.0000       4.09894466E+00
3595.3999       4.11402416E+00
3596.8000       4.12416363E+00
3598.2000       4.13822746E+00
3599.6001       4.15679264E+00
3601.0000       4.15352631E+00
3602.3999       4.12027931E+00
3603.8000       4.10213184E+00
3605.2000       4.11089611E+00
3606.6001       4.09217167E+00
3608.0000       4.06750965E+00
3609.3999       4.07440281E+00
3610.8000       4.09454155E+00
3612.2000       4.09876537E+00
3613.6001       4.10603619E+00
3615.0000       4.12786865E+00
3616.3999       4.13179302E+00
3617.8000       4.11191273E+00
3619.2000       4.09890461E+00
3620.6001       4.10701180E+00
3622.0000       4.12294865E+00
3623.3999       4.12986088E+00
3624.8000       4.13187218E+00
3626.2000       4.15189266E+00
3627.6001       4.14806747E+00
3629.0000       4.13073730E+00
3630.3999       4.12023926E+00
3631.8000       4.10772896E+00
3633.2000       4.09860516E+00
3634.6001       4.11798763E+00
3636.0000       4.14031887E+00
3637.3999       4.16884422E+00
3638.8000       4.19796848E+00
3640.2000       4.19920349E+00
3641.6001       4.16854572E+00
3643.0000       4.15739059E+00
3644.3999       4.13545799E+00
3645.8000       4.12454224E+00
3647.2000       4.11250973E+00
3648.6001       4.11029911E+00
3650.0000       4.16848564E+00
3651.3999       4.18336678E+00
3652.8000       4.15942192E+00
3654.2000       4.14974117E+00
3655.6001       4.16962147E+00
3657.0000       4.20876503E+00
3658.3999       4.23625469E+00
3659.8000       4.23665333E+00
3661.2000       4.23067760E+00
3662.6001       4.20976067E+00
3664.0000       4.18938255E+00
3665.3999       4.18709183E+00
3666.8000       4.20657349E+00
3668.2000       4.21753025E+00
3669.6001       4.20019913E+00
3671.0000       4.18665314E+00
3672.3999       4.19135475E+00
3673.8000       4.19635487E+00
3675.2000       4.17386436E+00
3676.6001       4.17494011E+00
3678.0000       4.14358521E+00
3679.3999       4.13792801E+00
3680.8000       4.14764977E+00
3682.2000       4.16611576E+00
3683.6001       4.17695236E+00
3685.0000       4.16476059E+00
3686.3999       4.14364529E+00
3687.8000       4.13282871E+00
3689.2000       4.14665318E+00
3690.6001       4.17498016E+00
3692.0000       4.19041824E+00
3693.3999       4.15995979E+00
3694.8000       4.17778873E+00
3696.2000       4.17334652E+00
3697.6001       4.18511963E+00
3699.0000       4.21334648E+00
3700.3999       4.22948170E+00
3701.8000       4.22151375E+00
3703.2000       4.16864586E+00
3704.6001       4.14770889E+00
3706.0000       4.14033890E+00
3707.3999       4.12986088E+00
3708.8000       4.11806774E+00
3710.2000       4.13772869E+00
3711.6001       4.18340683E+00
3713.0000       4.20995998E+00
3714.3999       4.20717144E+00
3715.8000       4.18336678E+00
3717.2000       4.16057777E+00
3718.6001       4.14127445E+00
3720.0000       4.10296822E+00
3721.3999       4.08095646E+00
3722.8000       4.08866501E+00
3724.2000       4.11189270E+00
3725.6001       4.14185238E+00
3727.0000       4.14091682E+00
3728.3999       4.14332676E+00
3729.8000       4.13633442E+00
3731.2000       4.11225128E+00
3732.6001       4.08364582E+00
3734.0000       4.08912373E+00
3735.3999       4.06364536E+00
3736.8000       4.06089687E+00
3738.2000       4.07850552E+00
3739.6001       4.09966183E+00
3741.0000       4.12063789E+00
3742.3999       4.10790825E+00
3743.8000       4.11127472E+00
3745.2000       4.10888481E+00
3746.6001       4.08619499E+00
3748.0000       4.06011963E+00
3749.3999       4.06177330E+00
3750.8000       4.09067726E+00
3752.2000       4.11482048E+00
3753.6001       4.14229107E+00
3755.0000       4.15918350E+00
3756.3999       4.14219093E+00
3757.8000       4.11737061E+00
3759.2000       4.09268951E+00
3760.6001       4.10274887E+00
3762.0000       4.11806774E+00
3763.3999       4.11408329E+00
3764.8000       4.10697174E+00
3766.2000       4.11615562E+00
3767.6001       4.14179325E+00
3769.0000       4.15994072E+00
3770.3999       4.16699219E+00
3771.8000       4.16697216E+00
3773.2000       4.17115498E+00
3774.6001       4.18657398E+00
3776.0000       4.18019962E+00
3777.3999       4.16914368E+00
3778.8000       4.18260956E+00
3780.2000       4.20557785E+00
3781.6001       4.20139408E+00
3783.0000       4.19886494E+00
3784.3999       4.20717144E+00
3785.8000       4.19737053E+00
3787.2000       4.16077709E+00
3788.6001       4.13613510E+00
3790.0000       4.12304783E+00
3791.3999       4.11143398E+00
3792.8000       4.10723114E+00
3794.2000       4.10970116E+00
3795.6001       4.11677265E+00
3797.0000       4.12233067E+00
3798.3999       4.11462116E+00
3799.8000       4.10868549E+00
3801.2000       4.12292862E+00
3802.6001       4.14934254E+00
3804.0000       4.16105556E+00
3805.3999       4.15286827E+00
3806.8000       4.14268970E+00
3808.2000       4.14039803E+00
3809.6001       4.14093590E+00
3811.0000       4.14304733E+00
3812.3999       4.14320755E+00
3813.8000       4.12786865E+00
3815.2000       4.10065746E+00
3816.6001       4.08298779E+00
3818.0000       4.08097649E+00
3819.3999       4.07788849E+00
3820.8000       4.06932259E+00
3822.2000       4.06320763E+00
3823.6001       4.06249046E+00
3825.0000       4.07189274E+00
3826.3999       4.07647419E+00
3827.8000       4.07117558E+00
3829.2000       4.06788826E+00
3830.6001       4.06400394E+00
3832.0000       4.05099583E+00
3833.3999       4.04145432E+00
3834.8000       4.05296803E+00
3836.2000       4.07033825E+00
3837.6001       4.08177280E+00
3839.0000       4.06595612E+00
3840.3999       4.03798771E+00
3841.8000       4.04557800E+00
3843.2000       4.07679272E+00
3844.6001       4.09780884E+00
3846.0000       4.08952236E+00
3847.3999       4.08553791E+00
3848.8000       4.09842587E+00
3850.2000       4.09388447E+00
3851.6001       4.09400368E+00
3853.0000       4.09934235E+00
3854.3999       4.10243034E+00
3855.8000       4.10585690E+00
3857.2000       4.10356617E+00
3858.6001       4.08840656E+00
3860.0000       4.07862568E+00
3861.3999       4.08968163E+00
3862.8000       4.10021877E+00
3864.2000       4.10613537E+00
3865.6001       4.09848595E+00
3867.0000       4.08766937E+00
3868.3999       4.08733082E+00
3869.8000       4.08350563E+00
3871.2000       4.08115578E+00
3872.6001       4.08314705E+00
3874.0000       4.09211159E+00
3875.3999       4.10382462E+00
3876.8000       4.10318756E+00
3878.2000       4.09219170E+00
3879.6001       4.08217144E+00
3881.0000       4.08502007E+00
3882.3999       4.10254955E+00
3883.8000       4.11497974E+00
3885.2000       4.11993980E+00
3886.6001       4.11782837E+00
3888.0000       4.12099648E+00
3889.3999       4.14382458E+00
3890.8000       4.17310715E+00
3892.2000       4.20597649E+00
3893.6001       4.22330666E+00
3895.0000       4.20617485E+00
3896.3999       4.19611549E+00
3897.8000       4.19089603E+00
3899.2000       4.18509960E+00
3900.6001       4.18195248E+00
3902.0000       4.19051838E+00
3903.3999       4.18703175E+00
3904.8000       4.18336678E+00
3906.2000       4.17946243E+00
3907.6001       4.17282867E+00
3909.0000       4.18988037E+00
3910.3999       4.19671345E+00
3911.8000       4.20239067E+00
3913.2000       4.21374512E+00
3914.6001       4.22908401E+00
3916.0000       4.22011948E+00
3917.3999       4.19280910E+00
3918.8000       4.16476059E+00
3920.2000       4.14356613E+00
3921.6001       4.13061714E+00
3923.0000       4.13340664E+00
3924.3999       4.13936234E+00
3925.8000       4.13462162E+00
3927.2000       4.11061764E+00
3928.6001       4.08482075E+00
