#
# Spectrum of TRA14, spectral type G4v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       6.43516064E+00
3511.3999       6.44501019E+00
3512.8000       6.44829273E+00
3514.2000       6.44796467E+00
3515.6001       6.45847034E+00
3517.0000       6.46536446E+00
3518.3999       6.46043968E+00
3519.8000       6.44303989E+00
3521.2000       6.43023682E+00
3522.6001       6.41529846E+00
3524.0000       6.40479279E+00
3525.3999       6.41316509E+00
3526.8000       6.43155003E+00
3528.2000       6.44550228E+00
3529.6001       6.46306610E+00
3531.0000       6.47406387E+00
3532.3999       6.47685528E+00
3533.8000       6.50311852E+00
3535.2000       6.53397942E+00
3536.6001       6.52889061E+00
3538.0000       6.49868679E+00
3539.3999       6.48850918E+00
3540.8000       6.49688148E+00
3542.2000       6.49064350E+00
3543.6001       6.51444530E+00
3545.0000       6.52675629E+00
3546.3999       6.51871300E+00
3547.8000       6.53693390E+00
3549.2000       6.54694653E+00
3550.6001       6.55039406E+00
3552.0000       6.55154324E+00
3553.3999       6.52987480E+00
3554.8000       6.51739979E+00
3556.2000       6.47931671E+00
3557.6001       6.45403767E+00
3559.0000       6.45502281E+00
3560.3999       6.46946812E+00
3561.8000       6.47915268E+00
3563.2000       6.46454334E+00
3564.6001       6.43007183E+00
3566.0000       6.39757061E+00
3567.3999       6.37721634E+00
3568.8000       6.38607979E+00
3570.2000       6.40003300E+00
3571.6001       6.41300106E+00
3573.0000       6.41841793E+00
3574.3999       6.41874599E+00
3575.8000       6.41611958E+00
3577.2000       6.39691353E+00
3578.6001       6.37573910E+00
3580.0000       6.37524605E+00
3581.3999       6.38033485E+00
3582.8000       6.39445210E+00
3584.2000       6.38706493E+00
3585.6001       6.35505581E+00
3587.0000       6.33568573E+00
3588.3999       6.35013103E+00
3589.8000       6.37163448E+00
3591.2000       6.40988159E+00
3592.6001       6.42925167E+00
3594.0000       6.41808891E+00
3595.3999       6.41497040E+00
3596.8000       6.44336796E+00
3598.2000       6.44714355E+00
3599.6001       6.45403767E+00
3601.0000       6.46815491E+00
3602.3999       6.45978355E+00
3603.8000       6.45666409E+00
3605.2000       6.47176647E+00
3606.6001       6.49655247E+00
3608.0000       6.47948170E+00
3609.3999       6.43072891E+00
3610.8000       6.42087936E+00
3612.2000       6.43926430E+00
3613.6001       6.44205475E+00
3615.0000       6.44369698E+00
3616.3999       6.45239639E+00
3617.8000       6.44107056E+00
3619.2000       6.41579151E+00
3620.6001       6.41119480E+00
3622.0000       6.44435310E+00
3623.3999       6.47504902E+00
3624.8000       6.48177910E+00
3626.2000       6.49474716E+00
3627.6001       6.54514122E+00
3629.0000       6.57747841E+00
3630.3999       6.54070950E+00
3631.8000       6.52101135E+00
3633.2000       6.52905464E+00
3634.6001       6.53118896E+00
3636.0000       6.51493740E+00
3637.3999       6.50771523E+00
3638.8000       6.48916626E+00
3640.2000       6.49179268E+00
3641.6001       6.50246239E+00
3643.0000       6.48686790E+00
3644.3999       6.45879841E+00
3645.8000       6.44599438E+00
3647.2000       6.44451714E+00
3648.6001       6.46011162E+00
3650.0000       6.44714355E+00
3651.3999       6.46848297E+00
3652.8000       6.49129963E+00
3654.2000       6.49491119E+00
3655.6001       6.48062992E+00
3657.0000       6.49589634E+00
3658.3999       6.52511501E+00
3659.8000       6.58223915E+00
3661.2000       6.57912064E+00
3662.6001       6.53906727E+00
3664.0000       6.53365040E+00
3665.3999       6.54021645E+00
3666.8000       6.52774143E+00
3668.2000       6.53184509E+00
3669.6001       6.55334854E+00
3671.0000       6.54432011E+00
3672.3999       6.54842377E+00
3673.8000       6.57173347E+00
3675.2000       6.58191109E+00
3676.6001       6.59241676E+00
3678.0000       6.60915947E+00
3679.3999       6.60636902E+00
3680.8000       6.60981655E+00
3682.2000       6.57797146E+00
3683.6001       6.53430748E+00
3685.0000       6.52199650E+00
3686.3999       6.53841114E+00
3687.8000       6.55433369E+00
3689.2000       6.57846355E+00
3690.6001       6.57518101E+00
3692.0000       6.61424828E+00
3693.3999       6.60193729E+00
3694.8000       6.55088615E+00
3696.2000       6.55219936E+00
3697.6001       6.59914684E+00
3699.0000       6.64264584E+00
3700.3999       6.64855576E+00
3701.8000       6.67662525E+00
3703.2000       6.64510822E+00
3704.6001       6.57944870E+00
3706.0000       6.54251480E+00
3707.3999       6.54924488E+00
3708.8000       6.57895565E+00
3710.2000       6.59077454E+00
3711.6001       6.56303310E+00
3713.0000       6.55679607E+00
3714.3999       6.59881783E+00
3715.8000       6.65922546E+00
3717.2000       6.66644764E+00
3718.6001       6.62655926E+00
3720.0000       6.57600117E+00
3721.3999       6.51871300E+00
3722.8000       6.50393963E+00
3724.2000       6.56286907E+00
3725.6001       6.63722897E+00
3727.0000       6.65659904E+00
3728.3999       6.64330292E+00
3729.8000       6.62918568E+00
3731.2000       6.61129379E+00
3732.6001       6.58191109E+00
3734.0000       6.50246239E+00
3735.3999       6.41579151E+00
3736.8000       6.40988159E+00
3738.2000       6.47537804E+00
3739.6001       6.55236340E+00
3741.0000       6.59553528E+00
3742.3999       6.59011841E+00
3743.8000       6.54579735E+00
3745.2000       6.48883820E+00
3746.6001       6.45075512E+00
3748.0000       6.45387363E+00
3749.3999       6.44090652E+00
3750.8000       6.42383480E+00
3752.2000       6.43023682E+00
3753.6001       6.47143841E+00
3755.0000       6.56845093E+00
3756.3999       6.63919926E+00
3757.8000       6.61408424E+00
3759.2000       6.54678249E+00
3760.6001       6.52347374E+00
3762.0000       6.53266621E+00
3763.3999       6.55154324E+00
3764.8000       6.58699894E+00
3766.2000       6.62245560E+00
3767.6001       6.61408424E+00
3769.0000       6.59898186E+00
3770.3999       6.59438610E+00
3771.8000       6.60325050E+00
3773.2000       6.61162186E+00
3774.6001       6.62672329E+00
3776.0000       6.59602737E+00
3777.3999       6.61112976E+00
3778.8000       6.66661167E+00
3780.2000       6.74064350E+00
3781.6001       6.78315830E+00
3783.0000       6.77183151E+00
3784.3999       6.74835873E+00
3785.8000       6.64001942E+00
3787.2000       6.60210133E+00
3788.6001       6.57403183E+00
3790.0000       6.56385422E+00
3791.3999       6.58076191E+00
