#
# Spectrum of Yale1755, spectral type M5v
# Source: Jacoby, Hunter, & Christian, 1984, ApJ, 56, 257
#         Scaled to flux=1.0 at 5500 Angstroms.
#
# Wave: wavelength in Angstroms
# Flux: scaled flux normalized to 1.0 at 5500A then shifted
#       in order of spectral type
Wave            Flux
3510.0000       1.04297638E-01
3511.3999       1.29982948E-01
3512.8000       1.37751579E-01
3514.2000       1.30589485E-01
3515.6001       1.30395889E-01
3517.0000       1.11458778E-01
3518.3999       1.38626099E-01
3519.8000       1.21850014E-01
3521.2000       9.06286240E-02
3522.6001       8.16946030E-02
3524.0000       8.89539719E-02
3525.3999       1.11580849E-01
3526.8000       9.10654068E-02
3528.2000       9.09690857E-02
3529.6001       1.22820854E-01
3531.0000       1.23524666E-01
3532.3999       1.29060745E-01
3533.8000       1.56154633E-01
3535.2000       1.41272545E-01
3536.6001       1.21825218E-01
3538.0000       9.71593857E-02
3539.3999       1.20733261E-01
3540.8000       1.47875786E-01
3542.2000       1.39573097E-01
3543.6001       1.49016380E-01
3545.0000       1.71668053E-01
3546.3999       1.34159088E-01
3547.8000       9.83009338E-02
3549.2000       1.13935471E-01
3550.6001       1.27821922E-01
3552.0000       1.25200272E-01
3553.3999       1.31075859E-01
3554.8000       1.44015312E-01
3556.2000       1.32775307E-01
3557.6001       9.75961685E-02
3559.0000       9.33723450E-02
3560.3999       1.08424187E-01
3561.8000       9.47799683E-02
3563.2000       6.52103424E-02
3564.6001       5.33142090E-02
3566.0000       7.20319748E-02
3567.3999       8.63075256E-02
3568.8000       7.69119263E-02
3570.2000       6.79531097E-02
3571.6001       6.64234161E-02
3573.0000       5.18817902E-02
3574.3999       6.40449524E-02
3575.8000       8.01897049E-02
3577.2000       7.91940689E-02
3578.6001       8.04567337E-02
3580.0000       5.70526123E-02
3581.3999       4.84828949E-02
3582.8000       5.43088913E-02
3584.2000       6.23455048E-02
3585.6001       7.31487274E-02
3587.0000       8.85896683E-02
3588.3999       1.06943130E-01
3589.8000       1.08545303E-01
3591.2000       1.04612350E-01
3592.6001       1.08521461E-01
3594.0000       1.11094475E-01
3595.3999       1.10657692E-01
3596.8000       1.12041473E-01
3598.2000       1.08059883E-01
3599.6001       1.09614372E-01
3601.0000       1.26632690E-01
3602.3999       1.33843422E-01
3603.8000       1.01602554E-01
3605.2000       6.87303543E-02
3606.6001       6.64234161E-02
3608.0000       7.53583908E-02
3609.3999       7.63530731E-02
3610.8000       7.43865967E-02
3612.2000       9.67464447E-02
3613.6001       1.31269455E-01
3615.0000       1.26486778E-01
3616.3999       9.66253281E-02
3617.8000       8.23745728E-02
3619.2000       9.20610428E-02
3620.6001       1.14712715E-01
3622.0000       1.28355980E-01
3623.3999       1.25297546E-01
3624.8000       1.27361298E-01
