#
# Main-sequence Mass-Luminosity-Radius data from Eker et al. 2018, MNRAS, 479, 5491
# Derived from a CSV file provided by Eker to the authors.
#
# Columns are logarithmic mass, radius, gravity, and luminosity, with errors
# all in solar units
#
ID     logM       errM       logR       errR       logg       errg       logL       errL   
  1    0.20249    0.00790    0.19976    0.00768    4.24100    0.01700    0.79556    0.03452
  2    0.13226    0.00929    0.12320    0.00948    4.32400    0.02100    0.57651    0.04883
  4    0.10721    0.00339    0.09691    0.00347    4.35200    0.00800    0.31808    0.01535
  5   -0.16941    0.01219   -0.16431    0.01902    4.59800    0.04000   -0.78048    0.04116
  6   -0.32331    0.00914   -0.28904    0.01690    4.69300    0.03500   -1.39143    0.03764
  7    0.66811    0.00933    0.62242    0.00518    3.86200    0.01400    2.87471    0.06925
  8    0.66039    0.00854    0.56478    0.00473    3.96900    0.01300    2.80017    0.06699
  9    0.28330    0.00226    0.24551    0.01234    4.23100    0.02500    1.18371    0.08729
 10    0.28330    0.00226    0.24551    0.01234    4.23100    0.02500    1.18371    0.13981
 13    0.35468    0.00230    0.40226    0.00189    3.98900    0.00400    1.67377    0.02568
 14    0.12222    0.00229    0.12418    0.00196    4.31200    0.00500    0.55340    0.06451
 15    0.04218    0.00276    0.15381    0.00579    4.17300    0.01200    0.34573    0.04102
 16    0.03342    0.00281    0.13799    0.00601    4.19600    0.01200    0.30670    0.04158
 17    0.22634    0.02759    0.29447    0.00220    4.07600    0.02800    1.11557    0.02352
 18    0.19285    0.02814    0.36717    0.00186    3.89700    0.02800    1.25295    0.02293
 21    0.59351    0.00498    0.45530    0.00304    4.12100    0.00800    2.51675    0.04788
 22    0.40569    0.00444    0.26811    0.00468    4.30800    0.01000    1.79456    0.03854
 25    0.11025    0.00236    0.23729    0.00528    4.07400    0.01100    0.58195    0.04734
 26    0.10175    0.00241    0.22891    0.00436    4.08200    0.00900    0.57366    0.04532
 27    0.30428    0.00647    0.30320    0.00281    4.13600    0.00900    1.40487    0.06264
 28    0.29270    0.00664    0.29358    0.00287    4.14400    0.00900    1.37803    0.06301
 29   -0.21254    0.02125   -0.22475    0.01457    4.67500    0.03600   -1.19869    0.14496
 31   -0.00745    0.00398    0.04805    0.00778    4.33500    0.01600    0.09851    0.04561
 32   -0.11691    0.00284   -0.07831    0.01560    4.47800    0.03100   -0.49516    0.06046
 37    0.61013    0.00586    0.36021    0.02672    4.32800    0.05400    2.37949    0.11134
 38    0.50215    0.00697    0.27967    0.02144    4.38100    0.04300    1.67960    0.12184
 41    0.10449    0.00034    0.10992    0.00472    4.32300    0.00900    0.42938    0.01504
 42    0.09830    0.00035    0.10278    0.00480    4.33100    0.01000    0.40172    0.01282
 43    1.27967    0.00160    0.85854    0.00361    4.00100    0.00700    4.69779    0.06134
 44    1.13767    0.00158    0.76268    0.00450    4.05100    0.00900    4.26992    0.07720
 45    0.33526    0.01405    0.34869    0.00448    4.07600    0.01700    1.70343    0.05111
 46    0.33203    0.01415    0.31681    0.00461    4.13700    0.01700    1.55322    0.04998
 47    0.24871    0.00392    0.27323    0.00810    4.14100    0.01700    1.08506    0.04159
 48    0.20817    0.00376    0.24944    0.00709    4.14800    0.01500    0.98140    0.04268
 51    0.19948    0.00549    0.32077    0.01037    3.99600    0.02100    0.93646    0.04259
 52    0.12287    0.00327    0.19562    0.01938    4.17000    0.03900    0.61382    0.06523
 56   -0.20782    0.00238   -0.20066    0.02068    4.63200    0.04100   -1.01466    0.04393
 57    0.15381    0.00183    0.17435    0.03198    4.24300    0.06400    0.64413    0.07030
 58    0.12320    0.00196    0.13162    0.03528    4.29800    0.07100    0.49084    0.08904
 59    0.25118    0.00229    0.38184    0.00325    3.92600    0.00700    1.23705    0.04087
 60    0.24898    0.00237    0.37401    0.00312    3.93900    0.00700    1.21911    0.04296
 61    0.14145    0.01631    0.17143    0.00585    4.23700    0.02000    0.65346    0.04946
 62    0.10209    0.01751    0.08672    0.00356    4.36700    0.01900    0.39971    0.04674
 65   -0.56543    0.03193   -0.57187    0.01458    5.01700    0.04300   -2.10448    0.09719
 66   -0.61979    0.03981   -0.60555    0.01401    5.03000    0.04900   -2.18235    0.09645
 67   -0.27819    0.00165   -0.29671    0.00688    4.75400    0.01400   -1.54895    0.04506
 68   -0.30892    0.00088   -0.32698    0.00830    4.78300    0.01700   -1.64107    0.04847
 69   -0.42597    0.01853   -0.41680    0.00680    4.84600    0.02300   -1.79960    0.07134
 70   -0.55284    0.02327   -0.54821    0.00614    4.98200    0.02600   -2.09902    0.07016
 71    0.18298    0.00228    0.16524    0.00297    4.29100    0.00600    0.68777    0.04269
 72    0.17609    0.00405    0.16673    0.00296    4.28100    0.00700    0.66108    0.04330
 73   -0.52014    0.01007   -0.46725    0.02038    4.85300    0.04200   -1.94299    0.09454
 74   -0.55799    0.01067   -0.49621    0.01770    4.87300    0.03700   -2.07789    0.09162
 78    0.19000    0.00261    0.17696    0.01300    4.27400    0.02600    0.75738    0.02815
 79    0.11594    0.00266    0.17319    0.00291    4.20800    0.00600    0.59235    0.02412
 80    0.14364    0.00250    0.25139    0.00268    4.07900    0.00600    0.74223    0.02371
 81    0.54568    0.00494    0.39182    0.00529    4.20000    0.01200    2.09795    0.03882
 82    0.23880    0.00501    0.17869    0.00576    4.32000    0.01300    0.85125    0.03416
 85    0.65302    0.01294    0.47842    0.01010    4.13500    0.02400    2.95182    0.09656
 86    0.61257    0.01155    0.41764    0.01162    4.21600    0.02600    2.75217    0.10311
 88    1.07737    0.02580    0.77815    0.00651    3.95900    0.02900    4.25686    0.03211
 89    0.04001    0.00158    0.14950    0.00179    4.17900    0.00400    0.32231    0.03327
 90    0.00522    0.00120    0.04387    0.00259    4.35600    0.00500    0.06594    0.03566
 91    0.12080    0.00286    0.13735    0.00411    4.28400    0.00900    0.45954    0.03258
 92    0.01937    0.00191    0.08955    0.00459    4.27900    0.00900   -0.23798    0.07041
 94    0.11059    0.01683    0.16137    0.01198    4.22600    0.02900    0.48579    0.02889
 97    0.28330    0.00294    0.28171    0.00363    4.15800    0.00800    1.20695    0.03636
 98    0.27254    0.00417    0.25768    0.00336    4.19600    0.00800    1.13376    0.03623
101   -0.24642    0.00153   -0.25806    0.00629    4.70800    0.01300   -1.18828    0.04804
102   -0.27409    0.00163   -0.27409    0.00490    4.71200    0.01000   -1.26978    0.04627
103   -0.07883    0.00312   -0.07160    0.00256    4.50300    0.00600   -0.27835    0.07018
104   -0.08197    0.00315   -0.07935    0.00261    4.51500    0.00600   -0.36524    0.07301
105   -0.02032    0.00187    0.01191    0.00177    4.39400    0.00400    0.03522    0.03943
106   -0.09184    0.00193   -0.11025    0.00190    4.56700    0.00400   -0.41521    0.04421
107   -0.10347    0.00551   -0.11577    0.00850    4.56600    0.01800   -0.78385    0.09973
108   -0.11295    0.00451   -0.09528    0.00541    4.51600    0.01200   -0.77081    0.11590
109    0.15866    0.00482    0.25479    0.00411    4.08700    0.01000    0.63384    0.02222
110    0.13545    0.00509    0.19976    0.00548    4.17400    0.01200    0.52377    0.02498
111    0.40543    0.00087    0.26095    0.00236    4.32200    0.00500    1.63426    0.05231
112    0.37230    0.00087    0.25787    0.00199    4.29500    0.00400    1.53020    0.05433
113    0.06930    0.00407    0.06781    0.00186    4.37200    0.00600    0.22308    0.03090
114    0.05038    0.00348    0.04060    0.00198    4.40800    0.00500    0.11931    0.03193
115    0.13545    0.00350    0.26364    0.00237    4.04700    0.00600    0.31327    0.01358
116    0.12287    0.00262    0.23930    0.00250    4.08300    0.00600    0.14043    0.01451
117    0.52009    0.01311    0.41780    0.00664    4.12300    0.01900    2.10703    0.10013
118    0.39933    0.01732    0.29951    0.00872    4.23900    0.02500    1.67124    0.10186
119    0.09167    0.00211    0.13001    0.00419    4.27000    0.00900    0.38429    0.03639
120    0.07773    0.00254    0.10551    0.00443    4.30500    0.00900    0.32122    0.03710
121    0.39480    0.00437    0.30471    0.00431    4.22400    0.01000    1.63224    0.09213
