#
# Pleiades Cluster Gaia EDR3 Data
# Source: Heyl et al. 2021, arXiv:2110.03837
#
# parallax error (sig_p/p)<0.02
# Column 1: BP-RP
# Column 2: absolute G magnitude
# Column 3: parallax [mas] -- not used in plot
#
  BP-RP          MG          par
 -0.0331000015 -0.498007298  7.23999977
 -0.0671000034 -0.142068386  7.69000006
 -0.0211999994 -0.215477467  7.38999987
 -0.0804999992 -0.0669140816  7.21999979
 -0.023  0.0715866089  7.30999994
  0.0234999992  0.389491081  7.40999985
 -0.0496999994  0.522894382  7.46000004
  0.00939999986  0.585462093  7.19999981
 -0.0168999992  0.777319431  7.42000008
 -0.0326000005  0.888544559  7.19000006
  9.99999975E-05  1.0392375  7.36999989
  0.0346000008  1.11047268  7.26999998
  0.0553000011  1.14962244  7.38999987
  0.101400003  1.11159134  7.23000002
  0.0245999992  1.24721909  7.42000008
  0.0423999988  1.31718683  7.30999994
  0.0425000004  1.32101393  7.30000019
  0.0386999995  1.53585386  7.69999981
  0.0339000002  1.42928553  7.01999998
  0.105099998  1.55504465  7.19000006
  0.0423000008  1.57918596  7.21999979
  0.134399995  1.68423653  7.3499999
  0.1329  1.75439024  7.01000023
  0.0899000019  1.86855555  7.32000017
  0.202700004  1.97708035  7.34000015
  0.234400004  2.06969404  7.46000004
  0.2421  2.1748085  7.75
  0.217399999  2.11340284  7.46999979
  0.251599997  2.11373758  7.28999996
  0.265799999  2.1502142  7.30000019
  0.485399991  2.32315493  7.80999994
  0.233799994  2.31648111  7.44999981
  0.277200013  2.36579084  7.40999985
  0.272300005  2.39069128  7.40999985
  0.320600003  2.49817514  7.61999989
  0.273099989  2.41685581  7.32000017
  0.296299994  2.45371914  7.42000008
  0.501299977  2.56339121  7.40999985
  0.444099993  2.57485819  7.4000001
  0.353899986  2.5515728  7.26999998
  0.343600005  2.55626202  7.19999981
  0.368600011  2.63578892  7.36000013
  0.411199987  2.67825842  7.4000001
  0.384600013  2.6594553  7.32000017
  0.43720001  2.717381  7.44999981
  0.498100013  2.88143682  7.3499999
  0.511900008  2.9556551  7.32000017
  0.486999989  2.97979021  7.
  0.534200013  3.07129002  7.25
  0.498899996  3.03943062  7.09000015
  0.595700026  3.26927423  7.53000021
  0.547900021  3.22932243  7.38999987
  0.536599994  3.25490284  7.46999979
  0.620599985  3.22038651  7.30999994
  0.615199983  3.33308697  7.30999994
  0.587300003  3.3305912  7.23000002
  0.631099999  3.41788149  7.44999981
  0.597899973  3.43900776  7.48000002
  0.687699974  3.45959949  7.51000023
  0.658999979  3.4524889  7.36000013
  0.622600019  3.53388882  7.36000013
  0.641700029  3.63882256  7.38999987
  0.657400012  3.57783079  7.1500001
  0.638100028  3.67303705  7.3499999
  0.664200008  3.63049173  7.13999987
  0.656400025  3.67827225  7.26999998
  0.645099998  3.710989  7.36000013
  0.403299987  3.75505877  7.4000001
  0.685299993  3.77362251  7.38999987
  0.680899978  3.7710371  7.36999989
  0.712100029  3.73608971  7.25
  0.679099977  3.82339287  7.23999977
  0.801299989  3.83655643  7.28000021
  0.735199988  3.86521912  7.32999992
  0.684599996  3.91078186  7.38000011
  0.736199975  4.04510546  7.76999998
  0.69660002  3.94032288  7.38999987
  0.752799988  4.05728102  7.44999981
  0.748300016  3.93698978  7.01000023
  0.70569998  4.08790874  7.48999977
  0.700699985  4.11787462  7.53000021
  0.832899988  4.02294445  7.19000006
  0.708000004  4.1013813  7.38000011
  0.777400017  4.15880919  7.55999994
  0.711099982  4.10929298  7.23999977
  0.734099984  4.25551891  7.42000008
  0.752300024  4.32217932  7.57000017
  0.780200005  4.23658323  7.26000023
  0.744400024  4.28452301  7.38999987
  0.826099992  4.30121422  7.30000019
  0.740499973  4.2756443  7.19000006
  0.900900006  4.41180325  7.46999979
  0.802299976  4.45719099  7.40999985
  0.778800011  4.3393302  6.92000008
  0.780399978  4.46349049  7.25
  0.841300011  4.53261948  7.32999992
  0.789900005  4.55068111  7.38000011
  0.800800025  4.48859978  7.11999989
  0.891300023  4.58229113  7.40999985
  0.797699988  4.55933762  7.28999996
  0.831900001  4.62115812  7.4000001
  0.821799994  4.63982296  7.38999987
  0.806100011  4.56709957  7.11999989
  0.828599989  4.62674427  7.19000006
  0.958400011  4.63852167  7.17999983
  1.12609994  4.64422178  7.17999983
  0.819999993  4.65346432  7.15999985
  0.815100014  4.76360607  7.5
  0.921199977  4.78560877  7.55999994
  0.837000012  4.75986528  7.44000006
  0.847000003  4.74845839  7.4000001
  0.833999991  4.75749063  7.40999985
  1.03219998  4.72919273  7.23999977
  0.870700002  4.85169983  7.51000023
  0.904100001  4.8729229  7.38999987
  0.880699992  4.90174389  7.42999983
  0.866599977  4.95738888  7.51999998
  1.04190004  4.88589191  7.23000002
  0.915700018  4.98063517  7.55000019
  0.887399971  4.92561913  7.32999992
  1.04709995  5.0042057  7.5
  0.889100015  4.99604416  7.42999983
  0.89319998  5.0510087  7.55999994
  0.911199987  5.07510567  7.5
  1.06939995  4.90014553  6.9000001
  0.908800006  4.98994446  7.19000006
  0.899800003  4.99476433  7.15999985
  0.918500006  5.12010574  7.5
  0.886699975  5.05168295  7.26000023
  0.914900005  5.13830853  7.48999977
  0.983799994  5.13971424  7.30000019
  1.10810006  5.14649296  7.23999977
  0.965499997  5.17878008  7.34000015
  0.922599971  5.17148972  7.25
  0.960699975  5.21043777  7.36999989
  1.28129995  5.14649153  7.13999987
  0.91960001  5.21689034  7.25
  0.942399979  5.22436237  7.19999981
  0.944800019  5.29489088  7.40999985
  0.960600019  5.33338118  7.44999981
  1.0158  5.36514378  7.42999983
  0.994499981  5.49140882  7.82999992
  1.29120004  5.25369024  6.90999985
  1.0036  5.42803764  7.36999989
  0.999100029  5.47830772  7.48000002
  1.09119999  5.49650288  7.46999979
  1.06340003  5.42909575  7.17000008
  1.00969994  5.56840897  7.59000015
  1.02540004  5.54679966  7.51000023
  0.997799993  5.47838354  7.26000023
  0.99849999  5.57810879  7.59000015
  1.0079  5.56010246  7.46999979
  1.03349996  5.59224606  7.57999992
  1.05780005  5.50957203  7.26999998
  0.999599993  5.59940958  7.55999994
  1.05280006  5.5227375  7.28999996
  1.00940001  5.5597887  7.36000013
  1.02310002  5.56398058  7.34000015
  1.05209994  5.54333067  7.1500001
  1.00539994  5.61682224  7.38999987
  1.07959998  5.64940262  7.46999979
  1.0654  5.64822292  7.38999987
  1.04209995  5.6357193  7.32999992
  1.06900001  5.72682285  7.61000013
  1.08070004  5.5964303  7.1500001
  1.01989996  5.64267635  7.21000004
  1.24020004  5.59018517  7.01999998
  1.05400002  5.79563475  7.55000019
  1.08679998  5.79200268  7.46999979
  1.02699995  5.70016479  7.15999985
  1.1085  5.79186487  7.44000006
  1.09619999  5.83328009  7.57000017
  1.07599998  5.85788012  7.57000017
  1.04779994  5.78097248  7.26999998
  1.06480002  5.83959389  7.46000004
  1.10800004  5.84703732  7.36999989
  1.27170002  5.88870907  7.48999977
  1.10220003  6.00002337  7.63000011
  1.17120004  5.97728634  7.30999994
  1.29470003  6.03438139  7.44999981
  1.11140001  6.03904438  7.42999983
  1.12339997  6.03691959  7.42000008
  1.21060002  6.04383755  7.28999996
  1.14549994  6.11189938  7.51000023
  1.11140001  6.00664806  7.11000013
  1.24860001  6.08354473  7.19000006
  1.13569999  6.13315678  7.28000021
  1.18009996  6.26999664  7.73000002
  1.16480005  6.16085625  7.28000021
  1.27810001  6.19418907  7.36000013
  1.23959994  6.15177631  7.21000004
  1.17999995  6.14604473  7.19000006
  1.18200004  6.28953505  7.55000019
  1.62300003  6.19409132  7.13999987
  1.31589997  6.17258596  6.98999977
  1.20120001  6.27965546  7.32000017
  1.23399997  6.32890797  7.48000002
  1.41939998  6.29608917  7.36000013
