#
# Pleiades Rotation Data (Godoy-Rivera et al. 2021)
#
# Reduced to 3 columns:
#  Period = rotation period in days
#  GaiaDR2_ID = star ID in the Gaia DR2 catalog
#  BP-RP = observed Gaia B-R color index
#
Period   GaiaDR2_ID            BP-RP     
0.3193   67878663874731136     2.863678  
0.286    67899520235887616     3.1979322 
5.766    61554650949438208     1.0155878 
0.3744   67667935599570432     2.9764814 
0.8275   64555694921236352     2.4523773 
0.4725   68014964661425280     3.2558327 
2.7953   67618285777617664     0.7102661 
1.8867   64589062523316736     2.67801   
0.549    67832346947351424     3.145955  
11.1805  64597927335800064     1.7720995 
7.551    68398732874994944     1.214345  
0.304    67724697887107200     3.170288  
0.8969   67756789882795008     2.797184  
2.1116   64671903852618624     0.75014687
3.7479   67732257029618048     2.1211395 
0.72     68236795427794816     2.8904066 
0.7734   68174191984522368     2.938428  
1.081    64600813554014592     2.5907116 
0.6961   64656201452146304     3.1242132 
1.1377   68175806892217216     2.6468468 
0.3847   68147391388599808     2.9542532 
0.5572   68145707761492608     3.3077316 
0.3291   68232603539842944     3.230608  
0.482    64653383953596032     3.1523151 
0.4198   68232191222851456     3.2724953 
1.2224   68238543478364032     3.445406  
0.6702   68170721650939264     2.9540339 
0.606    68183331674900864     3.0546484 
0.7654   68183125516472320     2.631671  
6.8132   68334235349446528     1.1248474 
2.337    65125452399528320     2.1765623 
4.5487   68129764842889600     0.9182844 
0.534    63436396380626688     2.444868  
0.3274   65119469509073152     3.52137   
3.7501   64215125490886656     3.0656128 
4.395    65119164567417856     0.90125275
0.3451   63410622280810368     3.3092136 
8.3247   65125864716379264     1.3769703 
0.5214   68186114813689344     3.0732822 
1.4556   68152820227358720     2.7223368 
0.3446   68156290560900480     3.339405  
10.0234  65107860213588096     1.7260284 
0.4252   68162028637205888     3.0992022 
0.3226   68283421593270400     3.3571548 
0.7308   68162921990400256     2.8881302 
0.7453   64401389632616960     3.2153625 
0.5384   65101606741121792     3.118619  
0.8393   65047043476608128     3.1084986 
0.3591   68167835432980480     2.980093  
5.4678   65150947325369600     0.9756479 
0.3868   68168419548529920     3.1458473 
0.5168   65147438335354624     3.1023216 
1.5972   68282837477714816     3.1930885 
11.0063  65151531440914560     1.8991327 
0.2943   65042439271761280     3.1903744 
0.6486   68279225408437888     3.333046  
0.515    68262973252098304     3.0684757 
6.842    65040686925109760     2.6733704 
7.7833   65153833543386624     1.9593086 
0.2821   68263145050803840     3.396471  
0.6995   68265588889169664     2.5277958 
2.2576   68291977168100480     2.502078  
3.0135   65134592089910656     2.3428612 
0.4774   68259438496008832     2.499961  
0.7131   68284104491279872     3.2307186 
1.0188   65053915424355584     3.2372713 
0.6026   68261053403709312     3.1432905 
2.9794   68363411064150272     1.908227  
2.3787   64317998547641344     0.71807766
0.4958   65156891560085504     3.1640987 
4.2264   65027905102436608     1.8398819 
0.9519   68265279651517056     2.8769827 
1.9793   64456262134709376     2.9131413 
0.325    65023232178029440     2.1059608 
1.2913   63391174669006080     3.02497   
0.5641   68261946756899456     3.1399841 
1.551    65079788307324672     2.843028  
0.2587   65254851174771584     2.4949436 
0.5634   65257187636977536     3.0843658 
0.6713   65254885534508672     2.8263378 
0.269    65078929312363392     2.603817  
0.4288   65037731987586304     3.1794567 
0.4436   65254576296865152     3.0668945 
0.3519   65155856471318912     3.3105183 
0.4038   65038281743395584     3.2622318 
1.4072   68310561489710336     0.6653547 
0.3657   68268165869533568     3.054555  
0.9149   63146743786148992     3.264409  
6.6996   65030344643851776     1.1916037 
6.536    64438841747360768     1.7132854 
0.3437   68268303308484224     3.159338  
6.6874   68317609532996480     1.141139  
0.3103   64841503521468544     2.2912436 
0.4336   63449521800719488     3.1861572 
0.1748   64433924008996224     3.5548687 
2.0256   68317746971945600     2.6377316 
0.4164   65263097511969792     3.1884098 
0.7068   68323966084583680     2.9518995 
0.2562   68314414077327744     2.4242506 
0.3057   64840541448791424     3.0769014 
0.3642   68298093201624960     3.0925026 
2.7573   65063707949772544     0.961092  
0.2668   65239522434899840     3.0772457 
1.2523   64843805623922688     3.0718641 
0.777    64836349560719232     2.756837  
0.5047   64818203322590208     3.0567398 
0.7217   68319529381881344     3.156273  
5.4442   65233788655261568     1.073657  
0.314    65062917675789184     3.097334  
3.0502   65084358152509440     1.8997641 
1.3696   68294554148575232     1.8285284 
0.366    65184894747573376     3.0355148 
0.3049   65232757863112192     3.1420069 
0.294    65232066371441792     3.1575089 
0.5793   68300326584600448     3.0378218 
0.3123   65265674492422784     3.1077404 
4.005    68296650092601088     2.514865  
2.3235   65056526764528128     2.6839495 
9.4558   65089473457126784     1.7248821 
5.3638   65289279632597760     1.0127316 
0.6467   65289279632598016     3.066925  
3.0034   68323485048225152     1.8678293 
4.4858   68295481861500928     1.911253  
0.8159   65245539685760640     2.9073915 
0.7717   65289004754691200     2.911893  
2.3969   65242069352190976     0.74294186
1.4758   68296886313838848     0.9138651 
4.6762   65289623229979136     1.0703726 
0.5739   64870296982175488     2.2148962 
0.5153   65058760147520000     3.0843725 
3.8818   68303659479211776     2.7331257 
1.2348   65289588870240384     2.5052528 
0.4745   68322454256073344     3.0037546 
2.5292   65072435323295872     1.0491371 
7.4885   57036757670988288     2.074359  
0.6063   65241863193865856     2.917448  
6.1589   65247704349267584     1.0228424 
4.0255   68322145018429952     0.8934126 
2.0541   65249250535404928     1.2803516 
0.2749   65293368441513344     2.5928602 
0.6814   68303728198686080     2.8660364 
1.4729   69811639676769536     0.8778496 
1.1868   68310359628169088     1.1248856 
4.4526   65179946945247488     2.727435  
0.4114   68310359628169472     1.4118891 
0.2991   65064837524605312     3.3325825 
0.3567   65248151025861120     1.750556  
0.7643   69811364798863744     2.2257013 
1.08     68308882159427840     2.7298212 
0.8374   68303487680516224     1.0840569 
0.347    65299381395665664     3.0891504 
5.8799   65292268929825408     2.372159  
0.3982   69823940463098752     2.0216541 
0.235    65285633203088768     2.9782143 
0.3044   65244435877629824     2.979435  
0.5332   45022222315428608     1.2018452 
0.9184   65181527493208192     2.8114948 
17.2827  65241313437941504     2.5094843 
9.0574   65244749411766528     1.8265715 
1.6598   65167577439502592     2.5989494 
0.3036   65298208867376384     2.9614944 
0.3152   64864593265614464     2.3609018 
0.6099   65299965511216384     2.70125   
1.908    69811948914407168     0.71434784
3.9912   64770241424108032     0.9183645 
0.2858   65294807253267328     2.6645489 
0.7563   65244646332548352     2.698223  
0.8136   65275020341243520     2.762803  
