#
# Solar Spectrum
# Source:
#   Spectrum: ASTM E-490-000 Solar Spectrum
#   Blackbody: T=5772K
# Lam: wavelength in Angstroms
# Sun: Solar spectral irradiance in erg/s/cm^2/A
# bb5772: T=5772K black body irradiance in erg/s/cm^2/A
#
Lam      Sun          bb5772
  119.5  0.061900001  0.289384514
  120.5  0.561399996  0.330039203
  121.5  4.901000020  0.375462979
  122.5  1.184000020  0.426097304
  123.5  0.047699999  0.482410401
  124.5  0.034299999  0.544901311
  125.5  0.028799999  0.614096701
  126.5  0.035199999  0.690553963
  127.5  0.021299999  0.774863958
  128.5  0.017300000  0.867644072
  129.5  0.039900001  0.969546735
  130.5  0.120600000  1.08125496
  131.5  0.039799999  1.20348525
  132.5  0.041299998  1.33698666
  133.5  0.167999998  1.48253906
  134.5  0.045699998  1.64095294
  135.5  0.037999998  1.8130796
  136.5  0.030899999  1.99979544
  137.5  0.029200000  2.2020092
  138.5  0.039700001  2.42066336
  139.5  0.075599998  2.65673184
  140.5  0.060800001  2.91122484
  141.5  0.042100001  3.18516922
  142.5  0.046799998  3.47963214
  143.5  0.051100000  3.79570341
  144.5  0.050900001  4.13451958
  145.5  0.055399999  4.49720907
  146.5  0.070900000  4.8849597
  147.5  0.084899999  5.29897451
  148.5  0.082000002  5.74047041
  149.5  0.079599998  6.21069622
  150.5  0.086999997  6.71091843
  151.5  0.092699997  7.24243689
  152.5  0.116300002  7.80655241
  153.5  0.129899994  8.40458298
  154.5  0.205899999  9.03788662
  155.5  0.214399993  9.7078104
  156.5  0.184699997  10.4157314
  157.5  0.171700001  11.1630268
  158.5  0.167500004  11.9510918
  159.5  0.175400004  12.7813215
  160.5  0.193399996  13.6551189
  161.5  0.222800002  14.5738955
  162.5  0.251899987  15.5390825
  163.5  0.284099996  16.5520744
  164.5  0.297300011  17.6143036
  165.5  0.430200011  18.7271671
  166.5  0.398900002  19.8920918
  167.5  0.387499988  21.1104832
  168.5  0.455599993  22.3837261
  169.5  0.587700009  23.7132149
  170.5  0.661599994  25.1003208
  171.5  0.688000023  26.5464325
  172.5  0.725199997  28.0528774
  173.5  0.764500022  29.6210022
  174.5  0.906700015  31.2521496
  175.5  1.079000000  32.9476013
  176.5  1.22000003  34.7086143
  177.5  1.40300000  36.5365105
  178.5  1.53799999  38.4324532
  179.5  1.57599998  40.3977356
  180.5  1.83099997  42.4334755
  181.5  2.23300004  44.5409012
  182.5  2.24300003  46.721077
  183.5  2.24399996  48.9751472
  184.5  2.06599998  51.3041382
  185.5  2.31100011  53.7091942
  186.5  2.70000005  56.1912079
  187.5  3.00900006  58.751194
  188.5  3.29099989  61.3901024
  189.5  3.56900001  64.1088638
  190.5  3.76399994  66.9082642
  191.5  4.16499996  69.789238
  192.5  4.11299992  72.752449
  193.5  3.80800009  75.7987442
  194.5  5.21000004  78.9288025
  195.5  5.42700005  82.1433105
  196.5  6.00799990  85.4428329
  197.5  6.19099998  88.8280792
  198.5  6.18699980  92.2994843
  199.5  6.66400003  95.8576202
  200.5  7.32600021  99.5029221
  201.5  8.02299976  103.235825
  202.5  8.26099968  107.05674
  203.5  9.21700001  110.965904
  204.5  10.2500000  114.963608
  205.5  10.5400000  119.050293
  206.5  11.0799999  123.225983
  207.5  12.6499996  127.490845
  208.5  15.0500002  131.845047
  209.5  21.3799992  136.288635
  210.5  27.9200001  140.821655
  211.5  33.5400009  145.444214
  212.5  31.2999992  150.155991
  213.5  33.1500015  154.957169
  214.5  40.0299988  159.847412
  215.5  36.1500015  164.826675
  216.5  32.2700005  169.894623
  217.5  35.2900009  175.051102
  218.5  44.3699989  180.295731
  219.5  46.9199982  185.628265
  220.5  47.3300018  191.048141
  221.5  39.5800018  196.555176
  222.5  49.6500015  202.148804
  223.5  63.0099983  207.828476
  224.5  58.9700012  213.593735
  225.5  52.2900009  219.443939
  226.5  39.4000015  225.378586
  227.5  39.9199982  231.396973
  228.5  51.9500008  237.498489
  229.5  47.7099991  243.682419
  230.5  52.1199989  249.947906
  231.5  50.9700012  256.29422
  232.5  53.2599983  262.720673
  233.5  44.7400017  269.226349
  234.5  38.9700012  275.810364
  235.5  51.4199982  282.471924
  236.5  48.5900002  289.209961
  237.5  48.4399986  296.02359
  238.5  41.9599991  302.911926
  239.5  44.1199989  309.873993
  240.5  39.5600014  316.9086
  241.5  51.4799995  324.014709
  242.5  70.5999985  331.191406
  243.5  66.5299988  338.437653
  244.5  60.9700012  345.751984
  245.5  49.3899994  353.133392
  246.5  50.4000015  360.581116
  247.5  55.5000000  368.093506
  248.5  45.6500015  375.669403
  249.5  56.3800011  383.307922
  250.5  60.0999985  391.00769
  251.5  46.0099983  398.767456
  252.5  41.5499992  406.585846
  253.5  51.5499992  414.461609
  254.5  59.5699997  422.393616
  255.5  79.3000031  430.38031
  256.5  101.800003  438.420746
  257.5  125.400002  446.513489
  258.5  125.099998  454.657104
  259.5  104.000000  462.850372
  260.5  85.5100021  471.091583
  261.5  89.8000031  479.379852
  262.5  103.599998  487.713745
  263.5  165.800003  496.091614
  264.5  249.699997  504.51236
  265.5  252.699997  512.974426
  266.5  249.399994  521.476624
  267.5  250.800003  530.017639
  268.5  243.800003  538.595825
  269.5  238.899994  547.209656
  270.5  267.299988  555.858337
  271.5  224.399994  564.539856
  272.5  197.399994  573.253052
  273.5  196.500000  581.996521
  274.5  132.600006  590.769287
  275.5  175.100006  599.569214
  276.5  242.800003  608.395325
  277.5  233.800003  617.246338
  278.5  159.300003  626.12085
  279.5  85.5500031  635.017029
  280.5  94.6299973  643.934021
  281.5  208.300003  652.870361
  282.5  294.100006  661.824341
  283.5  313.500000  670.795105
  284.5  235.300003  679.780945
  285.5  163.100006  688.781006
  286.5  322.700012  697.793213
  287.5  336.299988  706.816528
  288.5  322.200012  715.850159
  289.5  472.700012  724.891846
