#
# Core and Envelope rotation periods for evolved stars
#
# Source: Aerts et al. 2019, ARA&A, 57, 35, data provided in electronic
# form by Conny Aerts and prepared for this plot by Jamie Tayar (U Florida)
#
# units:
#   Pcore, Penv - rotation period in days
#   logg - surface gravity in cgs
#
KIC Pcore  Penv  logg  starDesc
 7341231  16.3015137  77.1604919  3.52367115   earlyRGB
 12508433  21.7557793  50.987114  3.83240342   subgiant
 8702606  18.400753  44.007885  3.76709151     subgiant
 5689820  12.6216726  106.184166  3.76371956   subgiant
 8751420  7.14449024  106.184166  3.71058583   subgiant
 7799349  8.81498432  134.58226  3.67695951    subgiant
 9574283  7.05736256  156.406403  3.60072351   subgiant
 4448777  15.4527025  170.20697  3.25567508    RGB
 3744043  21.5934219  134.58226  2.99624348    RGB
 6144777  24.3152809  413.359772  3.06883836   RGB
 7060732  18.2268887  231.481476  3.03207302   RGB
 7619745  15.7043066  236.205597  3.21818471   RGB
 8366239  26.2450638  156.406403  3.21558166   RGB
 8475025  18.4889374  128.600815  3.00236154   RGB
 8718745  14.3243494  98.0853729  3.04857635   RGB
 9267654  12.5668564  304.580902  3.05394292   RGB
 10257278  11.8708448  111.289169  3.13028049  RGB
 11353313  12.845809  150.312653  3.11817956   RGB
 11913545  20.7793083  680.827881  3.0449419   RGB
 11968334  15.4940758  148.385574  3.16801047  RGB
 12008916  15.0704098  186.678619  3.1603055   RGB
 9163796  21.2368336  146.507263  3.12437463   binary:primary
 5006817  12.44524  165.343918  3.07842803     binary:primary
 5184199  57.870369  183.715469  2.90752697    core-He
 4659821  70.1459045  146.507263  2.93493581   core-He
 8962923  83.8701019  146.507263  2.83275557   core-He
 3744681  59.6601753  183.715469  2.71114111   core-He
 9346602  70.5736237  218.378754  2.67504668   core-He
 7467630  95.6535034  120.563278  2.77554154   core-He
 7581399  70.5736237  133.035339  2.84413671   core-He
 5955122  56.7356606  38.8391724  3.88133049   ?
 8524425  23.7173634  17.1467762  3.98137522   ?
