KIC,2MASS,Age,Mass,Prot
1432745,19255715+3704231,2.88,0.77,21.81
1724975,19290115+3715011,1.03,0.89,10.61
1996721,19060115+3728027,6.04,0.81,31.93
2018047,19285561+3728053,8.79,0.55,43.02
2156061,19215838+3732382,4.45,0.70,29.38
2283541,19044078+3736065,0.70,1.02,7.30
2285598,19072124+3741480,6.69,0.69,37.19
2301872,19245100+3737013,3.26,0.50,22.59
2302851,19254185+3737490,1.40,0.63,12.18
2422998,19044617+3744243,2.77,1.48,53.33
2443364,19254863+3744245,6.06,0.66,35.68
2577743,19272630+3753469,5.59,0.42,31.93
2692704,19030609+3755220,2.58,0.52,14.79
2707526,19203493+3758151,5.53,0.88,30.00
2831113,19020662+3804074,7.39,0.85,36.93
2831983,19031280+3801413,1.01,0.74,9.90
2837133,19094785+3804214,3.33,0.92,22.42
2986505,19225008+3808121,8.55,0.80,41.55
2987123,19232649+3811211,0.85,0.83,9.17
3109550,19184121+3817523,5.35,0.92,29.45
3128488,19363364+3817318,0.62,0.78,6.09
3129238,19371284+3812108,0.56,0.93,6.53
3130425,19381239+3815434,3.56,0.93,22.42
3232323,19224963+3823324,5.00,0.83,27.41
3233612,19241756+3821152,3.95,0.77,25.76
3323808,19021054+3827320,5.18,0.52,30.21
3325344,19043779+3826145,6.28,0.75,32.38
3329865,19112323+3828528,7.66,0.65,40.14
3353043,19363556+3825040,5.59,0.80,28.98
3426503,19035371+3834286,0.70,1.00,7.30
3428161,19062481+3833484,9.95,0.76,43.31
3430981,19103704+3834531,4.29,0.58,27.60
3442846,19245714+3830340,3.55,0.79,24.54
3458422,19400944+3832454,3.37,0.86,23.05
3527281,19025165+3836367,1.15,0.76,10.83
3528198,19041932+3837564,0.63,0.76,5.80
3539475,19195475+3839537,3.86,0.81,25.40
3540728,19211530+3840187,0.27,0.86,2.09
3541058,19213778+3836511,12.80,0.82,55.97
3629063,19040539+3844248,2.64,0.71,20.78
3640967,19202956+3847316,6.40,0.64,35.20
3643000,19225366+3845064,2.82,0.54,18.73
3648376,19283705+3846343,6.72,0.41,40.14
3654361,19344508+3847416,1.48,1.68,40.15
3728419,19002737+3850278,0.72,0.95,7.61
3731429,19053040+3853063,3.12,0.57,21.52
3862793,19383500+3857475,1.31,0.90,12.47
3865815,19412431+3855373,3.62,0.94,23.22
3936586,19020303+3904192,2.63,1.46,23.54
3937612,19035326+3902252,4.13,0.87,24.71
3940072,19074772+3901525,9.34,0.39,52.60
3952795,19242169+3903251,3.77,1.35,66.57
3955396,19271460+3900413,0.84,0.85,9.11
3957292,19291165+3902265,5.37,0.66,33.06
3973928,19444189+3905003,5.24,0.99,29.39
4036313,18592677+3911371,7.01,0.49,37.71
4040928,19054730+3908058,3.79,0.72,26.67
4041908,19071745+3911529,6.77,0.83,34.22
4043389,19093170+3910515,7.32,0.51,38.50
4071524,19403329+3908099,6.77,0.88,34.00
4078175,19455621+3911277,3.00,0.64,21.81
4138625,19022964+3917559,9.75,0.84,44.53
4142890,19091734+3916533,3.34,0.47,18.60
4147149,19150593+3916559,5.92,0.75,32.83
4175398,19423394+3913525,5.17,0.54,31.06
4178591,19445263+3913406,3.71,0.86,23.23
4241503,18585880+3922252,3.61,0.98,23.05
4244837,19035544+3923133,1.13,0.76,11.13
4247139,19073585+3922179,1.98,0.91,15.93
4248763,19100840+3918551,0.40,0.66,1.77
4270543,19342343+3923302,2.38,0.82,18.99
4270782,19343599+3920095,6.03,0.75,32.83
4274461,19375776+3918229,4.11,0.68,27.42
4275734,19390540+3919325,6.93,0.80,34.95
4382579,19430784+3926147,7.09,0.66,37.19
4447405,19032437+3931246,1.35,0.90,12.70
4484814,19461032+3934070,3.61,0.64,25.58
4548647,19103450+3940075,2.21,0.70,18.34
4557341,19213093+3941384,5.96,0.86,32.38
4639291,19062329+3946573,2.31,0.81,18.21
4646578,19171493+3944547,4.43,0.81,28.19
4671547,19435754+3945490,1.08,0.61,8.04
4677300,19482727+3947095,0.97,0.95,9.90
4731525,19062452+3952577,7.49,0.41,43.92
4732672,19082657+3950047,5.88,0.84,31.30
4736074,19135880+3950358,2.91,0.87,20.78
4740598,19194596+3951263,0.89,0.94,9.43
4742905,19222573+3949536,1.47,0.70,13.71
4752967,19342110+3953431,1.33,0.71,12.44
4756244,19373909+3953453,7.50,0.84,37.71
4770372,19494346+3952342,7.82,0.86,38.77
4829624,19195300+3955096,2.44,0.93,18.09
4847713,19401065+3955073,7.97,0.67,42.02
4848756,19411149+3957020,3.10,1.26,9.25
4916269,19181752+4004467,4.95,0.74,30.43
4918333,19203181+4005302,2.95,0.55,19.66
4918708,19205702+4000072,10.87,0.76,45.78
4930560,19344669+4004481,1.12,0.68,10.25
4931385,19353749+4003275,1.32,0.69,12.18
4932557,19364901+4000422,3.62,0.87,23.38
4935950,19401466+4004598,1.32,0.69,12.61
4946401,19491727+4005241,6.80,0.86,33.75
5000686,19141159+4009582,8.09,0.80,39.32
5007122,19221304+4009173,5.70,0.86,29.79
5016839,19335295+4009081,1.38,0.75,12.70
5027715,19435701+4006490,7.65,0.45,41.55
5032950,19481450+4010058,1.03,0.86,10.61
5084601,19073575+4017503,4.87,0.86,28.38
5088049,19130582+4016071,1.70,0.90,14.79
5091941,19181994+4014352,1.92,0.84,16.19
5093851,19203631+4015354,1.68,0.67,15.00
5095232,19221012+4012454,2.44,0.85,18.99
5127106,19535976+4017140,9.37,0.83,43.29
5213979,19525578+4022156,0.20,1.02,2.04
5215305,19535205+4022055,1.50,0.69,13.43
5262504,19110081+4024313,9.92,0.76,42.43
5268904,19194614+4028248,1.15,0.39,4.28
5273087,19245045+4029183,3.10,0.89,21.21
5288638,19420391+4028205,2.25,0.66,18.73
5301955,19530935+4028077,0.19,0.70,0.68
5303942,19543483+4025480,0.89,0.96,9.17
5351399,19130931+4032522,3.20,0.79,22.89
5357108,19203350+4031196,5.88,0.79,33.75
5371212,19370947+4035258,3.67,0.83,24.37
5373525,19393284+4032221,6.33,0.89,33.74
5390272,19542502+4034205,2.94,0.88,20.35
5436582,19114212+4038414,1.97,0.70,17.00
5442026,19191677+4036463,1.40,0.72,13.43
5455780,19355221+4036540,10.54,0.81,48.40
5457269,19372623+4041269,11.40,0.59,48.40
5460829,19411095+4036310,1.92,0.80,16.53
5529682,19220598+4045259,9.82,0.68,47.40
5559280,19523368+4047293,2.86,0.84,20.92
5561755,19544124+4046189,4.80,0.91,27.61
5567165,19584676+4043151,5.71,0.56,32.83
5611371,19163219+4051062,0.93,0.90,9.43
5612527,19180629+4048273,5.70,0.86,31.28
5614380,19201951+4052560,8.78,0.82,41.85
5622709,19303366+4050503,6.77,0.87,34.46
5693926,19115170+4054409,0.16,0.66,0.56
5726023,19484078+4056268,5.15,0.86,27.99
5732672,19540521+4059059,5.85,0.85,31.49
5735207,19560830+4055375,5.52,0.64,30.42
5739251,19591828+4054300,1.43,0.54,9.17
5779914,19125355+4103390,8.03,0.84,39.31
