Age_yr_norot,M_Msun_norot,N_surf_norot,Estate_norot,Age_yr_norot,M_Msun_norot,N_surf_norot,Estate_norot,Age_yr_norot,M_Msun_norot,N_surf_norot,Estate_norot,Age_yr_rot,M_Msun_rot,N_surf_rot,Estate_rot,Age_yr_rot,M_Msun_rot,N_surf_rot,Estate_rot,Age_yr_rot,M_Msun_rot,N_surf_rot,Estate_rot
32439.3532,29.98789361,7.37E-04,0,187342.9482,9.999441921,7.36E-04,0,3482171.221,2.999987722,7.36E-04,0,32628.73739,29.98764779,7.37E-04,0,158317.8727,9.999450607,7.37E-04,0,3516440.971,2.999986812,7.37E-04,0
33491.16552,29.98770692,7.37E-04,0,193034.299,9.999440432,7.36E-04,0,3582881.842,2.999987511,7.35E-04,0,33698.76729,29.98742395,7.37E-04,0,158684.5525,9.999450434,7.37E-04,0,3618531.193,2.999986529,7.37E-04,0
34577.42279,29.98751493,7.37E-04,0,198901.8725,9.999438905,7.36E-04,0,3686428.658,2.999987294,7.35E-04,0,34803.98245,29.9871936,7.37E-04,0,159051.2322,9.999450261,7.37E-04,0,3723453.753,2.999986239,7.37E-04,0
35698.81578,29.98731709,7.37E-04,0,204915.2,9.999437345,7.36E-04,0,3792755.368,2.999987072,7.35E-04,0,35945.34177,29.98695636,7.37E-04,0,161491.7308,9.999447116,7.37E-04,0,3831132.789,2.999985941,7.37E-04,0
36856.60126,29.98711301,7.37E-04,0,211120.4761,9.999435738,7.36E-04,0,3902463.481,2.999986842,7.35E-04,0,37123.85466,29.98671182,7.37E-04,0,166419.9968,9.999444862,7.37E-04,0,3942716.42,2.999985633,7.37E-04,0
38052.33338,29.98690239,7.37E-04,0,217548.6065,9.999434076,7.36E-04,0,4015700.197,2.999986605,7.35E-04,0,38341.45926,29.98645952,7.37E-04,0,171489.2993,9.999438257,7.37E-04,0,4057395.632,2.999985317,7.37E-04,0
39286.41235,29.98668502,7.37E-04,0,224089.0492,9.999432386,7.35E-04,0,4131428.874,2.999986362,7.34E-04,0,39598.86949,29.98619906,7.37E-04,0,176843.0399,9.999425129,7.37E-04,0,4174325.156,2.999984995,7.37E-04,0
40560.65669,29.98646063,7.37E-04,0,230946.4023,9.999430617,7.35E-04,0,4250952.687,2.999986112,7.34E-04,0,40897.37202,29.98593016,7.37E-04,0,182475.4567,9.999405981,7.37E-04,0,4296253.415,2.99998466,7.37E-04,0
41875.8885,29.98622909,7.37E-04,0,237888.9467,9.999428827,7.35E-04,0,4374152.051,2.999985855,7.34E-04,0,42238.53852,29.9856525,7.37E-04,0,188325.0308,9.999383329,7.37E-04,0,4420523.382,2.999984318,7.37E-04,0
43234.3529,29.98598994,7.37E-04,0,245153.0183,9.999426957,7.35E-04,0,4500100.623,2.999985592,7.34E-04,0,43623.7222,29.98536587,7.37E-04,0,194381.6626,9.999359512,7.37E-04,0,4549212.389,2.999983965,7.37E-04,0
44636.61865,29.98574302,7.37E-04,0,252578.0107,9.999425047,7.35E-04,0,4630786.845,2.999985319,7.34E-04,0,45054.25543,29.98506994,7.37E-04,0,200643.21,9.99933503,7.37E-04,0,4680642.798,2.999983605,7.37E-04,0
46084.31438,29.9854881,7.37E-04,0,260168.4733,9.999423097,7.35E-04,0,4764445.263,2.99998504,7.33E-04,0,46531.50533,29.98476437,7.37E-04,0,207099.0757,9.99930985,7.37E-04,0,4817443.257,2.999983231,7.37E-04,0
47578.88417,29.98522494,7.37E-04,0,268172.3203,9.999421045,7.35E-04,0,4901811.683,2.999984753,7.33E-04,0,48057.63294,29.98444873,7.37E-04,0,213714.0627,9.99928408,7.37E-04,0,4954932.647,2.999982855,7.37E-04,0
49121.8483,29.98495323,7.37E-04,0,276176.1673,9.999418993,7.34E-04,0,5044719.746,2.999984455,7.33E-04,0,49633.49767,29.98412287,7.37E-04,0,220646.1913,9.999257102,7.37E-04,0,5101465.327,2.999982455,7.37E-04,0
50715.3392,29.98467258,7.37E-04,0,284621.561,9.999416832,7.34E-04,0,5187627.809,2.999984157,7.33E-04,0,51261.02015,29.9837863,7.37E-04,0,227729.2729,9.999229547,7.37E-04,0,5247998.008,2.999982055,7.37E-04,0
52359.88688,29.9843829,7.37E-04,0,293319.9357,9.99941461,7.34E-04,0,5340706.544,2.999983838,7.32E-04,0,52941.93367,29.9834387,7.37E-04,0,235035.785,9.999201136,7.37E-04,0,5400729.378,2.999981639,7.37E-04,0
54058.25584,29.98408375,7.37E-04,0,302018.3104,9.999412388,7.34E-04,0,5494712.209,2.999983517,7.32E-04,0,54678.12988,29.98307975,7.37E-04,0,242623.3823,9.99917165,7.37E-04,0,5558938.556,2.999981208,7.37E-04,0
55811.62479,29.98377486,7.37E-04,0,311307.9591,9.999410021,7.34E-04,0,5650715.354,2.999983192,7.32E-04,0,56471.2861,29.98270903,7.37E-04,0,250343.6632,9.999141656,7.37E-04,0,5717147.735,2.999980777,7.37E-04,0
57621.79444,29.9834559,7.37E-04,0,320839.6513,9.999407595,7.33E-04,0,5818035.918,2.999982844,7.32E-04,0,58322.90273,29.98232626,7.37E-04,0,258461.3258,9.999110119,7.37E-04,0,5885274.352,2.99998032,7.37E-04,0
59490.54168,29.98312662,7.37E-04,0,330371.3435,9.99940517,7.33E-04,0,5985356.482,2.999982495,7.31E-04,0,60235.63218,29.98193079,7.37E-04,0,266753.0007,9.999077919,7.37E-04,0,6057492.925,2.999979852,7.37E-04,0
61419.72377,29.98278672,7.37E-04,0,340408.0464,9.999402621,7.33E-04,0,6154185.878,2.999982144,7.31E-04,0,62210.84696,29.98152247,7.37E-04,0,275288.5515,9.999044791,7.37E-04,0,6229711.498,2.999979383,7.37E-04,0
63411.87649,29.98243557,7.37E-04,0,350939.5938,9.999399953,7.33E-04,0,6337481.86,2.999981762,7.31E-04,0,64250.94494,29.98110064,7.37E-04,0,284186.6285,9.99901026,7.37E-04,0,6411946.797,2.999978889,7.37E-04,0
65468.2981,29.98207298,7.37E-04,0,361471.1412,9.999397284,7.33E-04,0,6520777.842,2.99998138,7.31E-04,0,66357.79382,29.98066509,7.37E-04,0,293299.8211,9.998974907,7.37E-04,0,6600973.87,2.999978375,7.37E-04,0
67591.75983,29.98169852,7.37E-04,0,372032.4499,9.999394608,7.32E-04,0,6704073.824,2.999980998,7.30E-04,0,68533.67025,29.98021542,7.37E-04,0,302679.9093,9.99893854,7.37E-04,0,6790000.942,2.999977862,7.37E-04,0
69783.88685,29.98131191,7.37E-04,0,383763.6853,9.999391649,7.32E-04,0,6901695.024,2.999980586,7.30E-04,0,70781.16276,29.97975073,7.37E-04,0,312457.6739,9.998900634,7.37E-04,0,6982932.84,2.999977339,7.37E-04,0
72047.13896,29.98091262,7.37E-04,0,395494.9207,9.999388691,7.32E-04,0,7104159.366,2.999980164,7.30E-04,0,73101.94689,29.97927091,7.37E-04,0,322506.2232,9.998861681,7.37E-04,0,7192127.406,2.999976771,7.37E-04,0
74383.65039,29.98050041,7.37E-04,0,407226.1561,9.999385732,7.32E-04,0,7306623.709,2.999979742,7.30E-04,0,75499.02716,29.9787753,7.37E-04,0,332848.486,9.998821593,7.37E-04,0,7401321.972,2.999976204,7.37E-04,0
76796.07713,29.98007477,7.37E-04,0,419354.0637,9.999382679,7.31E-04,0,7511642.591,2.999979315,7.29E-04,0,77974.84611,29.97826347,7.37E-04,0,343505.6058,9.99878029,7.37E-04,0,7610516.538,2.999975637,7.37E-04,0
79286.73077,29.97963511,7.37E-04,0,432524.7805,9.999379374,7.31E-04,0,7737106.255,2.999978844,7.29E-04,0,80531.70495,29.97773468,7.37E-04,0,354574.9066,9.998737399,7.37E-04,0,7831918.023,2.999975037,7.37E-04,0
81858.02372,29.97918114,7.37E-04,0,445695.4974,9.99937607,7.31E-04,0,7962569.92,2.999978373,7.29E-04,0,83172.41611,29.97718867,7.37E-04,0,365991.8725,9.998693165,7.37E-04,0,8065311.226,2.999974404,7.37E-04,0
84512.78977,29.97871229,7.37E-04,0,458866.2142,9.999372765,7.31E-04,0,8188033.585,2.999977903,7.28E-04,0,85899.81625,29.97662448,7.37E-04,0,377760.6812,9.998647596,7.37E-04,0,8298704.43,2.999973772,7.37E-04,0
87253.4648,29.9782282,7.37E-04,0,472500.1739,9.99936935,7.30E-04,0,8418813.935,2.999977421,7.28E-04,0,88716.33031,29.97604199,7.37E-04,0,389898.3108,9.998600611,7.37E-04,0,8532097.634,2.999973139,7.37E-04,0
90083.33222,29.9777282,7.37E-04,0,487398.1185,9.999365632,7.30E-04,0,8671872.551,2.999976892,7.28E-04,0,91625.17215,29.97544027,7.37E-04,0,402425.4093,9.998552112,7.37E-04,0,8781067.535,2.999972464,7.37E-04,0
93004.6823,29.97721195,7.37E-04,0,502296.063,9.999361914,7.30E-04,0,8924931.166,2.999976363,7.27E-04,0,94629.70534,29.97481857,7.37E-04,0,415353.7468,9.998502066,7.37E-04,0,9043497.959,2.999971753,7.37E-04,0
96020.98527,29.97667859,7.37E-04,0,517194.0076,9.999358197,7.29E-04,0,9177989.782,2.999975834,7.27E-04,0,97732.51181,29.97417644,7.37E-04,0,428699.2506,9.998450423,7.37E-04,0,9305928.383,2.999971042,7.37E-04,0
99134.89852,29.97612796,7.37E-04,0,532126.7416,9.999354471,7.29E-04,0,9431158.62,2.999975305,7.27E-04,0,100936.9861,29.97351319,7.37E-04,0,442477.8493,9.998397091,7.37E-04,0,9568358.808,2.999970331,7.37E-04,0
