Age,Mass,14Nsurf
3482171.221,2.999987722,7.36E-04
3582881.842,2.999987511,7.35E-04
3686428.658,2.999987294,7.35E-04
3792755.368,2.999987072,7.35E-04
3902463.481,2.999986842,7.35E-04
4015700.197,2.999986605,7.35E-04
4131428.874,2.999986362,7.34E-04
4250952.687,2.999986112,7.34E-04
4374152.051,2.999985855,7.34E-04
4500100.623,2.999985592,7.34E-04
4630786.845,2.999985319,7.34E-04
4764445.263,2.99998504,7.33E-04
4901811.683,2.999984753,7.33E-04
5044719.746,2.999984455,7.33E-04
5187627.809,2.999984157,7.33E-04
5340706.544,2.999983838,7.32E-04
5494712.209,2.999983517,7.32E-04
5650715.354,2.999983192,7.32E-04
5818035.918,2.999982844,7.32E-04
5985356.482,2.999982495,7.31E-04
6154185.878,2.999982144,7.31E-04
6337481.86,2.999981762,7.31E-04
6520777.842,2.99998138,7.31E-04
6704073.824,2.999980998,7.30E-04
6901695.024,2.999980586,7.30E-04
7104159.366,2.999980164,7.30E-04
7306623.709,2.999979742,7.30E-04
7511642.591,2.999979315,7.29E-04
7737106.255,2.999978844,7.29E-04
7962569.92,2.999978373,7.29E-04
8188033.585,2.999977903,7.28E-04
8418813.935,2.999977421,7.28E-04
8671872.551,2.999976892,7.28E-04
8924931.166,2.999976363,7.27E-04
9177989.782,2.999975834,7.27E-04
9431158.62,2.999975305,7.27E-04
9717329.305,2.999974705,7.26E-04
10003499.99,2.999974105,7.26E-04
10289670.67,2.999973506,7.26E-04
10575841.36,2.999972906,7.25E-04
10884173.5,2.999972259,7.25E-04
11210073.86,2.999971574,7.25E-04
11535974.22,2.999970889,7.24E-04
11861874.58,2.999970204,7.24E-04
12187774.94,2.999969519,7.24E-04
12555318.19,2.999968744,7.23E-04
12928891.64,2.999967955,7.23E-04
13302465.09,2.999967167,7.22E-04
13676038.54,2.999966379,7.22E-04
14049611.99,2.999965591,7.22E-04
14478653.98,2.999964681,7.21E-04
14909429.78,2.999963768,7.21E-04
15340205.58,2.999962855,7.20E-04
15770981.38,2.999961941,7.20E-04
16201757.18,2.999961028,7.19E-04
16692008.45,2.999959983,7.19E-04
17191421.76,2.999958918,7.18E-04
17690835.07,2.999957853,7.18E-04
18190248.37,2.999956788,7.17E-04
18689661.68,2.999955723,7.17E-04
19235502.83,2.999954554,7.17E-04
19814369.66,2.999953311,7.16E-04
20393236.49,2.999952067,7.16E-04
20972103.32,2.999950824,7.15E-04
21550970.15,2.999949581,7.15E-04
22172368.54,2.999948241,7.14E-04
22838670.64,2.999946798,7.14E-04
23504972.74,2.999945356,7.14E-04
24171274.84,2.999943914,7.13E-04
24837576.95,2.999942471,7.13E-04
25568676.26,2.999940879,7.12E-04
26328827.55,2.999939219,7.12E-04
27088978.85,2.999937559,7.11E-04
27849130.14,2.999935899,7.11E-04
28630800.53,2.999934189,7.10E-04
29490158.65,2.999932295,7.10E-04
30349516.78,2.999930401,7.09E-04
31208874.9,2.999928507,7.09E-04
32074491.28,2.999926598,7.08E-04
33037589.55,2.999924455,7.08E-04
34000687.83,2.999922312,7.07E-04
34963786.1,2.999920169,7.07E-04
