Age,Mass,14Nsurf
158317.8727,9.999450607,7.37E-04
158684.5525,9.999450434,7.37E-04
159051.2322,9.999450261,7.37E-04
161491.7308,9.999447116,7.37E-04
166419.9968,9.999444862,7.37E-04
171489.2993,9.999438257,7.37E-04
176843.0399,9.999425129,7.37E-04
182475.4567,9.999405981,7.37E-04
188325.0308,9.999383329,7.37E-04
194381.6626,9.999359512,7.37E-04
200643.21,9.99933503,7.37E-04
207099.0757,9.99930985,7.37E-04
213714.0627,9.99928408,7.37E-04
220646.1913,9.999257102,7.37E-04
227729.2729,9.999229547,7.37E-04
235035.785,9.999201136,7.37E-04
242623.3823,9.99917165,7.37E-04
250343.6632,9.999141656,7.37E-04
258461.3258,9.999110119,7.37E-04
266753.0007,9.999077919,7.37E-04
275288.5515,9.999044791,7.37E-04
284186.6285,9.99901026,7.37E-04
293299.8211,9.998974907,7.37E-04
302679.9093,9.99893854,7.37E-04
312457.6739,9.998900634,7.37E-04
322506.2232,9.998861681,7.37E-04
332848.486,9.998821593,7.37E-04
343505.6058,9.99878029,7.37E-04
354574.9066,9.998737399,7.37E-04
365991.8725,9.998693165,7.37E-04
377760.6812,9.998647596,7.37E-04
389898.3108,9.998600611,7.37E-04
402425.4093,9.998552112,7.37E-04
415353.7468,9.998502066,7.37E-04
428699.2506,9.998450423,7.37E-04
442477.8493,9.998397091,7.37E-04
456701.1987,9.998342026,7.37E-04
471381.5685,9.998285182,7.37E-04
486529.0451,9.998226543,7.37E-04
502156.0485,9.998166055,7.37E-04
518273.9303,9.998103642,7.37E-04
534934.9893,9.998039105,7.37E-04
552150.292,9.997972406,7.37E-04
569893.9962,9.997903642,7.37E-04
588175.4668,9.997832813,7.37E-04
607113.1738,9.997759412,7.37E-04
626616.8204,9.997683779,7.37E-04
646758.1032,9.997605637,7.37E-04
667545.6467,9.997524953,7.37E-04
689003.5893,9.997441635,7.37E-04
711132.2788,9.997355674,7.37E-04
734009.6823,9.997266755,7.37E-04
757591.5355,9.997175054,7.37E-04
781921.7202,9.997080391,7.37E-04
807071.7695,9.996982499,7.37E-04
833017.3657,9.996881457,7.37E-04
859792.6188,9.996777074,7.37E-04
887426.4494,9.996669257,7.37E-04
915948.7934,9.996557891,7.37E-04
945384.4464,9.996442914,7.37E-04
975765.5077,9.996324109,7.37E-04
1007115.879,9.996201369,7.37E-04
1039487.135,9.996074512,7.37E-04
1072909.669,9.995943404,7.37E-04
1107383.491,9.995808016,7.37E-04
1142980.049,9.995668046,7.37E-04
1179714.469,9.995523423,7.37E-04
1217634.916,9.995373936,7.37E-04
1256750.408,9.995219547,7.37E-04
1297158.632,9.995059811,7.37E-04
1338854.242,9.994894734,7.37E-04
1381885.408,9.994724094,7.37E-04
1426292.758,9.994547763,7.37E-04
1472133.005,9.994365417,7.37E-04
