#
# Active sun light curves from Cycle 23 (Aug 1996 to Dec 2008)
# Data Source: SOHO data provided by Prof. Gibor Basri, UC Berkeley
#
# columns
#  col1: time in days
#  col 2-7: flux relative to mean flux
#
# time       segment1   segment2   segment3   segment4   segment5   segment6
 0.093750  -0.221413   0.291669  -0.152212   0.027084  -0.336206  -0.143349
 0.302083  -0.173396   0.285435  -0.168717   0.043201  -0.350302  -0.208718
 0.510417  -0.107306   0.294793  -0.173044   0.037622  -0.332397  -0.242269
 0.718750  -0.044209   0.272334  -0.180370   0.040054  -0.364000  -0.320417
 0.927083   0.036788   0.286889  -0.204557   0.058365  -0.363690  -0.326186
 1.135417   0.105560   0.272000  -0.171304   0.040019  -0.392276  -0.329393
 1.343750   0.166726   0.279570  -0.126868   0.025070  -0.404167  -0.317389
 1.552083   0.206733   0.263393  -0.088310  -0.025851  -0.390381  -0.330782
 1.760417   0.249994   0.231636  -0.080723  -0.053084  -0.380385  -0.320518
 1.968750   0.273669   0.191104  -0.073093  -0.171679  -0.394940  -0.295126
 2.177083   0.308704   0.198805  -0.043225  -0.314629  -0.359124  -0.279820
 2.385417   0.311208   0.167918  -0.052202  -0.418216  -0.314349  -0.252092
 2.593750   0.322390   0.152326   0.016785  -0.455600  -0.287503  -0.214225
 2.802083   0.338268   0.112784   0.059068  -0.515264  -0.294828  -0.216949
 3.010417   0.325108   0.115132   0.102437  -0.541055  -0.252634  -0.161695
 3.218750   0.326574   0.124228   0.148678  -0.533599  -0.199378  -0.105494
 3.427083   0.357628   0.095534   0.209737  -0.540143  -0.155044  -0.076252
 3.635417   0.361395   0.088549   0.246799  -0.541389  -0.110310  -0.045162
 3.843750   0.340688   0.096214   0.289595  -0.537282  -0.088775  -0.018412
 4.052083   0.320315   0.069153   0.321519  -0.526893  -0.069457  -0.001502
 4.260417   0.316668   0.057232   0.321114  -0.541842  -0.053334   0.034976
 4.468750   0.299644   0.054061   0.330663  -0.531244  -0.030720   0.043762
 4.677083   0.314665   0.034320   0.339317  -0.509816   0.000101   0.055528
 4.885417   0.296056   0.059175   0.300634  -0.460583   0.026751   0.059080
 5.093750   0.278342   0.006467   0.281954  -0.437331   0.070262   0.038111
 5.302083   0.285494  -0.023633   0.274968  -0.427991   0.095391   0.018418
 5.510417   0.259435  -0.034952   0.243056  -0.421065   0.140846   0.007200
 5.718750   0.270808  -0.063312   0.221431  -0.410587   0.167739  -0.006777
 5.927083   0.261974  -0.086647   0.183225  -0.387943   0.200450  -0.036204
 6.135417   0.260663  -0.101125   0.172818  -0.396353   0.214601  -0.028229
 6.343750   0.275052  -0.150084   0.115693  -0.379133   0.211775  -0.039554
 6.552083   0.321507  -0.161201   0.077426  -0.357831   0.169861  -0.059515
 6.760417   0.330496  -0.160456   0.051939  -0.355905   0.168812  -0.066447
 6.968750   0.350893  -0.152642   0.017095  -0.325960   0.184214  -0.084299
 7.177083   0.335956  -0.138247  -0.031817  -0.315404   0.210929  -0.079221
 7.385417   0.333321  -0.158381  -0.073844  -0.314045   0.204086  -0.094914
 7.593750   0.331616  -0.149447  -0.107723  -0.263417   0.224733  -0.074488
 7.802083   0.333238  -0.112242  -0.113207  -0.234848   0.242388  -0.082523
 8.010416   0.322831  -0.051904  -0.116765  -0.219625   0.255966  -0.035560
 8.218750   0.302291  -0.007343  -0.109887  -0.189525   0.243425  -0.036752
 8.427084   0.280511   0.032204  -0.083768  -0.161618   0.194228  -0.018322
 8.635417   0.268412   0.053048  -0.079966  -0.167280   0.171542  -0.036407
 8.843750   0.256801   0.077546  -0.071281  -0.151026   0.183690  -0.031233
 9.052084   0.228417   0.078142  -0.049031  -0.154996   0.222051  -0.030386
 9.260416   0.235450   0.089860  -0.027329  -0.123340   0.191784  -0.004447
 9.468750   0.218296   0.087845  -0.004995  -0.121540   0.188017  -0.010639
 9.677084   0.208652   0.095868   0.000119  -0.137538   0.146210  -0.006431
 9.885416   0.227261   0.082016   0.013268  -0.155991   0.162339  -0.007635
10.093750   0.221658   0.063205  -0.015134  -0.214487   0.142002  -0.000024
10.302084   0.193202   0.078797  -0.024635  -0.217474   0.098550   0.017452
10.510416   0.222123   0.063109  -0.050414  -0.210530   0.104082   0.019729
10.718750   0.253940   0.080812  -0.062031  -0.216234   0.068140   0.012118
10.927084   0.282109   0.091803  -0.057232  -0.238365   0.030476   0.033653
11.135416   0.281560   0.079358  -0.065458  -0.276494  -0.017214   0.059223
11.343750   0.301671   0.070870  -0.053823  -0.336879  -0.046587   0.069904
11.552084   0.234735   0.087798  -0.073045  -0.400853  -0.073922   0.113058
11.760416   0.259721  -0.023830  -0.104898  -0.384897  -0.044906   0.128329
11.968750   0.224781  -0.074953  -0.119859  -0.372887  -0.009167   0.142574
12.177084   0.278306  -0.133473  -0.122058  -0.375378   0.011724   0.140667
12.385416   0.258219  -0.149864  -0.126672  -0.369048   0.055540   0.145233
12.593750   0.263679  -0.185180  -0.139612  -0.359172   0.086105   0.160813
12.802083   0.251818  -0.208783  -0.148535  -0.348562   0.099993   0.172114
13.010417   0.258696  -0.200188  -0.166076  -0.333381   0.120127   0.180161
13.218750   0.226831  -0.178921  -0.180608  -0.326067   0.156128   0.211239
13.427083   0.242972  -0.182593  -0.206488  -0.297254   0.135815   0.224543
13.635417   0.229776  -0.164068  -0.153065  -0.249809   0.124145   0.238156
13.843750   0.219643  -0.179529  -0.118059  -0.226426   0.130522   0.248027
14.052083   0.224018  -0.149143  -0.068903  -0.179285   0.122166   0.301015
14.260417   0.232136  -0.118035  -0.093430  -0.149190   0.111794   0.306094
14.468750   0.220275  -0.130117  -0.059658  -0.146568   0.110066   0.316536
14.677083   0.229251  -0.133961  -0.046837  -0.093734   0.087309   0.285125
14.885417   0.234365  -0.150162  -0.043541  -0.071383   0.106287   0.300169
15.093750   0.209177  -0.211781  -0.023538  -0.067741   0.105023   0.329435
15.302083   0.185490  -0.260353   0.007874  -0.017422   0.117159   0.306475
15.510417   0.191629  -0.253755   0.037694   0.004983   0.105035   0.277209
15.718750   0.182033  -0.241208   0.035655   0.044405   0.106597   0.268912
15.927083   0.193310  -0.202423   0.064313   0.093031   0.098217   0.236773
16.135416   0.187957  -0.149274   0.078845   0.131655   0.109649   0.214338
16.343750   0.190663  -0.118548   0.070977   0.126827   0.092816   0.191545
16.552082   0.198948  -0.069749   0.083947   0.138307   0.081646   0.211596
16.760416   0.189388  -0.034469   0.081992   0.131035   0.082278   0.192177
16.968750   0.178504  -0.014216   0.062096   0.127447   0.079298   0.197470
17.177082   0.191188  -0.002575   0.032246   0.125873   0.078356   0.171149
17.385416   0.177908  -0.006032   0.067437   0.142515   0.089622   0.152361
17.593750   0.140715   0.009495   0.057864   0.171638   0.057578   0.138295
17.802082   0.121653  -0.047785   0.019342   0.198066  -0.001770   0.115550
18.010416   0.108588  -0.106192   0.030351   0.201404  -0.046980   0.093865
18.218750   0.074637  -0.112039   0.062013   0.219703  -0.091499   0.082731
18.427082   0.021440  -0.179285   0.089777   0.233305  -0.131214   0.070047
18.635418  -0.004232  -0.207305   0.066352   0.220239  -0.165796   0.082099
18.843750  -0.026822  -0.247604   0.058568   0.191128  -0.238621   0.059080
19.052082  -0.052136  -0.226867   0.047851   0.165784  -0.294179   0.029445
19.260418  -0.065500  -0.213325   0.028062   0.159955  -0.354874  -0.014853
19.468750  -0.099546  -0.196755   0.004923   0.157809  -0.423527  -0.077063
19.677082  -0.123608  -0.135469  -0.029248   0.145721  -0.441122  -0.152493
19.885418  -0.128901  -0.121284  -0.072026   0.124407  -0.483167  -0.206488
20.093750  -0.097334  -0.097680  -0.094128  -0.012839  -0.471538  -0.324035
20.302082  -0.036746  -0.071710  -0.089264  -0.179881  -0.482774  -0.380337
20.510418  -0.022417  -0.056320  -0.093514  -0.228071  -0.499356  -0.412446
20.718750   0.017023  -0.040859  -0.119990  -0.272846  -0.513297  -0.438929
20.927082   0.055552  -0.000042  -0.102240  -0.302392  -0.512832  -0.484133
21.135418   0.067961   0.057602  -0.015008  -0.311524  -0.475734  -0.477928
21.343750   0.072372   0.055110   0.071502  -0.316823  -0.450289  -0.449687
21.552082   0.109434   0.118887   0.148082  -0.312364  -0.433844  -0.425076
21.760418   0.140917   0.144732   0.225782  -0.332832  -0.412714  -0.391126
21.968750   0.168836   0.166607   0.308967  -0.332832  -0.376499  -0.382566
22.177082   0.187004   0.196147   0.395083  -0.332832  -0.334150  -0.346786
22.385418   0.206912   0.194275   0.489342  -0.332832  -0.285321  -0.328213
22.593750   0.226688   0.194824   0.550842  -0.332832  -0.275743  -0.328726
22.802082   0.265479   0.204003   0.599825  -0.284111  -0.253904  -0.336486
23.010418   0.285637   0.202370   0.665820  -0.232309  -0.182545  -0.293660
23.218750   0.288641   0.221872   0.701702  -0.227082  -0.156325  -0.264293
23.427082   0.279641   0.220513   0.765562  -0.198269  -0.129539  -0.223947
23.635418   0.254607   0.178599   0.784349  -0.177467  -0.056660  -0.148225
23.843750   0.250006   0.120425   0.775409  -0.122947  -0.006264  -0.105172
24.052082   0.247204   0.085115   0.751793  -0.131249   0.034106  -0.032687
24.260418   0.220644   0.060594   0.777996  -0.079608   0.052679  -0.018150
24.468750   0.235116   0.045598   0.769746  -0.029689   0.080299   0.006324
24.677082   0.203562   0.012386   0.756657   0.007945   0.091290   0.024831
24.885418   0.203598  -0.020540   0.726342   0.007373   0.122249   0.076354
25.093750   0.176895  -0.024360   0.746071   0.061047   0.107443   0.097179
25.302082   0.147438  -0.066394   0.728822   0.093281   0.134277   0.146806
25.510418   0.094950  -0.016344   0.698507   0.141287   0.168598   0.191140
25.718750   0.029767   0.033557   0.687671   0.163782   0.198388   0.172925
25.927084  -0.025588   0.066125   0.677526   0.184631   0.196171   0.172806
26.135416  -0.075006   0.113428   0.645518   0.265503   0.162792   0.192142
26.343750  -0.135857   0.116658   0.620747   0.282717   0.151968   0.128937
26.552084  -0.183707   0.102663   0.606775   0.351417   0.147569   0.036275
26.760416  -0.239545   0.114417   0.576186   0.373280   0.112915  -0.049049
26.968750  -0.334400   0.081098   0.535715   0.394678   0.112510  -0.119716
27.177084  -0.383937   0.077152   0.522661   0.380588   0.112021  -0.189584
27.385416  -0.431168   0.114381   0.488532   0.394297   0.118709  -0.198513
27.593750  -0.490946   0.113440   0.466824   0.361419   0.111306  -0.189465
27.802084  -0.558943   0.153208   0.436318   0.325859   0.105488  -0.179821
28.010416  -0.678420   0.211084   0.458169   0.282502   0.080931  -0.155419
28.218750  -0.742620   0.260162   0.486362   0.215042   0.033343  -0.159311
28.427084  -0.799853   0.312948   0.461471   0.172818  -0.013340  -0.143188
28.635416  -0.829625   0.349426   0.443113   0.132525  -0.039709  -0.124311
28.843750  -0.786191   0.391233   0.442755   0.088727  -0.096142  -0.095606
29.052084  -0.797552   0.428319   0.419748   0.049734  -0.137573  -0.071782
29.260416  -0.817043   0.434887   0.383353   0.025344  -0.171274  -0.030720
29.468750  -0.815791   0.465298   0.295317  -0.016212  -0.216109   0.021601
29.677084  -0.796032   0.453770   0.223327  -0.066912  -0.288844   0.079775
29.885416  -0.779647   0.469744   0.158525  -0.079006  -0.355059   0.140154
30.093750  -0.788742   0.444376   0.123119  -0.076795  -0.457776   0.165176
30.302084  -0.783533   0.421238   0.173235  -0.107175  -0.488764   0.249279
30.510416  -0.755775   0.389957   0.172067  -0.103259  -0.523400   0.290573
30.718750  -0.708413   0.377667   0.184929  -0.118929  -0.539815   0.322008
30.927084  -0.656819   0.392258   0.154078  -0.131917  -0.558048   0.343966
31.135416  -0.610220   0.348926   0.160038  -0.100505  -0.565761   0.378704
31.343750  -0.564402   0.303972   0.129378  -0.040787  -0.568426   0.431299
31.552084  -0.500929   0.232518   0.110352  -0.041062  -0.567216   0.437391
31.760416  -0.442672   0.197756   0.124192  -0.029510  -0.533527   0.455499
31.968750  -0.385326   0.144649   0.092518  -0.040537  -0.490707   0.480568
32.177086  -0.333506   0.073957   0.078642  -0.041652  -0.438136   0.542068
32.385418  -0.243717   0.002271   0.062108  -0.023133  -0.410217   0.608301
32.593750  -0.165713  -0.060958   0.048137  -0.005889  -0.403321   0.641239
32.802086  -0.131142  -0.081396  -0.021011   0.022888  -0.381374   0.675285
33.010418  -0.057632  -0.059628  -0.088769   0.035369  -0.343835   0.668263
33.218750   0.024366  -0.068802  -0.142545   0.068915  -0.298750   0.652373
33.427086   0.109220  -0.099176  -0.151116   0.115907  -0.221288   0.600755
33.635418   0.185204  -0.126255  -0.222081   0.114894  -0.171489   0.530851
33.843750   0.274825  -0.144315  -0.307107   0.144553  -0.113338   0.446773
34.052086   0.290263  -0.147527  -0.386983   0.120699  -0.043607   0.377464
34.260418   0.318754  -0.173575  -0.509417   0.134563   0.005347   0.329351
34.468750   0.312662  -0.180596  -0.617033   0.127184   0.053787   0.238442
34.677086   0.321496  -0.170410  -0.738961   0.136352   0.124717   0.176764
34.885418   0.309193  -0.186539  -0.837457   0.118363   0.215614   0.128675
35.093750   0.310946  -0.192761  -0.923455   0.132692   0.234067   0.045639
35.302086   0.251448  -0.183898  -0.983959   0.147736   0.290203  -0.033891
35.510418   0.184453  -0.157905  -1.060194   0.110984   0.341654  -0.065476
35.718750   0.161529  -0.176263  -1.155871   0.056136   0.395715  -0.080734
35.927086   0.138104  -0.143766  -1.256132   0.027180   0.407124  -0.113207
36.135418   0.120139  -0.083399  -1.314515   0.021571   0.442123  -0.116593
36.343750   0.084376  -0.069273  -1.445878   0.015807   0.469625  -0.159413
36.552086   0.047088  -0.002491  -1.559663  -0.012201   0.495136  -0.201708
36.760414   0.001448   0.080121  -1.649898   0.000185   0.495803  -0.210500
36.968750  -0.024468   0.110543  -1.708275  -0.040007   0.488627  -0.216132
37.177086  -0.033987   0.187600  -1.771522  -0.119245   0.492418  -0.197881
37.385414  -0.106555   0.224090  -1.839399  -0.133979   0.495648  -0.215286
37.593750  -0.100166   0.293255  -1.864648  -0.160235   0.486326  -0.194865
37.802086  -0.100839   0.321424  -1.876772  -0.169915   0.473511  -0.181007
38.010414  -0.130266   0.349772  -1.897520  -0.169706   0.461733  -0.148124
38.218750  -0.172937   0.422466  -1.840782  -0.147343   0.441456  -0.120795
38.427086  -0.192600   0.458145  -1.820713  -0.142640   0.409162  -0.052708
38.635414  -0.248027   0.501585  -1.745409  -0.110996   0.397360   0.002021
38.843750  -0.296074   0.544393  -1.660967  -0.070113   0.383854   0.031424
39.052086  -0.371999   0.536191  -1.525569  -0.062472   0.378644   0.062120
39.260414  -0.414819   0.547040  -1.440656  -0.003266   0.379884   0.101399
39.468750  -0.426883   0.556076  -1.346576   0.036621   0.371027   0.130749
39.677086  -0.456917   0.559449  -1.238942   0.052810   0.330079   0.172555
39.885414  -0.505197   0.594413  -1.094085   0.060749   0.310683   0.164831
40.093750  -0.471038   0.595152  -0.940013   0.090122   0.306189   0.188434
40.302086  -0.419796   0.601006  -0.842106   0.163209   0.314379   0.225854
40.510414  -0.388139   0.613511  -0.739706   0.221205   0.303376   0.225580
