#
# Metcalfe et al. 2012, ApJL, 10, L748 - Table 1 
# Observed Oscillation Frequencies for 16 Cyg A and B
# edited to just list 16CygA
# frequencies and errors are in microHz
# missing values -9.99
#
n   nul=0    err0   nul=1    err1   nul=2    err2   nul=3    err3
14  1598.51  0.27   1644.24  0.33   1693.73  0.46   1736.03  1.84   
15  1700.43  0.34   1746.93  0.24   1795.87  0.40   1839.07  1.64   
16  1802.15  0.17   1849.11  0.13   1898.08  0.27   1944.07  1.57   
17  1904.62  0.15   1951.98  0.16   2001.82  0.17   2045.09  0.80   
18  2007.45  0.13   2055.41  0.16   2105.60  0.15   2150.15  0.19   
19  2110.94  0.11   2158.89  0.12   2208.90  0.19   2253.41  0.35   
20  2214.33  0.17   2262.32  0.16   2312.49  0.29   2356.92  0.46   
21  2317.18  0.17   2366.15  0.16   2416.24  0.33   2461.26  1.04   
22  2420.75  0.30   2470.23  0.25   2520.91  0.81     -9.99 -9.99      
23  2524.94  0.39   2575.97  0.31   2624.05  0.51     -9.99 -9.99   
24  2629.36  0.36   2678.47  0.47   2730.06  1.03     -9.99 -9.99      
25  2736.22  1.45   2783.71  1.22    -9.99 -9.99      -9.99 -9.99    
26  2838.68  0.38   2889.61  0.38    -9.99 -9.99      -9.99 -9.99   
