#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC1   14252  1.72829 15.481 FO
LMC-SC1   25359  3.39729 15.310 FU
LMC-SC1   25377  3.09592 15.243 FU
LMC-SC1   25418  2.11207 15.840 FU
LMC-SC1   31577  2.73145 15.514 FU
LMC-SC1   31612  3.28489 15.411 FU
LMC-SC1   44657  4.01588 15.017 FU
LMC-SC1   51886  4.65494 14.826 FU
LMC-SC1   59277  2.69976 14.915 FO
LMC-SC1   66584  1.83677 15.678 FO
LMC-SC1   72986  4.80080 15.218 FU
LMC-SC1  118785  2.73127 15.568 FU
LMC-SC1  124650  4.60602 14.928 FO
LMC-SC1  136983  4.99589 14.710 FU
LMC-SC1  150925  4.29163 15.055 FU
LMC-SC1  150939  2.36133 15.124 FO
LMC-SC1  158020  4.15474 15.166 FU
LMC-SC1  158027  2.28500 15.284 FO
LMC-SC1  158032  2.16193 15.201 FO
LMC-SC1  158066  2.20349 15.365 FO
LMC-SC1  158087  5.26198 15.742 FU
LMC-SC1  164361  1.88935 15.641 FO
LMC-SC1  169974  4.23637 15.106 FU
LMC-SC1  169975  3.31084 15.279 FU
LMC-SC1  174900  3.94111 15.097 FU
LMC-SC1  196811  1.47709 16.386 FO
LMC-SC1  201683  2.31922 15.174 FO
LMC-SC1  206878  1.98650 15.409 FO
LMC-SC1  212053  3.26755 15.284 FU
LMC-SC1  212056  5.34595 14.964 FU
LMC-SC1  212204  1.05296 16.395 FO
LMC-SC1  217441  4.51657 15.016 FU
LMC-SC1  223119  5.06424 14.297 FU
LMC-SC1  229541  1.21642 16.033 FO
LMC-SC1  242606  2.13419 15.310 FO
LMC-SC1  242614  2.67511 15.100 FO
LMC-SC1  242658  2.33219 15.370 FO
LMC-SC1  248025  3.11748 15.353 FU
LMC-SC1  266530  4.11529 14.857 FU
LMC-SC1  275300  2.98266 15.333 FU
LMC-SC1  290572  1.35351 16.077 FO
LMC-SC1  295698  2.89982 15.521 FU
LMC-SC1  295713  3.43072 15.170 FU
LMC-SC1  306814  2.23221 15.192 FO
LMC-SC1  306872  3.55525 15.252 FU
LMC-SC1  312843  2.61828 15.513 FU
LMC-SC1  313151 36.51287 17.556 FA
LMC-SC1  324972  4.65729 14.732 FU
LMC-SC1  324983  2.29238 15.155 FO
LMC-SC1  324986  2.20926 15.079 FO
LMC-SC1  345261  0.73489 16.809 FO
LMC-SC2   30960  5.48745 14.403 FU
LMC-SC2   31081  2.70994 15.370 FU
LMC-SC2   39166  2.17676 15.099 FO
LMC-SC2   39433  1.70727 16.226 FU
LMC-SC2   47348  6.29131 14.313 FU
LMC-SC2   47399  4.20686 14.800 FU
LMC-SC2   55470 15.99137 13.572 FU
LMC-SC2   63342  2.03042 15.251 FO
LMC-SC2   63369  1.93749 15.184 FO
LMC-SC2   70874  2.75064 14.842 FO
LMC-SC2   78835  2.58776 15.456 FU
LMC-SC2   78855  2.17338 15.255 FO
LMC-SC2   91891  4.16669 14.991 FU
LMC-SC2   97934 10.99009 13.505 FU
LMC-SC2  108984 23.04450 12.845 FU
LMC-SC2  114109  3.44827 15.346 FU
LMC-SC2  114148  2.89337 15.589 FU
LMC-SC2  120414  3.56787 14.145 BR
LMC-SC2  127932  3.59714 15.323 FU
LMC-SC2  127941  2.36507 14.984 FO
LMC-SC2  128006  1.88119 15.585 FO
LMC-SC2  143098  4.22704 14.971 FU
LMC-SC2  158654  6.38241 14.478 FO
LMC-SC2  158664  7.02416 14.383 FU
LMC-SC2  158669  3.04825 14.823 FO
LMC-SC2  158672  2.31356 14.914 FO
LMC-SC2  158674  2.56224 14.932 FO
LMC-SC2  172934  5.99282 14.572 FU
LMC-SC2  172969  3.24087 15.370 FU
LMC-SC2  180132  7.09089 14.329 FU
LMC-SC2  180134  5.27290 14.050 FO
LMC-SC2  180138  7.55023 14.093 FU
LMC-SC2  180165  3.26707 14.563 FO
LMC-SC2  180167  4.87459 14.749 FU
LMC-SC2  198723  4.65685 14.902 FU
LMC-SC2  203856  4.64137 14.826 FU
