 time      mag    err
 726.80743 15.052 0.007
 728.87072 14.799 0.006
 729.85362 14.969 0.007
 739.83831 14.834 0.007
 742.85060 14.926 0.007
 744.82346 14.687 0.006
 745.83301 14.916 0.007
 746.87107 15.126 0.007
 747.69046 14.783 0.006
 748.66785 14.860 0.007
 750.74814 14.926 0.007
 751.77863 14.953 0.007
 752.84003 14.764 0.006
 754.84831 15.109 0.009
 755.75215 14.736 0.007
 759.74872 14.850 0.007
 760.80323 14.904 0.007
 762.82396 15.011 0.007
 769.83635 14.983 0.007
 773.82376 14.973 0.007
 776.84976 14.955 0.007
 779.79069 14.904 0.007
 781.80722 14.918 0.007
 783.81564 14.708 0.006
 788.81815 15.031 0.007
 790.83289 14.922 0.006
 795.78960 14.795 0.006
 798.78487 14.806 0.006
 816.84054 15.130 0.007
 817.78301 14.767 0.006
 824.73040 15.108 0.007
 826.72706 14.823 0.006
 827.67312 15.054 0.007
 828.73254 14.968 0.007
 829.79707 14.886 0.007
 831.62213 14.883 0.007
 832.74503 15.024 0.007
 833.67782 14.833 0.006
 834.73085 14.763 0.006
 835.69803 15.011 0.007
 836.66683 15.072 0.007
 837.64837 14.756 0.006
 838.77599 14.968 0.007
 839.64701 14.976 0.007
 840.76742 14.938 0.006
 842.67951 14.775 0.006
 844.62723 15.135 0.007
 845.65232 14.669 0.006
 850.72337 14.885 0.007
 854.76081 14.899 0.007
 855.74543 15.124 0.009
 856.65278 14.804 0.007
 857.71105 14.861 0.007
 858.66491 15.020 0.007
 859.74081 14.928 0.007
 860.68198 14.946 0.007
 865.54969 14.744 0.007
 867.60512 15.045 0.007
 874.71668 15.000 0.006
 876.58581 14.689 0.006
 876.68600 14.692 0.006
 880.60948 14.910 0.006
 885.61616 14.893 0.009
 887.65447 14.829 0.007
 890.67808 14.920 0.007
 892.57160 14.741 0.006
 895.61498 14.837 0.006
 898.59264 14.999 0.006
 918.60791 14.894 0.009
 922.51221 15.079 0.007
 928.57413 14.999 0.009
 933.53636 15.054 0.007
 951.49433 14.774 0.006
1041.90855 14.886 0.006
1072.88414 14.892 0.006
1079.82696 14.827 0.007
1080.87120 14.872 0.006
1081.82058 15.067 0.007
1083.88883 14.808 0.006
1084.80246 15.046 0.007
1086.82275 14.800 0.006
1089.78580 14.962 0.006
1090.80760 14.829 0.006
1091.86575 14.779 0.006
1092.86411 15.006 0.007
1102.86973 14.683 0.006
1107.85273 14.952 0.006
1109.80243 14.985 0.007
1113.86588 14.722 0.006
1116.81011 14.957 0.006
1126.71185 14.944 0.006
1129.81060 14.871 0.006
1131.81527 14.991 0.007
1132.80712 15.105 0.007
1134.82019 14.958 0.006
1142.75751 14.878 0.006
1151.85214 15.101 0.007
1153.72376 14.771 0.006
1155.67944 15.027 0.007
1157.74004 14.906 0.007
1159.74504 14.981 0.006
1161.81009 14.778 0.006
1163.80676 15.066 0.007
1165.80693 14.969 0.007
1167.74163 14.889 0.007
1168.75265 14.916 0.007
1171.72049 15.105 0.007
1174.84831 15.099 0.006
1178.76627 14.911 0.006
1181.73182 14.847 0.006
1183.76537 14.775 0.006
1185.81430 15.034 0.006
1187.76754 14.907 0.006
1189.75593 14.852 0.006
1191.82081 14.781 0.006
1192.85156 14.784 0.006
1194.67107 15.060 0.007
1196.68797 14.948 0.007
1202.69334 15.118 0.007
1204.67347 14.929 0.007
1207.68625 14.906 0.007
1211.67856 14.675 0.007
1213.71281 15.103 0.007
1214.72073 14.807 0.007
1215.54683 14.820 0.007
1216.61489 14.969 0.007
1217.68248 14.932 0.007
1219.61974 14.779 0.007
1221.59039 15.053 0.007
1223.68055 14.763 0.007
1224.56017 15.003 0.007
1226.56846 14.831 0.006
1227.57551 14.913 0.007
1232.66513 14.987 0.007
1235.56630 14.917 0.007
1237.55021 14.915 0.009
1238.65221 14.935 0.007
1241.55241 15.114 0.009
1242.62582 14.667 0.007
1243.56955 14.880 0.007
1245.53810 14.906 0.007
1247.67251 14.890 0.007
1248.64022 14.908 0.007
1251.59478 14.841 0.007
1254.54867 14.781 0.007
1255.58167 15.000 0.009
1257.61329 14.935 0.007
1260.59935 15.027 0.007
1264.58976 15.075 0.009
1266.59154 14.927 0.007
1267.60761 14.917 0.009
