 time        mag       err
 726.80743   14.989    0.007
 728.87072   14.796    0.006
 729.85362   14.883    0.007
 739.83831   14.919    0.007
 742.85060   15.009    0.007
 744.82346   14.804    0.006
 745.83301   14.928    0.007
 746.87107   15.015    0.007
 747.69046   14.887    0.006
 748.66785   14.798    0.007
 750.74814   15.022    0.007
 751.77863   14.860    0.007
 752.84003   14.818    0.006
 754.84831   15.015    0.009
 755.75215   14.804    0.007
 759.74872   14.830    0.007
 760.80323   14.844    0.007
 762.82396   14.992    0.007
 769.83635   14.990    0.007
 773.82376   15.020    0.007
 776.84976   14.916    0.007
 779.79069   14.793    0.007
 781.80722   15.019    0.007
 783.81564   14.810    0.006
 788.81815   14.947    0.007
 790.83289   14.837    0.006
 795.78960   14.836    0.006
 798.78487   14.809    0.006
 816.84054   15.025    0.007
 817.78301   14.880    0.006
 824.73040   15.026    0.007
 826.72706   14.820    0.006
 827.67312   14.967    0.007
 828.73254   15.023    0.007
 829.79707   14.835    0.007
 831.62213   14.948    0.007
 832.74503   15.012    0.007
 833.67782   14.798    0.006
 834.73085   14.841    0.006
 835.69803   14.978    0.007
 836.66683   15.027    0.007
 837.64837   14.832    0.006
 838.77599   14.875    0.007
 839.64701   14.970    0.007
 840.76742   14.992    0.006
 842.67951   14.864    0.006
 844.62723   15.021    0.007
 845.65232   14.791    0.006
 850.72337   14.901    0.007
 854.76081   14.927    0.007
 855.74543   15.012    0.009
 856.65278   14.894    0.007
 857.71105   14.803    0.007
 858.66491   14.941    0.007
 859.74081   15.017    0.007
 860.68198   14.887    0.007
 865.54969   14.816    0.007
 867.60512   15.035    0.007
 874.71668   14.995    0.006
 876.58581   14.799    0.006
 876.68600   14.786    0.006
 880.60948   14.791    0.006
 885.61616   14.882    0.009
 887.65447   14.936    0.007
 890.67808   15.019    0.007
 892.57160   14.779    0.006
 895.61498   14.894    0.006
 898.59264   15.036    0.006
 918.60791   15.002    0.009
 922.51221   14.993    0.007
 928.57413   14.926    0.009
 933.53636   15.032    0.007
 951.49433   14.845    0.006
1041.90855   14.961    0.006
1072.88414   14.929    0.006
1079.82696   14.831    0.007
1080.87120   14.957    0.006
1081.82058   15.014    0.007
1083.88883   14.835    0.006
1084.80246   14.973    0.007
1086.82275   14.802    0.006
1089.78580   14.994    0.006
1090.80760   14.767    0.006
1091.86575   14.866    0.006
1092.86411   14.999    0.007
1102.86973   14.803    0.006
1107.85273   14.921    0.006
1109.80243   14.886    0.007
1113.86588   14.823    0.006
1116.81011   15.022    0.006
1126.71185   14.847    0.006
1129.81060   14.779    0.006
1131.81527   15.025    0.007
1132.80712   15.013    0.007
1134.82019   14.901    0.006
1142.75751   14.906    0.006
1151.85214   15.024    0.007
1153.72376   14.810    0.006
1155.67944   15.029    0.007
1157.74004   14.822    0.007
1159.74504   15.009    0.006
1161.81009   14.866    0.006
1163.80676   15.021    0.007
1165.80693   14.881    0.007
1167.74163   14.979    0.007
1168.75265   14.800    0.007
1171.72049   14.989    0.007
1174.84831   15.005    0.006
1178.76627   15.013    0.006
1181.73182   14.904    0.006
1183.76537   14.863    0.006
1185.81430   14.946    0.006
1187.76754   14.860    0.006
1189.75593   14.932    0.006
1191.82081   14.809    0.006
1192.85156   14.830    0.006
1194.67107   15.025    0.007
1196.68797   14.848    0.007
1202.69334   15.015    0.007
1204.67347   14.862    0.007
1207.68625   14.790    0.007
1211.67856   14.784    0.007
1213.71281   14.993    0.007
1214.72073   14.909    0.007
1215.54683   14.787    0.007
1216.61489   14.899    0.007
1217.68248   15.017    0.007
1219.61974   14.779    0.007
1221.59039   15.025    0.007
1223.68055   14.791    0.007
1224.56017   14.929    0.007
1226.56846   14.877    0.006
1227.57551   14.815    0.007
1232.66513   14.971    0.007
1235.56630   14.821    0.007
1237.55021   15.020    0.009
1238.65221   14.817    0.007
1241.55241   15.001    0.009
1242.62582   14.789    0.007
1243.56955   14.852    0.007
1245.53810   14.998    0.007
1247.67251   14.885    0.007
1248.64022   15.004    0.007
1251.59478   14.894    0.007
1254.54867   14.785    0.007
1255.58167   14.914    0.009
1257.61329   14.921    0.007
1260.59935   15.029    0.007
1264.58976   15.037    0.009
1266.59154   14.821    0.007
1267.60761   14.948    0.009
1275.53004   14.967    0.009
1278.51268   14.852    0.007
1281.52073   14.785    0.007
1290.49045   14.888    0.007
1296.58136   14.899    0.007
1300.52744   14.927    0.009
1305.50586   14.818    0.007
1308.53685   14.854    0.007
1315.49606   15.004    0.009
1318.47877   14.984    0.007
1320.52095   14.783    0.007
1331.48340   14.964    0.007
1431.82671   15.001    0.007
1433.82329   14.795    0.007
1435.87118   15.026    0.007
1437.86387   14.811    0.007
1440.90286   14.820    0.007
1443.79418   15.037    0.009
1447.76795   15.008    0.009
1448.85869   14.779    0.007
1455.77689   14.987    0.009
1458.76282   14.997    0.007
1459.88441   14.979    0.007
1460.76503   14.805    0.006
1461.73079   14.874    0.007
1471.74120   14.905    0.007
1475.83565   14.860    0.007
1478.76036   15.026    0.007
1481.82258   14.967    0.007
1484.82689   14.863    0.007
1487.81967   14.807    0.007
1491.75841   14.798    0.006
1493.70037   14.972    0.007
1495.74377   14.795    0.007
1498.66493   14.969    0.007
1500.80546   14.880    0.007
1503.69576   14.791    0.007
1505.80260   15.027    0.007
1507.69863   14.779    0.007
1508.81522   14.937    0.007
1509.67678   15.018    0.007
1510.64224   14.919    0.007
1511.72490   14.808    0.006
1512.75893   14.954    0.007
1514.77339   14.867    0.007
