Mass,Radius
2.2056,8.6036
2.0797,8.6654
2.139,10.2892
2.2408,11.5089
1.5735,10.9817
1.7289,10.2062
1.7994,10.9131
1.5895,10.8537
1.4329,11.0456
1.1237,10.6872
1.6783,10.692
1.2901,10.9238
1.2922,11.1544
2.1288,9.4125
1.5147,10.9801
2.0229,8.1318
1.3613,11.3575
1.6654,11.0893
2.2658,8.1714
1.9492,9.6365
1.3952,12.7761
1.2835,10.8781
1.0246,10.8544
1.8606,10.6042
1.6572,11.227
1.006,10.8647
2.1116,8.2044
2.4601,11.1875
1.4337,10.7778
2.1569,9.1531
2.1567,9.0576
2.2137,8.6543
2.1576,8.5152
2.1732,9.6813
2.1441,9.9534
2.228,8.9462
2.1508,8.2558
2.0151,8.3304
2.1162,8.3881
2.0135,9.0355
2.1734,10.5885
2.1338,8.9067
2.1757,11.0325
2.3011,10.9489
1.3987,10.8018
2.1665,8.4003
2.0535,9.2728
2.0616,8.5355
1.9551,9.4794
1.9614,10.5067
2.1659,8.9908
2.3511,10.8204
2.1364,8.428
2.2127,9.6354
2.0981,8.304
2.2739,11.2607
1.6608,11.0881
2.26,10.2707
2.1697,11.2281
2.1965,9.1204
1.7702,10.305
1.9731,9.5838
2.1792,8.4976
1.7996,10.2534
1.7745,9.576
1.9233,8.6989
1.7459,10.1712
2.3001,8.8478
1.8116,9.9791
1.5115,10.6617
1.9025,8.8005
1.5275,10.6832
1.872,9.457
1.6175,10.8341
1.6264,10.9365
1.1108,10.6925
1.4593,11.5937
1.2584,12.4098
1.4778,11.2057
0.9954,10.2039
1.0007,10.3236
2.017,10.6389
2.0398,9.5098
1.9121,9.8369
1.7866,10.2892
2.1646,9.5815
1.7881,10.6331
1.8371,10.6217
1.8196,10.0209
1.6749,11.2657
2.2254,11.5871
1.6883,10.6344
1.7806,10.901
1.7729,10.2972
2.0734,9.7151
1.7405,11.014
1.8331,11.0554
1.584,10.8187
1.7155,10.733
1.764,10.2991
1.6696,11.3647
1.6411,11.0521
1.4243,10.8391
1.3748,10.8287
1.1514,10.4493
1.6793,10.658
1.8199,11.0465
1.4709,11.0629
2.0728,11.5921
1.8184,10.5882
1.5777,11.0785
1.545,10.9087
1.5963,10.933
1.7629,10.9151
1.5099,10.9294
1.421,10.8566
1.8259,11.1468
1.152,10.5662
1.3205,11.6171
1.221,11.0108
1.2871,10.8389
1.1354,10.7564
1.0594,10.3917
1.4961,10.9008
0.9996,10.2688
1.1712,10.7617
0.9292,10.0448
1.1818,10.7979
0.9386,10.3192
0.9691,10.1813
1.2823,10.8911
1.6924,11.3625
1.1393,10.4241
1.6669,11.2761
1.6297,10.8671
1.5551,11.1136
1.649,10.9497
1.5109,10.8098
1.4056,10.82
1.6601,11.0455
1.2305,10.6455
1.7458,10.6011
1.4427,10.893
