Mass,Radius
1.2942,5.4613
1.7329,9.1988
1.4391,6.5833
1.8248,5.8499
1.611,6.8449
1.2866,6.2565
1.1726,5.2302
1.2223,7.9005
1.1405,8.0508
1.4263,5.706
1.2734,5.5861
1.4172,5.9874
1.1942,5.3863
1.2765,8.0368
1.1562,10.1444
1.2565,5.0636
1.1448,6.2139
1.2873,9.8672
1.393,8.0467
1.2449,8.3858
1.2682,7.8351
1.1225,7.5918
1.4315,8.5675
1.2193,8.3245
1.1788,6.1222
1.1391,12.6126
1.0778,10.2327
1.078,7.5705
1.3251,8.615
1.1669,8.245
1.1952,7.5776
1.0677,7.6434
0.9158,4.6553
1.4258,5.0544
1.553,5.6311
1.5607,6.7882
1.3611,5.7401
1.3232,4.7685
1.1661,6.3769
1.252,4.62
1.8697,7.3791
1.509,6.7651
1.2913,6.0648
1.6624,9.5716
1.2556,5.8557
1.4227,6.8007
1.2603,4.6773
1.2364,5.8457
1.122,5.2231
1.094,6.0573
1.0771,4.8763
1.202,6.9329
1.0641,5.0712
1.01,4.6333
1.3384,5.2822
1.138,4.5803
1.4491,5.1659
1.4017,6.0187
1.4116,5.2744
1.4393,5.5128
1.3131,6.56
1.2028,5.6498
1.2248,7.3419
1.541,6.8824
1.1693,4.8334
1.1385,5.2405
1.3374,6.2814
1.3268,9.5074
1.1666,4.6921
1.2245,5.5298
1.2751,4.8706
1.1696,11.5672
1.1935,5.6552
1.326,6.2774
1.4761,6.2267
1.182,5.1031
1.4656,6.6163
1.7561,7.5607
1.5933,7.8629
1.4585,8.0473
1.4535,6.6966
1.3399,5.7737
1.3297,6.684
1.329,7.1609
1.5082,8.7499
1.641,8.4316
1.0848,4.8002
1.2944,5.7764
1.2539,4.8051
1.1885,5.8922
1.1625,4.9045
1.1866,4.6686
1.4337,6.8586
1.3992,7.1061
1.7402,10.043
1.2207,6.2842
1.5483,7.5637
1.2255,6.4362
1.2742,6.8089
1.0622,5.7813
1.102,4.8436
1.1841,5.9746
1.0521,4.8434
1.1172,5.303
1.3215,6.4593
1.1062,5.4057
1.3925,6.8905
1.2946,7.0042
1.1148,6.1757
1.271,6.4256
1.1297,6.3984
1.1046,5.9017
1.0293,6.0013
0.9767,6.4703
2.0158,7.8481
1.762,9.0293
1.2236,4.5976
1.2495,5.555
1.4124,5.0441
1.2281,5.1094
1.7233,6.9889
1.2026,6.4983
1.5642,8.4528
1.615,9.4908
1.5721,7.1458
1.5825,7.8633
1.3584,6.8731
1.5612,7.2829
1.2947,4.7251
1.1379,6.2808
1.4561,7.1845
1.2913,6.7512
1.3041,5.284
1.2625,6.2033
1.3048,6.3679
1.3242,5.9511
1.2631,6.2207
1.3245,4.9924
1.7222,7.4907
1.2711,6.2287
1.2346,5.4728
1.0459,4.4513
1.1694,5.7083
1.3951,6.306
1.201,6.6967
1.6327,9.8464
1.488,8.4948
1.1866,6.3012
1.1267,5.3145
1.5276,9.9692
1.1726,6.0786
1.1317,5.5056
1.5288,7.4152
1.2226,6.08
1.487,8.913
1.5913,8.9613
1.2558,8.0399
1.119,5.4221
1.6174,9.8682
1.1924,6.677
1.7909,9.767
1.108,4.5585
1.137,6.4788
1.1209,5.622
1.3372,7.8063
1.1147,5.8371
1.4298,5.9851
1.1398,5.9353
1.4905,7.252
1.1682,6.8159
1.1759,5.3089
1.1768,5.5199
1.1653,8.0716
1.1195,4.9385
1.0697,6.7208
1.2321,8.4004
1.2845,7.3815
1.1572,6.616
1.1678,7.3388
1.0639,5.9178
1.0711,5.5532
1.182,6.664
1.1225,4.4076
1.0674,6.4598
1.3476,8.1236
1.2307,8.5556
1.1629,8.7172
1.2048,6.5031
1.4026,6.1943
1.0406,5.5601
1.2507,7.2718
1.1545,7.6492
1.0707,4.5321
1.3596,7.4408
1.3583,8.7893
1.1297,7.3247
1.1142,7.5066
1.1564,6.8734
1.0055,6.0509
1.2557,9.2367
1.0084,5.2991
1.0454,7.4881
0.9969,4.804
0.9689,4.8181
0.9738,4.977
1.3548,6.9873
1.3894,7.1113
1.2372,5.2443
1.4513,7.9477
1.3936,7.6009
1.3837,7.5453
1.3286,8.17
1.3232,7.183
1.0276,6.4272
1.2759,6.0412
1.4853,8.3881
1.4578,6.0946
1.563,8.9767
1.3017,5.044
1.1329,4.6999
1.168,4.7383
1.2455,5.7703
1.2472,6.0619
1.1137,4.6451
1.04,5.2335
1.2614,5.1751
1.467,7.4013
1.17,5.6423
1.27,8.2273
1.3113,5.9357
1.2931,6.4784
1.4268,7.2402
1.2365,6.1911
1.3309,6.6798
1.3987,7.3661
1.1471,5.3928
1.3129,6.988
1.1561,5.9562
1.2804,6.5328
1.1028,8.5925
1.5013,10.6301
1.4741,7.491
1.1412,4.8526
1.2844,7.6487
1.2574,5.7734
1.1862,5.9314
1.3008,9.3295
1.3097,6.4352
1.2074,7.1616
1.2744,7.0873
1.1242,4.8797
1.5067,8.422
1.3443,7.3693
1.1347,6.8739
1.1968,6.417
1.3536,8.4055
1.239,9.266
1.1373,5.651
1.3456,9.3438
1.4776,10.8771
1.0979,4.701
1.0985,5.2542
1.1525,4.7852
1.0864,5.5123
1.1092,6.4669
1.1643,7.6944
1.7896,9.8219
1.1183,6.7895
1.2864,7.7625
1.1368,4.655
1.3817,8.5821
1.0282,5.1372
1.2171,6.6104
1.464,10.5019
1.1938,6.2454
1.1816,6.8773
1.0987,5.659
1.0547,6.2072
1.2842,5.7561
1.3495,9.5513
1.3528,9.3994
1.2981,8.5112
1.3045,8.9545
1.0309,5.6734
1.2184,8.5059
1.1596,9.9742
1.201,8.8085
1.1202,8.3795
1.2812,7.9496
1.0461,5.3994
1.3836,10.2161
1.2218,9.749
1.108,8.1129
1.0789,6.0259
1.0417,6.0168
1.1512,9.4807
1.189,8.4497
1.3689,8.83
1.2125,7.0972
1.1541,6.665
1.6018,8.6111
1.3188,8.3237
1.1933,7.9792
1.0458,5.6401
1.0814,7.3472
1.1021,7.5886
1.0898,5.4755
1.0802,6.3418
1.3546,9.4878
1.1963,10.7559
1.0392,5.9474
1.0407,5.96
1.0431,9.2953
1.0983,9.9361
1.0398,6.9629
1.1295,9.1979
1.179,8.4405
1.0021,4.4592
1.2148,10.9775
1.0415,9.0616
1.0267,8.6785
1.0389,4.5949
1.0613,7.5316
1.0601,7.0983
0.9781,8.6343
1.0413,7.8444
1.057,9.5143
1.0589,9.8015
1.0755,7.7667
1.0109,8.1555
1.0372,5.0166
1.0879,6.8502
0.9597,4.9034
0.9778,8.2438
0.9879,4.44
0.9579,8.7471
1.3573,9.9495
1.2731,7.9167
1.3727,9.852
1.3404,5.1066
1.1158,4.6159
1.1105,5.4389
1.1775,5.6164
1.2719,9.1145
1.3236,9.3927
1.1621,7.2446
1.3499,10.3192
1.4004,9.8908
1.1937,8.4541
1.434,10.4589
1.4337,8.7666
1.1062,5.5495
1.2669,7.856
1.482,10.2253
1.1179,6.6727
1.7165,11.6406
1.3858,7.5368
1.1115,4.4677
1.3691,7.6768
1.2301,6.1742
1.4141,10.3771
1.1404,5.6514
1.3413,9.649
1.2998,5.5417
1.0863,7.0862
1.1883,7.4211
1.2245,8.4665
1.1517,10.1031
1.2304,6.4331
1.1656,8.8803
1.1642,6.4893
1.3706,8.4875
1.1238,8.2468
1.2081,7.9507
1.3239,7.562
1.4238,8.2446
1.1419,5.3967
1.2073,6.8516
1.1911,6.5375
1.1376,6.0629
1.1824,7.1065
1.4096,9.1421
1.3564,10.4134
1.1385,9.0243
1.3696,10.4752
1.4205,10.2921
1.2472,5.7062
1.2534,9.1535
1.2165,6.7995
1.3042,8.05
1.1144,8.631
1.171,5.7304
1.4923,9.171
1.4788,11.1338
1.1045,5.8592
1.2377,6.7763
1.0945,4.9769
1.1346,7.6137
1.1658,9.217
1.3007,8.6829
1.1967,8.5458
1.5059,9.8468
1.35,9.6671
1.0584,6.6225
1.3227,9.9445
1.5656,12.8385
1.1974,9.0967
1.2179,9.3432
1.0793,6.5735
1.2007,7.4563
1.5,11.5097
1.1305,8.3382
1.1004,8.3503
1.3306,7.0678
1.216,7.7252
1.3416,6.2757
1.6293,9.9007
1.274,9.8202
1.432,10.7975
1.1728,6.1939
1.2387,10.1318
1.1726,6.7134
1.2977,9.5982
1.1417,7.3384
1.4016,10.5754
1.1023,9.5378
1.1564,8.7326
1.1477,9.6611
1.0296,6.4561
1.045,8.2447
1.1826,9.2563
1.0845,8.9941
0.9217,8.1868
1.0824,9.0443
1.0571,7.123
1.0402,5.7019
1.2719,9.1422
1.1147,8.2533
1.1108,9.2557
1.2639,10.3128
1.3408,12.0486
0.9866,7.3102
1.0873,10.2462
1.2825,11.9618
1.0825,8.799
1.063,5.9266
1.1265,6.6511
1.0229,9.1449
1.0237,5.3363
1.0218,5.8245
1.0513,5.5753
