    r0R         Delr_f     Delr_1       Delr_2
    0.000000    0.044570   -0.016910    0.007330
    0.057998    0.045040   -0.017060    0.007370
    0.072497    0.045320   -0.017140    0.007400
    0.086996    0.045650   -0.017240    0.007420
    0.101496    0.046050   -0.017360    0.007460
    0.115995    0.046520   -0.017510    0.007500
    0.130494    0.047060   -0.017670    0.007540
    0.144994    0.047670   -0.017850    0.007590
    0.159493    0.048360   -0.018050    0.007640
    0.173993    0.049130   -0.018270    0.007690
    0.188492    0.049990   -0.018510    0.007740
    0.202991    0.050940   -0.018770    0.007790
    0.217491    0.051980   -0.019060    0.007840
    0.231990    0.053130   -0.019360    0.007890
    0.246489    0.054390   -0.019680    0.007940
    0.260989    0.055770   -0.020020    0.007980
    0.275488    0.057270   -0.020380    0.008000
    0.289988    0.058900   -0.020750    0.008020
    0.304487    0.060680   -0.021140    0.008020
    0.318986    0.062610   -0.021540    0.008010
    0.333486    0.064710   -0.021950    0.007970
    0.347985    0.066990   -0.022360    0.007900
    0.362484    0.069460   -0.022780    0.007800
    0.376984    0.072130   -0.023190    0.007660
    0.391483    0.075030   -0.023600    0.007480
    0.405983    0.078170   -0.023990    0.007240
    0.420482    0.081560   -0.024330    0.006950
    0.434981    0.085230   -0.024670    0.006580
    0.449481    0.089200   -0.024940    0.006130
    0.463980    0.093490   -0.025150    0.005590
    0.478479    0.098120   -0.025280    0.004960
    0.492979    0.103130   -0.025300    0.004210
    0.507478    0.108550   -0.025200    0.003340
    0.521977    0.114390   -0.024950    0.002340
    0.536477    0.120710   -0.024510    0.001190
    0.550976    0.127530   -0.023840   -0.000110
    0.565476    0.134890   -0.022910   -0.001570
    0.579975    0.142830   -0.021670   -0.003200
    0.594474    0.151410   -0.020050   -0.005000
    0.608974    0.160670   -0.018010   -0.006960
    0.623473    0.170650   -0.015450   -0.009080
    0.637973    0.181430   -0.012300   -0.011340
    0.652472    0.193060   -0.008460   -0.013710
    0.666971    0.205600   -0.003820   -0.016140
    0.681471    0.219130    0.001740   -0.018570
    0.695970    0.233710    0.008370   -0.020930
    0.710469    0.249440    0.016230   -0.023080
    0.724969    0.266410    0.025500   -0.024900
    0.732219    0.275360    0.030720   -0.025610
    0.739468    0.284690    0.036380   -0.026170
    0.746718    0.294360    0.042500   -0.026540
    0.753968    0.304400    0.049110   -0.026670
    0.761217    0.314830    0.056250   -0.026540
    0.768467    0.325640    0.063950   -0.026090
    0.775717    0.336880    0.072260   -0.025270
    0.782966    0.348530    0.081210   -0.024030
    0.790216    0.360640    0.090850   -0.022310
    0.797466    0.373200    0.101220   -0.020020
    0.804715    0.386240    0.112380   -0.017100
    0.811965    0.399780    0.124370   -0.013460
    0.819215    0.413820    0.137240   -0.008990
    0.826464    0.428400    0.151070   -0.003600
    0.833714    0.443540    0.165910    0.002830
    0.840964    0.459240    0.181820    0.010450
    0.848213    0.475540    0.198880    0.019380
    0.855463    0.492450    0.217160    0.029790
    0.862713    0.510010    0.236740    0.041860
    0.869963    0.528220    0.257700    0.055780
    0.877212    0.547120    0.280130    0.071760
    0.884462    0.566740    0.304140    0.090040
    0.891712    0.587090    0.329800    0.110870
    0.898961    0.608210    0.357240    0.134540
    0.906211    0.630120    0.386570    0.161360
    0.913461    0.652860    0.417890    0.191670
    0.920710    0.676450    0.451340    0.225830
    0.927960    0.700930    0.487060    0.264270
    0.935210    0.726320    0.525170    0.307430
    0.942459    0.752670    0.565840    0.355800
    0.949709    0.780000    0.609220    0.409910
    0.956959    0.808360    0.655480    0.470370
    0.964208    0.837780    0.704800    0.537800
    0.971458    0.868310    0.757360    0.612920
    0.978708    0.899970    0.813370    0.696530
    0.985958    0.932830    0.873110    0.789810
    1.000000    1.000000    1.000000    1.000000
