#
# Baron et al. 2012, ApJ, 752, 20 Table 3
# Position Estimates of Algol B and Algol C Relative to Algol A
#
# Units:
#   MJD: days
#   rho_X: mas
#   theta_X: degrees
#   sig_xX: mas
#   psi_X: mas
#
# All angles are given east of north. rho_B and theta_B are the polar
# coordinates of Algol B, while sigma_a, B, sigma_b, B, and psi_B are,
# respectively, the semimajor axis, semiminor axis, and angular
# inclination of its error ellipse.
#
# only kept MJD for the observation date
#
MJD          chi^2/dof  rho_B   theta_B sig_aB  sig_bB  psi_B   rho_C   theta_C sig_aC  sig_bC  psi_C   
54017.535773    1.452   1.630   40.74   0.214   0.103   318.16  44.54   -61.91  0.217   0.140   302.82  
54017.547162    1.193   1.565   39.72   0.199   0.083   310.04  44.55   -61.93  0.192   0.141   299.08  
54017.558304    2.778   1.558   38.24   0.170   0.094   299.65  44.52   -61.88  0.229   0.158   106.26  
54019.403382    6.467   0.538   109.70  0.286   0.129   286.92  45.09   -61.73  0.331   0.202   108.53  
54019.416411    4.271   0.485   87.79   0.283   0.238   160.59  45.62   -61.73  0.421   0.179   305.31  
54019.553074    3.673   1.033   59.38   0.217   0.118   227.40  45.74   -61.66  0.243   0.139   119.75  
54019.555134    3.188   0.983   59.86   0.211   0.103   222.20  45.88   -61.72  0.234   0.150   298.48  
54020.441845    1.124   1.473   35.46   0.271   0.183   303.77  46.37   -61.28  0.309   0.184   128.15  
54020.451949    1.540   1.396   33.72   0.155   0.086   307.40  46.35   -61.31  0.238   0.153   136.16  
54377.358738    2.891   1.914   -137.73 0.555   0.134   61.12   18.86   108.01  0.374   0.075   67.59   
54377.372951    2.098   1.752   -146.02 0.289   0.139   64.24   18.81   107.87  0.330   0.100   242.73  
54377.384093    2.076   1.670   -146.21 0.367   0.207   234.45  18.69   108.25  0.806   0.137   64.15   
54427.234904    3.484   2.200   44.83   0.330   0.195   103.13  61.06   128.69  0.508   0.157   124.32  
54427.249729    1.975   2.196   43.80   0.252   0.159   242.64  60.69   127.74  0.449   0.149   125.02  
54427.265206    2.795   2.198   41.31   0.248   0.100   232.43  60.74   127.75  0.254   0.150   309.56  
54696.522101    5.493   1.935   48.69   0.234   0.139   231.63  44.17   -62.15  0.344   0.109   298.54  
54696.525448    3.876   1.985   49.72   0.326   0.158   242.68  43.80   -62.15  0.405   0.178   301.15  
54696.536763    4.791   1.984   48.36   0.262   0.115   226.02  43.99   -62.12  0.427   0.121   293.89  
54696.539548    3.268   1.984   48.52   0.243   0.110   231.84  43.83   -62.15  0.401   0.121   296.55  
