# Data from SB9: The ninth catalogue of spectroscopic binary orbits
# Pourbaix et al. 2004, A&A, 424, 727
# [sb9.astro.ulb.ac.be]
# Selection: binaries in which the primary is a G dwarf (G0V through G9V)
#
# column 1: SB9 ID number
# column 2: period (in days)
# column 3: error in period (in days), if available (0.000 if none given)
# column 4: periastron time (JD-2400000): unused by us
# column 5: error in periastron time: unused by us
# column 6: flag on periastron time: integer: unused by us
# column 7: eccentricity
# column 8: error in eccentricity, if available (0.000 if none given)
ID   P       errP T        errT f e      errEcc
11   411.449 0.79 34233.31 0.77 0 0.5671 0.0041
33   3.7418 0.000 30001.444 0.000 0 0.01 0.000
72   0.5158 0.000 45603.485 0.000 5 0.0 0.000
117   10.0201 0.000 18911.3 0.000 0 0.01 0.000
169   6.43781 0.00016 53258.4 1.1 0 0.0028 0.0028
180   1.9299257 0.0000021 47632.73 0.33 0 0.0025 0.0024
201   18.7806 0.000 36457.454 0.000 0 0.20 0.000
225   55.130 0.000 43099.37 0.000 0 0.39 0.000
228   5.60925 0.00010 44499.898 0.007 0 0 0.000
231   75.6587 0.0008 52278.874 0.036 0 0.2628 0.0006
242   156.380540 0.000095 56636.67055 0.00046 0 0.851280 0.000031
247   41.6625 0.000 43651.17 0.000 0 0.66 0.000
251   358.484 0.013 50702.66 0.16 0 0.3703 0.0013
276   45.4314 0.0022 47973.75 0.17 0 0.342 0.012
281   19.3468 0.000 44598.44 0.000 0 0.44 0.000
315   6.9369 0.000 44947.894 0.000 1 0.07 0.000
401   0.593073 0.000 50792.6597 0.0011 1 0 0.000
421   9.8154 0.000 46105.6419 0.000 1 0.0 0.000
435   32.807302 0.000078 54663.017 0.039 0 0.07081 0.00057
437   113.23143 0.00048 53356.310 0.006 0 0.3870 0.0001
478   8467. 0.000 20757. 0.000 0 0.69 0.000
559   987.92 0.44 44234.6 1.8 0 0.4290 0.0060
622   0.6001 0.000 32995.406 0.000 10 0.0 0.000
667   3.980507 0.000006 42441.421 0.019 0 0.0 0.000
668   670.24 0.09 47389.1 2.2 0 0.532 0.008
682   7.3283 0.000 18985.575 0.000 10 0.0 0.000
721   5.412514 0.000006 44600.624 0.002 0 0 0.000
729   0.3385 0.000 34837.4198 0.000 1 0.0 0.000
733   17.778584 0.000010 48740.836 0.005 0 0.5688 0.0011
787   0.3432 0.000 42308.6931 0.000 1 0.0 0.000
