ID F555W F439W Color errF555W errF439W errColor
200005 24.1638 25.1639  1.0001 0.2186 0.2283 0.3161
200006 21.4618 22.9319  1.4701 0.0416 0.0432 0.0600
200009 24.8688 24.8959  0.0271 0.3257 0.1778 0.3711
200010 23.6008 24.0389  0.4381 0.2308 0.1271 0.2635
200012 21.8538 22.1259  0.2721 0.1376 0.0620 0.1509
200014 24.1328 24.7059  0.5731 0.2329 0.1406 0.2720
200015 23.6798 23.6589 -0.0209 0.2538 0.1210 0.2812
200017 24.7578 25.7999  1.0421 0.4877 0.2895 0.5672
200019 23.2708 24.8749  1.6041 0.1269 0.1706 0.2126
200020 21.0308 22.4139  1.3831 0.0338 0.0245 0.0417
200021 20.4318 21.6129  1.1811 0.0266 0.0242 0.0360
200029 24.8618 25.4549  0.5931 0.2932 0.2050 0.3578
200031 23.5488 24.0529  0.5041 0.1410 0.1303 0.1920
200033 25.0398 23.9779 -1.0619 0.3991 0.0960 0.4105
200034 21.2398 22.4689  1.2291 0.0427 0.0372 0.0566
    11 14.9468 15.7739  0.8271 0.0370 0.0344 0.0505
    10 16.9068 17.4649  0.5581 0.0230 0.0144 0.0271
200038 24.8788 25.4239  0.5451 0.5090 0.1748 0.5382
    13 19.1348 20.0029  0.8681 0.0168 0.0162 0.0233
200040 23.3158 25.0199  1.7041 0.1026 0.1318 0.1670
200047 24.9238 25.4529  0.5291 0.6453 0.2336 0.6863
200048 22.0038 23.5669  1.5631 0.0557 0.0619 0.0833
200050 22.3258 24.0669  1.7411 0.0616 0.0853 0.1052
200051 24.6488 25.2119  0.5631 0.4209 0.1433 0.4446
200057 25.4178 25.7039  0.2861 0.7981 0.2452 0.8349
200061 24.7578 25.5129  0.7551 0.5626 0.2259 0.6063
    15 17.7388 18.3389  0.6001 0.0161 0.0149 0.0219
200063 24.9848 25.2389  0.2541 0.4148 0.1746 0.4500
200064 23.5498 24.1669  0.6171 0.1476 0.0944 0.1752
200067 25.2528 25.0689 -0.1839 0.6410 0.1738 0.6641
200069 24.5868 26.1139  1.5271 0.4688 0.0450 0.4710
200073 24.6018 25.4269  0.8251 0.2632 0.2807 0.3848
200074 25.3508 25.9429  0.5921 0.7621 0.3137 0.8241
200076 24.4498 25.4139  0.9641 0.3444 0.1727 0.3853
    16 18.4978 19.2269  0.7291 0.0178 0.0149 0.0232
200078 24.8608 26.0229  1.1621 0.3074 0.2983 0.4283
200079 24.4188 25.4919  1.0731 0.3334 0.0972 0.3473
200081 25.2018 25.8249  0.6231 0.5952 0.2846 0.6597
200082 20.3128 21.4549  1.1421 0.0318 0.0185 0.0368
200084 21.4088 22.9349  1.5261 0.0915 0.0467 0.1027
200085 24.9658 25.8719  0.9061 0.3051 0.2054 0.3678
200086 24.7118 25.1669  0.4551 0.3240 0.1550 0.3592
200088 25.0038 25.8799  0.8761 0.3823 0.2205 0.4413
    18 17.9178 18.5519  0.6341 0.0170 0.0142 0.0222
200089 25.8038 25.6279 -0.1759 1.1328 0.1996 1.1503
200090 24.7298 25.2679  0.5381 0.7656 0.2486 0.8050
200091 21.1758 21.0239 -0.1519 0.2320 0.0433 0.2360
200092 24.8718 25.9999  1.1281 0.3603 0.1766 0.4013
200093 22.3348 22.1399 -0.1949 0.2330 0.0556 0.2395
200094 24.6118 25.7169  1.1051 0.3148 0.2102 0.3785
200095 25.0448 25.6469  0.6021 0.5299 0.0494 0.5322
200096 23.2358 24.2449  1.0091 0.1248 0.1006 0.1603
200097 24.7418 25.1319  0.3901 0.3040 0.1210 0.3272
200098 23.6668 23.2629 -0.4039 0.7006 0.0802 0.7052
200099 25.3288 25.7499  0.4211 0.3794 0.1489 0.4076
200100 24.1068 24.6779  0.5711 0.2313 0.1199 0.2605
    20 18.1598 18.8469  0.6871 0.0172 0.0117 0.0208
200103 25.9608 26.0969  0.1361 1.4141 0.2110 1.4298
    19 16.1388 16.7569  0.6181 0.0173 0.0130 0.0216
    21 17.3198 17.9229  0.6031 0.0215 0.0124 0.0248
    23 18.0318 18.6679  0.6361 0.0184 0.0118 0.0219
200105 26.0158 24.6399 -1.3759 1.8900 0.1040 1.8929
200106 23.5188 23.9279  0.4091 0.1899 0.0829 0.2072
    22 18.2358 18.9249  0.6891 0.0159 0.0127 0.0203
    24 19.0348 19.8679  0.8331 0.0196 0.0150 0.0247
200108 24.6638 25.0169  0.3531 0.5822 0.1655 0.6053
200109 25.0618 25.8529  0.7911 0.3655 0.2373 0.4358
200110 24.4578 25.2969  0.8391 0.6082 0.2608 0.6618
