# rho = 1.0e-7 g/cm^3
# X = 0.72
# Y = 1-X = 0.28
# column 1: temperature (Kelvin)
# column 2: adiabatic index
# ----------------------------------------
Temp         gamma
1000.00      1.66667
2046.59      1.66667    
2094.26      1.66667    
2143.04      1.66667    
2192.96      1.66667    
2244.04      1.66667    
2296.31      1.66667    
2349.80      1.66667    
2404.53      1.66667    
2460.54      1.66667    
2517.85      1.66667    
2576.50      1.66667    
2636.51      1.66667    
2697.93      1.66667    
2760.77      1.66667    
2825.08      1.66667    
2890.88      1.66667    
2958.22      1.66667    
3027.12      1.66667    
3097.63      1.66667    
3169.79      1.66667    
3243.62      1.66667    
3319.17      1.66667    
3396.49      1.66667    
3475.60      1.66667    
3556.56      1.66667    
3639.40      1.66667    
3724.17      1.66667    
3810.92      1.66667    
3899.69      1.66667    
3990.52      1.66667    
4083.48      1.66631    
4178.59      1.66631    
4275.93      1.66632    
4375.52      1.66599    
4477.44      1.66600    
4581.74      1.66537    
4688.46      1.66571    
4797.67      1.66419    
4909.42      1.66243    
5023.77      1.66193    
5140.79      1.65973    
5260.54      1.65737    
5383.07      1.65404    
5508.46      1.64958    
5636.77      1.64437    
5768.06      1.63610    
5902.42      1.62633    
6039.90      1.61511    
6180.59      1.60071    
6324.56      1.58327    
6471.87      1.56242    
6622.62      1.53849    
6776.88      1.51123    
6934.74      1.48107    
7096.27      1.44841    
7261.56      1.41410    
7430.71      1.37879    
7603.79      1.34335    
7780.90      1.30880    
7962.15      1.27574    
8147.61      1.24476    
8337.39      1.21628    
8531.59      1.19047    
8730.32      1.16744    
8933.67      1.14713    
9141.76      1.12938    
9354.70      1.11401    
9572.60      1.10080    
9795.58      1.08951    
10023.7      1.07994    
10257.2      1.07187    
10496.1      1.06511    
10740.6      1.05951    
10990.8      1.05492    
11246.8      1.05123    
11508.8      1.04835    
11776.9      1.04622    
12051.2      1.04478    
12331.9      1.04403    
12619.1      1.04398    
12913.1      1.04465    
13213.9      1.04611    
13521.7      1.04847    
13836.6      1.05188    
14158.9      1.05655    
14488.7      1.06272    
14826.2      1.07071    
15171.6      1.08085    
15524.9      1.09350    
15886.6      1.10891    
16256.6      1.12708    
16635.3      1.14762    
17022.8      1.16936    
17419.3      1.19033    
17825.0      1.20794    
18240.2      1.21980    
18665.1      1.22482    
19099.9      1.22398    
19544.7      1.21993    
20000.0      1.21582    
20465.9      1.21433    
20942.6      1.21743    
21430.4      1.22635    
21929.6      1.24172    
22440.4      1.26394    
22963.1      1.29266    
23497.9      1.32700    
24045.3      1.36583    
24605.4      1.40635    
25178.5      1.44662    
25765.0      1.48501    
26365.1      1.51924    
26979.3      1.54827    
27607.7      1.57343    
28250.8      1.59369    
28908.8      1.60879    
29582.2      1.62215    
30271.2      1.62851    
30976.3      1.63593    
31697.9      1.64106    
32436.2      1.63888    
33191.7      1.63406    
33964.9      1.62961    
34756.0      1.62459    
35565.6      1.60987    
36394.0      1.58755    
37241.7      1.55993    
38109.2      1.52096    
38996.9      1.47959    
39905.2      1.43712    
40834.8      1.39031    
41785.9      1.34589    
42759.2      1.30594    
43755.2      1.27450    
44774.4      1.25191    
45817.4      1.23711    
46884.6      1.23080    
47976.7      1.23249    
49094.2      1.24212    
50237.7      1.25963    
51407.9      1.28434    
52605.4      1.31553    
53830.7      1.35184    
55084.6      1.39111    
56367.7      1.43122    
57680.6      1.47067    
59024.2      1.50734    
60399.0      1.53877    
61805.9      1.56531    
63245.6      1.58779    
64718.7      1.60546    
66226.2      1.61919    
67768.8      1.62996    
69347.4      1.63862    
70962.7      1.64506    
72615.6      1.64998    
74307.0      1.65367    
76037.9      1.65730    
77809.0      1.65855 
79621.4      1.65981    
81476.1      1.66102    
83373.9      1.66274    
85315.9      1.66446    
87303.2      1.66449    
89336.7      1.66452    
91417.6      1.66559    
93547.0      1.66667    
95726.0      1.66667    
97955.8      1.66667    
100237.      1.66667    
102572.      1.66667    
104961.      1.66667    
107406.      1.66667    
109908.      1.66667    
112468.      1.66667    
115088.      1.66667    
117769.      1.66667    
120512.      1.66667    
123319.      1.66667    
126191.      1.66667    
129131.      1.66667    
132139.      1.66667    
135217.      1.66667    
138366.      1.66667    
141589.      1.66667    
144887.      1.66667    
148262.      1.66667    
151716.      1.66667    
155249.      1.66667    
158866.      1.66667    
162566.      1.66667    
166353.      1.66667    
170228.      1.66667    
174193.      1.66667    
178250.      1.66667    
182402.      1.66667    
186651.      1.66667    
190998.      1.66667    
195447.      1.66667    
500000.      1.66667
