#
# Oxygen bound-free opacity as a function of photon energy in gas of solar
# abundance with T = 2.1 × 10^6 K and ρ = 0.06 g cm^−3.
#
# Source: 
#  Dr. Franck Delahaye, LERMA - Observatoire de Paris, Meudon
#
# units:
#  E_photon - eV
#  kappa - a_o^2/atom (a_o = Bohr radius)
#
E_photon  kappa
   1.332327e+01     8.328900e-01
   1.875095e+01     2.876900e-01
   2.288141e+01     1.550500e-01
   2.634167e+01     9.997300e-02
   2.937395e+01     7.117900e-02
   3.210209e+01     5.395600e-02
   3.460076e+01     4.278200e-02
   3.691549e+01     3.505000e-02
   3.908270e+01     3.036200e-02
   4.112607e+01     2.581400e-02
   4.306382e+01     2.236700e-02
   4.490868e+01     1.962700e-02
   4.667341e+01     1.740600e-02
   4.836712e+01     1.557700e-02
   4.999708e+01     1.405500e-02
   5.156877e+01     1.276700e-02
   5.308946e+01     1.166200e-02
   5.456280e+01     1.070900e-02
   5.599243e+01     9.880200e-03
   5.738200e+01     9.153500e-03
   5.873332e+01     8.512400e-03
   6.005186e+01     7.943500e-03
   6.133762e+01     7.435900e-03
   6.259424e+01     6.980800e-03
   6.382172e+01     6.570600e-03
   6.502189e+01     6.199400e-03
   6.619837e+01     5.862500e-03
   6.735119e+01     5.555700e-03
   6.848214e+01     5.297700e-03
   6.959125e+01     5.145100e-03
   7.068032e+01     4.973300e-03
   7.175118e+01     5.649400e-03
   7.280200e+01     5.404600e-03
   7.383644e+01     5.177100e-03
   7.485448e+01     4.965500e-03
   7.585796e+01     4.683500e-03
   7.684504e+01     4.502900e-03
   7.781756e+01     4.334000e-03
   7.877550e+01     4.175900e-03
   7.972070e+01     4.027000e-03
   8.065315e+01     3.887000e-03
   8.157102e+01     3.755400e-03
   8.247980e+01     3.631200e-03
   8.337582e+01     3.514400e-03
   8.426092e+01     3.403200e-03
   8.513509e+01     3.298200e-03
   8.599833e+01     3.198500e-03
   8.685065e+01     3.104100e-03
   8.769568e+01     3.014500e-03
   8.852979e+01     2.929100e-03
   8.935478e+01     2.848100e-03
   9.017068e+01     2.770400e-03
   9.097746e+01     2.696400e-03
   9.177696e+01     2.625800e-03
   9.256736e+01     2.558500e-03
   9.335047e+01     2.494000e-03
   9.412448e+01     2.432300e-03
   9.489302e+01     2.373200e-03
   9.565245e+01     2.316900e-03
   9.640642e+01     2.262300e-03
   9.715129e+01     2.210100e-03
   9.789069e+01     2.159900e-03
   9.862281e+01     2.111700e-03
   9.934946e+01     2.065400e-03
   1.000688e+02     2.020900e-03
   1.007827e+02     1.978000e-03
   1.014912e+02     1.936400e-03
   1.021923e+02     1.896300e-03
   1.028880e+02     1.857900e-03
   1.035801e+02     1.821100e-03
   1.042649e+02     1.785408e-03
   1.049442e+02     1.750000e-03
   1.056180e+02     1.716961e-03
   1.062882e+02     1.684100e-03
   1.069511e+02     1.652700e-03
   1.076104e+02     1.622300e-03
   1.082642e+02     1.593319e-03
   1.089143e+02     1.564500e-03
   1.095590e+02     1.536700e-03
   1.102001e+02     1.510237e-03
   1.108357e+02     1.484000e-03
   1.114677e+02     1.458800e-03
   1.120941e+02     1.434300e-03
   1.127170e+02     1.410781e-03
   1.133362e+02     1.387400e-03
   1.139518e+02     1.365201e-03
   1.145619e+02     1.343200e-03
   1.151683e+02     1.322187e-03
   1.157711e+02     1.301300e-03
   1.163703e+02     1.281389e-03
   1.169658e+02     1.261600e-03
   1.175577e+02     1.242792e-03
   1.181459e+02     1.224100e-03
   1.187306e+02     1.206244e-03
   1.193115e+02     1.188500e-03
   1.198888e+02     1.171446e-03
   1.204625e+02     1.154500e-03
   1.210344e+02     1.138200e-03
   1.216026e+02     1.127300e-03
   1.221653e+02     1.111900e-03
   1.227281e+02     1.096500e-03
