#
# Oxygen free-free opacity as a function of photon energy in gas of solar
# abundance with T = 2.1 × 10^6 K and ρ = 0.06 g cm^−3.
#
# Source: 
#  Dr. Franck Delahaye, LERMA - Observatoire de Paris, Meudon
#
# units:
#  E_photon - eV
#  kappa - a_o^2/atom (a_o = Bohr radius)
#
E_photon  kappa
   1.332327e+01     8.328900e-01
   1.875095e+01     2.876400e-01
   2.288141e+01     1.547300e-01
   2.634167e+01     9.976000e-02
   2.937395e+01     7.102600e-02
   3.210209e+01     5.383900e-02
   3.460076e+01     4.261200e-02
   3.691549e+01     3.480900e-02
   3.908270e+01     2.912800e-02
   4.112607e+01     2.484300e-02
   4.306382e+01     2.151500e-02
   4.490868e+01     1.887100e-02
   4.667341e+01     1.672900e-02
   4.836712e+01     1.496500e-02
   4.999708e+01     1.349200e-02
   5.156877e+01     1.224700e-02
   5.308946e+01     1.118300e-02
   5.456280e+01     1.026500e-02
   5.599243e+01     9.467300e-03
   5.738200e+01     8.768300e-03
   5.873332e+01     8.151900e-03
   6.005186e+01     7.604900e-03
   6.133762e+01     7.117000e-03
   6.259424e+01     6.679500e-03
   6.382172e+01     6.285400e-03
   6.502189e+01     5.928900e-03
   6.619837e+01     5.605300e-03
   6.735119e+01     5.310300e-03
   6.848214e+01     5.040500e-03
   6.959125e+01     4.793100e-03
   7.068032e+01     4.565500e-03
   7.175118e+01     4.355500e-03
   7.280200e+01     4.161300e-03
   7.383644e+01     3.981300e-03
   7.485448e+01     3.814100e-03
   7.585796e+01     3.658400e-03
   7.684504e+01     3.513100e-03
   7.781756e+01     3.377300e-03
   7.877550e+01     3.250200e-03
   7.972070e+01     3.130900e-03
   8.065315e+01     3.018900e-03
   8.157102e+01     2.913500e-03
   8.247980e+01     2.814100e-03
   8.337582e+01     2.720400e-03
   8.426092e+01     2.631800e-03
   8.513509e+01     2.548000e-03
   8.599833e+01     2.468600e-03
   8.685065e+01     2.393300e-03
   8.769568e+01     2.321900e-03
   8.852979e+01     2.253900e-03
   8.935478e+01     2.189300e-03
   9.017068e+01     2.127800e-03
   9.097746e+01     2.069100e-03
   9.177696e+01     2.013100e-03
   9.256736e+01     1.959600e-03
   9.335047e+01     1.908500e-03
   9.412448e+01     1.859700e-03
   9.489302e+01     1.812900e-03
   9.565245e+01     1.768000e-03
   9.640642e+01     1.725100e-03
   9.715129e+01     1.683800e-03
   9.789069e+01     1.644200e-03
   9.862281e+01     1.606200e-03
   9.934946e+01     1.569700e-03
   1.000688e+02     1.534500e-03
   1.007827e+02     1.500600e-03
   1.014912e+02     1.468000e-03
