#
# Oxygen total opacity as a function of photon energy in gas of solar
# abundance with T = 2.1 × 10^6 K and ρ = 0.06 g cm^−3.
#
# Source: 
#  Dr. Franck Delahaye, LERMA - Observatoire de Paris, Meudon
#
# units:
#  E_photon - eV
#  kappa - a_o^2/atom (a_o = Bohr radius)
#
E_photon  kappa
   1.332327e+01     8.328900e-01
   1.875095e+01     2.877200e-01
   2.288141e+01     1.551900e-01
   2.634167e+01     1.001800e-01
   2.937395e+01     7.159200e-02
   3.210209e+01     5.555500e-02
   3.460076e+01     4.367000e-02
   3.691549e+01     3.565900e-02
   3.908270e+01     3.206800e-02
   4.112607e+01     3.342400e-02
   4.306382e+01     3.240200e-02
   4.490868e+01     2.211400e-02
   4.667341e+01     1.794100e-02
   4.836712e+01     1.596100e-02
   4.999708e+01     1.437700e-02
   5.156877e+01     1.304100e-02
   5.308946e+01     1.190900e-02
   5.456280e+01     1.095400e-02
   5.599243e+01     1.013400e-02
   5.738200e+01     9.400400e-03
   5.873332e+01     8.749800e-03
   6.005186e+01     8.192600e-03
   6.133762e+01     7.697000e-03
   6.259424e+01     7.228400e-03
   6.382172e+01     6.805000e-03
   6.502189e+01     6.421900e-03
   6.619837e+01     6.061800e-03
   6.735119e+01     5.754900e-03
   6.848214e+01     5.485000e-03
   6.959125e+01     5.295500e-03
   7.068032e+01     5.161500e-03
   7.175118e+01     5.868500e-03
   7.280200e+01     5.547500e-03
   7.383644e+01     5.275800e-03
   7.485448e+01     5.046000e-03
   7.585796e+01     4.755700e-03
   7.684504e+01     4.571000e-03
   7.781756e+01     4.400700e-03
   7.877550e+01     4.243100e-03
   7.972070e+01     4.096600e-03
   8.065315e+01     3.961700e-03
   8.157102e+01     3.838200e-03
   8.247980e+01     3.722600e-03
   8.337582e+01     3.609200e-03
   8.426092e+01     3.502200e-03
   8.513509e+01     3.407000e-03
   8.599833e+01     3.323800e-03
   8.685065e+01     3.256200e-03
   8.769568e+01     3.211300e-03
   8.852979e+01     3.207000e-03
   8.935478e+01     3.291700e-03
   9.017068e+01     3.591500e-03
   9.097746e+01     4.172200e-03
