# 14N(p,gamma)15O S-factor experimental data
# Source: Xu et al. 2013
#
# data = SC87, IM05, RU05, BE06b, LE06b
#
# Units:
#  E - keV
#  S - keV barn
#
    E           S            upper-limit  lower-limit 
    0.223E+03   4.1540E+00   4.4560E+00   3.8520E+00 
    0.231E+03   7.5470E+00   7.9880E+00   7.1060E+00 
    0.307E+03   2.8260E+00   3.0430E+00   2.6090E+00 
    0.317E+03   2.2060E+00   2.3830E+00   2.0290E+00 
    0.330E+03   1.7660E+00   1.9080E+00   1.6240E+00 
    0.352E+03   1.3620E+00   1.4850E+00   1.2390E+00 
    0.360E+03   1.4600E+00   1.5390E+00   1.3810E+00 
    0.376E+03   1.2550E+00   1.3710E+00   1.1390E+00 
    0.406E+03   1.1270E+00   1.2400E+00   1.0140E+00 
    0.457E+03   1.1830E+00   1.2970E+00   1.0690E+00 
    0.482E+03   1.4680E+00   1.6570E+00   1.2790E+00 
   6.9700E+01   1.7200E+00   1.8800E+00   1.5600E+00
   7.9200E+01   1.7200E+00   1.8300E+00   1.6100E+00
   8.8800E+01   1.6900E+00   1.6900E+00   1.6900E+00
   9.7600E+01   1.7300E+00   1.7300E+00   1.7300E+00
   1.0790E+02   1.7000E+00   1.7000E+00   1.7000E+00
   1.1810E+02   1.8300E+00   1.8300E+00   1.8300E+00
   1.2620E+02   1.8700E+00   1.8700E+00   1.8700E+00
   1.3650E+02   1.9000E+00   1.9000E+00   1.9000E+00
   1.5330E+02   2.0100E+00   2.0100E+00   2.0100E+00
   1.6440E+02   2.0400E+00   2.0400E+00   2.0400E+00
   1.7240E+02   2.1800E+00   2.1800E+00   2.1800E+00
   1.8190E+02   2.4200E+00   2.4200E+00   2.4200E+00
   1.8930E+02   2.6800E+00   2.6800E+00   2.6800E+00
   1.9950E+02   3.0200E+00   3.0200E+00   3.0200E+00
   2.0750E+02   3.5600E+00   3.5600E+00   3.5600E+00
   2.1700E+02   4.5600E+00   4.5600E+00   4.5600E+00
   2.2710E+02   6.8900E+00   6.8900E+00   6.8900E+00
    0.157E+03   2.1150E+00   2.2090E+00   2.0210E+00 
    0.173E+03   2.0280E+00   2.1040E+00   1.9520E+00
    0.182E+03   2.1460E+00   2.2070E+00   2.0850E+00
    0.198E+03   2.5920E+00   2.6540E+00   2.5300E+00
    0.209E+03   3.4620E+00   3.5380E+00   3.3860E+00
    0.219E+03   4.8550E+00   4.9840E+00   4.7260E+00
    0.229E+03   6.8970E+00   6.9620E+00   6.8320E+00
    0.239E+03   1.3317E+01   1.3473E+01   1.3161E+01
    0.249E+03   4.8800E+01   4.9090E+01   4.8510E+01
    0.256E+03   5.4197E+02   5.5416E+02   5.2978E+02
    0.257E+03   1.0597E+03   1.0872E+03   1.0323E+03
    0.258E+03   6.3720E+03   6.5530E+03   6.1910E+03
    0.259E+03   1.9304E+04   2.0125E+04   1.8483E+04
    0.301E+03   3.8700E+00   4.0900E+00   3.6500E+00
    0.311E+03   2.7830E+00   2.9010E+00   2.6650E+00
    0.321E+03   2.4030E+00   2.4800E+00   2.3260E+00
    0.329E+03   1.9300E+00   1.9960E+00   1.8640E+00
    0.350E+03   1.5850E+00   1.6280E+00   1.5420E+00
    0.367E+03   1.4230E+00   1.5400E+00   1.3060E+00
   7.0080E+01   1.7400E+00   1.9380E+00   1.5420E+00
   7.9300E+01   1.7700E+00   1.9187E+00   1.6213E+00
   8.8700E+01   1.7000E+00   1.7990E+00   1.6010E+00
   9.8570E+01   1.7400E+00   1.8745E+00   1.6055E+00
   1.0800E+02   1.6800E+00   1.8287E+00   1.5313E+00
   1.1759E+02   1.8100E+00   1.9576E+00   1.6624E+00
   1.2664E+02   1.8500E+00   2.0026E+00   1.6974E+00
   1.3616E+02   1.8800E+00   2.0160E+00   1.7440E+00
   1.5326E+02   1.8600E+00   2.0320E+00   1.6880E+00
   1.5977E+02   1.9200E+00   2.0676E+00   1.7724E+00
   1.6393E+02   1.9800E+00   2.1440E+00   1.8160E+00
   1.6645E+02   2.2900E+00   2.4603E+00   2.1197E+00
   1.7147E+02   2.0500E+00   2.1721E+00   1.9279E+00
   1.8179E+02   2.3700E+00   2.5060E+00   2.2340E+00
   1.8661E+02   2.4400E+00   2.6100E+00   2.2700E+00
   1.9034E+02   2.6300E+00   2.7826E+00   2.4774E+00
   1.9260E+02   2.8500E+00   3.0500E+00   2.6500E+00
   2.0101E+02   2.8100E+00   3.0152E+00   2.6048E+00
   2.0348E+02   3.3300E+00   3.5567E+00   3.1033E+00
   2.0782E+02   3.4900E+00   3.7063E+00   3.2737E+00
   2.1303E+02   3.7000E+00   3.9470E+00   3.4530E+00
   2.1718E+02   4.4500E+00   4.7302E+00   4.1698E+00
   2.1958E+02   4.9200E+00   5.2340E+00   4.6060E+00
   2.2821E+02   6.6700E+00   7.0528E+00   6.2872E+00
    0.432E+03   1.5043E+00   1.6588E+00   1.3498E+00
   0.6645E+03   1.5289E+00   1.6186E+00   1.4392E+00
   0.7585E+03   1.4498E+00   1.5180E+00   1.3816E+00
    0.867E+03   1.5716E+00   1.6546E+00   1.4886E+00
    0.931E+03   1.9630E+00   2.1307E+00   1.7953E+00
   0.9930E+03   9.4282E+01   9.9775E+01   8.8789E+01
    1.248E+03   1.4900E+00   1.6269E+00   1.3531E+00
    1.296E+03   1.8730E+00   2.0195E+00   1.7265E+00
   1.3895E+03   2.2300E+00   2.4560E+00   2.0040E+00
    1.412E+03   2.0620E+00   2.2710E+00   1.8530E+00
    1.435E+03   3.5400E+00   3.8720E+00   3.2080E+00
    1.457E+03   3.1830E+00   3.4950E+00   2.8710E+00
    1.482E+03   2.1990E+00   2.4230E+00   1.9750E+00
    1.575E+03   1.9390E+00   2.0860E+00   1.7920E+00
    1.715E+03   2.1940E+00   2.3910E+00   1.9970E+00
