# 14N(p,gamma)15O S-factor potential model data
# Source: Xu et al. 2013
#
# data = SC87, IM05, RU05, BE06b, LE06b
#
# Units:
#  E - keV
#  S - keV barn
#
     E              S              S_min          S_max
     1.5000e+00     1.8270e+00     1.6297e+00     2.0243e+00
     2.0000e+00     1.8241e+00     1.6270e+00     2.0211e+00
     2.5000e+00     1.8223e+00     1.6255e+00     2.0192e+00
     3.0000e+00     1.8211e+00     1.6244e+00     2.0179e+00
     3.5000e+00     1.8200e+00     1.6234e+00     2.0167e+00
     4.0000e+00     1.8190e+00     1.6226e+00     2.0155e+00
     4.5000e+00     1.8181e+00     1.6218e+00     2.0145e+00
     5.0000e+00     1.8173e+00     1.6210e+00     2.0135e+00
     5.5000e+00     1.8164e+00     1.6203e+00     2.0125e+00
     6.0000e+00     1.8156e+00     1.6196e+00     2.0116e+00
     6.5000e+00     1.8148e+00     1.6189e+00     2.0107e+00
     7.0000e+00     1.8140e+00     1.6182e+00     2.0097e+00
     7.5000e+00     1.8132e+00     1.6175e+00     2.0088e+00
     8.0000e+00     1.8124e+00     1.6169e+00     2.0079e+00
     8.5000e+00     1.8115e+00     1.6161e+00     2.0070e+00
     9.0000e+00     1.8108e+00     1.6155e+00     2.0061e+00
     9.5000e+00     1.8100e+00     1.6148e+00     2.0052e+00
     1.0000e+01     1.8092e+00     1.6142e+00     2.0043e+00
     1.0500e+01     1.8085e+00     1.6135e+00     2.0034e+00
     1.1000e+01     1.8077e+00     1.6129e+00     2.0026e+00
     1.1500e+01     1.8070e+00     1.6122e+00     2.0017e+00
     1.2000e+01     1.8062e+00     1.6116e+00     2.0008e+00
     1.2500e+01     1.8055e+00     1.6110e+00     2.0000e+00
     1.3000e+01     1.8048e+00     1.6104e+00     1.9992e+00
     1.3500e+01     1.8040e+00     1.6097e+00     1.9983e+00
     1.4000e+01     1.8033e+00     1.6091e+00     1.9974e+00
     1.4500e+01     1.8025e+00     1.6085e+00     1.9966e+00
     1.5000e+01     1.8018e+00     1.6078e+00     1.9957e+00
     1.5500e+01     1.8011e+00     1.6072e+00     1.9949e+00
     1.6000e+01     1.8004e+00     1.6066e+00     1.9941e+00
     1.6500e+01     1.7997e+00     1.6060e+00     1.9933e+00
     1.7000e+01     1.7989e+00     1.6054e+00     1.9924e+00
     1.7500e+01     1.7982e+00     1.6048e+00     1.9916e+00
     1.8000e+01     1.7975e+00     1.6042e+00     1.9908e+00
     1.8500e+01     1.7968e+00     1.6036e+00     1.9900e+00
     1.9000e+01     1.7961e+00     1.6030e+00     1.9892e+00
     1.9500e+01     1.7954e+00     1.6024e+00     1.9883e+00
     2.0000e+01     1.7947e+00     1.6018e+00     1.9876e+00
     2.0500e+01     1.7940e+00     1.6013e+00     1.9868e+00
     2.1000e+01     1.7933e+00     1.6007e+00     1.9860e+00
     2.1500e+01     1.7927e+00     1.6001e+00     1.9852e+00
     2.2000e+01     1.7920e+00     1.5995e+00     1.9844e+00
     2.2500e+01     1.7913e+00     1.5990e+00     1.9837e+00
     2.3000e+01     1.7906e+00     1.5984e+00     1.9829e+00
     2.3500e+01     1.7899e+00     1.5978e+00     1.9821e+00
     2.4000e+01     1.7893e+00     1.5972e+00     1.9813e+00
     2.4500e+01     1.7887e+00     1.5967e+00     1.9806e+00
     2.5000e+01     1.7880e+00     1.5962e+00     1.9798e+00
     2.5500e+01     1.7873e+00     1.5956e+00     1.9790e+00
     2.6000e+01     1.7867e+00     1.5951e+00     1.9783e+00
     2.6500e+01     1.7860e+00     1.5945e+00     1.9775e+00
     2.7000e+01     1.7854e+00     1.5940e+00     1.9768e+00
     2.7500e+01     1.7847e+00     1.5934e+00     1.9760e+00
     2.8000e+01     1.7841e+00     1.5929e+00     1.9752e+00
     2.8500e+01     1.7835e+00     1.5924e+00     1.9745e+00
     2.9000e+01     1.7828e+00     1.5918e+00     1.9738e+00
     2.9500e+01     1.7822e+00     1.5913e+00     1.9730e+00
     3.0000e+01     1.7816e+00     1.5908e+00     1.9723e+00
     3.0500e+01     1.7810e+00     1.5903e+00     1.9716e+00
     3.1000e+01     1.7804e+00     1.5898e+00     1.9709e+00
     3.1500e+01     1.7797e+00     1.5893e+00     1.9702e+00
     3.2000e+01     1.7791e+00     1.5888e+00     1.9695e+00
     3.2500e+01     1.7785e+00     1.5883e+00     1.9688e+00
     3.3000e+01     1.7779e+00     1.5878e+00     1.9681e+00
     3.3500e+01     1.7773e+00     1.5873e+00     1.9674e+00
     3.4000e+01     1.7767e+00     1.5868e+00     1.9667e+00
     3.4500e+01     1.7761e+00     1.5863e+00     1.9660e+00
     3.5000e+01     1.7756e+00     1.5858e+00     1.9653e+00
     3.5500e+01     1.7750e+00     1.5853e+00     1.9646e+00
     3.6000e+01     1.7744e+00     1.5849e+00     1.9639e+00
     3.6500e+01     1.7738e+00     1.5844e+00     1.9633e+00
     3.7000e+01     1.7733e+00     1.5839e+00     1.9626e+00
     3.7500e+01     1.7727e+00     1.5835e+00     1.9619e+00
     3.8000e+01     1.7721e+00     1.5830e+00     1.9613e+00
     3.8500e+01     1.7716e+00     1.5825e+00     1.9606e+00
     3.9000e+01     1.7710e+00     1.5821e+00     1.9599e+00
     3.9500e+01     1.7705e+00     1.5816e+00     1.9593e+00
     4.0000e+01     1.7699e+00     1.5812e+00     1.9587e+00
     4.0500e+01     1.7694e+00     1.5808e+00     1.9580e+00
     4.1000e+01     1.7689e+00     1.5803e+00     1.9574e+00
     4.1500e+01     1.7683e+00     1.5799e+00     1.9567e+00
     4.2000e+01     1.7678e+00     1.5795e+00     1.9561e+00
     4.2500e+01     1.7673e+00     1.5790e+00     1.9555e+00
     4.3000e+01     1.7668e+00     1.5786e+00     1.9549e+00
     4.3500e+01     1.7662e+00     1.5782e+00     1.9543e+00
     4.4000e+01     1.7657e+00     1.5778e+00     1.9536e+00
     4.4500e+01     1.7652e+00     1.5774e+00     1.9530e+00
     4.5000e+01     1.7647e+00     1.5769e+00     1.9524e+00
     4.5500e+01     1.7642e+00     1.5766e+00     1.9519e+00
     4.6000e+01     1.7637e+00     1.5762e+00     1.9513e+00
     4.6500e+01     1.7632e+00     1.5758e+00     1.9507e+00
     4.7000e+01     1.7628e+00     1.5754e+00     1.9501e+00
     4.7500e+01     1.7623e+00     1.5750e+00     1.9495e+00
     4.8000e+01     1.7618e+00     1.5746e+00     1.9489e+00
     4.8500e+01     1.7613e+00     1.5743e+00     1.9484e+00
     4.9000e+01     1.7609e+00     1.5739e+00     1.9478e+00
     4.9500e+01     1.7604e+00     1.5735e+00     1.9472e+00
     5.0000e+01     1.7599e+00     1.5732e+00     1.9467e+00
     5.0500e+01     1.7595e+00     1.5728e+00     1.9461e+00
     5.1000e+01     1.7590e+00     1.5725e+00     1.9456e+00
     5.1500e+01     1.7586e+00     1.5721e+00     1.9451e+00
     5.2000e+01     1.7581e+00     1.5718e+00     1.9445e+00
     5.2500e+01     1.7577e+00     1.5714e+00     1.9439e+00
     5.3000e+01     1.7573e+00     1.5711e+00     1.9434e+00
     5.3500e+01     1.7568e+00     1.5707e+00     1.9429e+00
     5.4000e+01     1.7564e+00     1.5704e+00     1.9424e+00
     5.4500e+01     1.7560e+00     1.5701e+00     1.9419e+00
     5.5000e+01     1.7556e+00     1.5698e+00     1.9414e+00
     5.5500e+01     1.7552e+00     1.5695e+00     1.9409e+00
     5.6000e+01     1.7548e+00     1.5692e+00     1.9404e+00
     5.6500e+01     1.7544e+00     1.5689e+00     1.9399e+00
     5.7000e+01     1.7540e+00     1.5686e+00     1.9395e+00
     5.7500e+01     1.7536e+00     1.5683e+00     1.9389e+00
     5.8000e+01     1.7533e+00     1.5680e+00     1.9385e+00
     5.8500e+01     1.7529e+00     1.5677e+00     1.9380e+00
     5.9000e+01     1.7525e+00     1.5675e+00     1.9376e+00
     5.9500e+01     1.7522e+00     1.5672e+00     1.9371e+00
     6.0000e+01     1.7518e+00     1.5669e+00     1.9367e+00
     6.0500e+01     1.7514e+00     1.5667e+00     1.9362e+00
     6.1000e+01     1.7511e+00     1.5664e+00     1.9358e+00
     6.1500e+01     1.7508e+00     1.5662e+00     1.9354e+00
     6.2000e+01     1.7505e+00     1.5660e+00     1.9350e+00
     6.2500e+01     1.7502e+00     1.5657e+00     1.9346e+00
     6.3000e+01     1.7498e+00     1.5655e+00     1.9342e+00
     6.3500e+01     1.7495e+00     1.5653e+00     1.9337e+00
     6.4000e+01     1.7492e+00     1.5651e+00     1.9333e+00
     6.4500e+01     1.7489e+00     1.5649e+00     1.9330e+00
     6.5000e+01     1.7486e+00     1.5646e+00     1.9326e+00
     6.5500e+01     1.7483e+00     1.5644e+00     1.9322e+00
     6.6000e+01     1.7480e+00     1.5642e+00     1.9317e+00
     6.6500e+01     1.7477e+00     1.5640e+00     1.9314e+00
     6.7000e+01     1.7474e+00     1.5638e+00     1.9310e+00
     6.7500e+01     1.7471e+00     1.5636e+00     1.9306e+00
     6.8000e+01     1.7469e+00     1.5635e+00     1.9303e+00
     6.8500e+01     1.7466e+00     1.5633e+00     1.9300e+00
     6.9000e+01     1.7464e+00     1.5631e+00     1.9296e+00
     6.9500e+01     1.7462e+00     1.5630e+00     1.9293e+00
     7.0000e+01     1.7459e+00     1.5629e+00     1.9290e+00
     7.0500e+01     1.7457e+00     1.5627e+00     1.9287e+00
     7.1000e+01     1.7455e+00     1.5626e+00     1.9284e+00
     7.1500e+01     1.7453e+00     1.5625e+00     1.9281e+00
     7.2000e+01     1.7450e+00     1.5623e+00     1.9278e+00
     7.2500e+01     1.7448e+00     1.5622e+00     1.9274e+00
     7.3000e+01     1.7447e+00     1.5621e+00     1.9272e+00
     7.3500e+01     1.7444e+00     1.5620e+00     1.9269e+00
     7.4000e+01     1.7443e+00     1.5619e+00     1.9267e+00
     7.4500e+01     1.7441e+00     1.5618e+00     1.9264e+00
     7.5000e+01     1.7439e+00     1.5617e+00     1.9261e+00
     7.5500e+01     1.7438e+00     1.5617e+00     1.9259e+00
     7.6000e+01     1.7436e+00     1.5616e+00     1.9256e+00
     7.6500e+01     1.7435e+00     1.5615e+00     1.9254e+00
     7.7000e+01     1.7433e+00     1.5615e+00     1.9252e+00
     7.7500e+01     1.7432e+00     1.5614e+00     1.9250e+00
     7.8000e+01     1.7430e+00     1.5614e+00     1.9247e+00
     7.8500e+01     1.7429e+00     1.5613e+00     1.9245e+00
     7.9000e+01     1.7428e+00     1.5613e+00     1.9243e+00
     7.9500e+01     1.7427e+00     1.5613e+00     1.9241e+00
     8.0000e+01     1.7426e+00     1.5613e+00     1.9239e+00
     8.0500e+01     1.7425e+00     1.5613e+00     1.9238e+00
     8.1000e+01     1.7425e+00     1.5613e+00     1.9236e+00
     8.1500e+01     1.7424e+00     1.5613e+00     1.9235e+00
     8.2000e+01     1.7423e+00     1.5613e+00     1.9233e+00
     8.2500e+01     1.7423e+00     1.5613e+00     1.9232e+00
     8.3000e+01     1.7422e+00     1.5614e+00     1.9231e+00
     8.3500e+01     1.7422e+00     1.5614e+00     1.9230e+00
     8.4000e+01     1.7422e+00     1.5615e+00     1.9229e+00
     8.4500e+01     1.7422e+00     1.5616e+00     1.9228e+00
     8.5000e+01     1.7421e+00     1.5616e+00     1.9226e+00
     8.5500e+01     1.7421e+00     1.5617e+00     1.9226e+00
     8.6000e+01     1.7421e+00     1.5618e+00     1.9225e+00
     8.6500e+01     1.7422e+00     1.5619e+00     1.9224e+00
     8.7000e+01     1.7421e+00     1.5619e+00     1.9223e+00
     8.7500e+01     1.7422e+00     1.5620e+00     1.9223e+00
     8.8000e+01     1.7422e+00     1.5622e+00     1.9223e+00
     8.8500e+01     1.7423e+00     1.5623e+00     1.9222e+00
     8.9000e+01     1.7423e+00     1.5624e+00     1.9222e+00
     8.9500e+01     1.7424e+00     1.5626e+00     1.9222e+00
     9.0000e+01     1.7425e+00     1.5627e+00     1.9222e+00
     9.0500e+01     1.7426e+00     1.5629e+00     1.9222e+00
     9.1000e+01     1.7427e+00     1.5631e+00     1.9223e+00
     9.1500e+01     1.7428e+00     1.5633e+00     1.9223e+00
     9.2000e+01     1.7429e+00     1.5635e+00     1.9223e+00
     9.2500e+01     1.7430e+00     1.5637e+00     1.9224e+00
     9.3000e+01     1.7432e+00     1.5639e+00     1.9224e+00
     9.3500e+01     1.7433e+00     1.5641e+00     1.9225e+00
     9.4000e+01     1.7434e+00     1.5643e+00     1.9226e+00
     9.4500e+01     1.7437e+00     1.5646e+00     1.9227e+00
     9.5000e+01     1.7438e+00     1.5649e+00     1.9228e+00
     9.5500e+01     1.7440e+00     1.5651e+00     1.9229e+00
     9.6000e+01     1.7442e+00     1.5654e+00     1.9230e+00
     9.6500e+01     1.7444e+00     1.5657e+00     1.9232e+00
     9.7000e+01     1.7446e+00     1.5660e+00     1.9233e+00
     9.7500e+01     1.7449e+00     1.5663e+00     1.9235e+00
     9.8000e+01     1.7451e+00     1.5666e+00     1.9236e+00
     9.8500e+01     1.7454e+00     1.5669e+00     1.9238e+00
     9.9000e+01     1.7456e+00     1.5673e+00     1.9240e+00
     9.9500e+01     1.7459e+00     1.5676e+00     1.9242e+00
     1.0000e+02     1.7462e+00     1.5680e+00     1.9245e+00
     1.0050e+02     1.7465e+00     1.5684e+00     1.9247e+00
     1.0100e+02     1.7468e+00     1.5688e+00     1.9249e+00
     1.0150e+02     1.7471e+00     1.5691e+00     1.9252e+00
     1.0200e+02     1.7475e+00     1.5695e+00     1.9254e+00
     1.0250e+02     1.7478e+00     1.5700e+00     1.9257e+00
     1.0300e+02     1.7482e+00     1.5704e+00     1.9260e+00
     1.0350e+02     1.7486e+00     1.5709e+00     1.9263e+00
     1.0400e+02     1.7490e+00     1.5713e+00     1.9266e+00
     1.0450e+02     1.7494e+00     1.5718e+00     1.9270e+00
     1.0500e+02     1.7498e+00     1.5723e+00     1.9273e+00
     1.0550e+02     1.7502e+00     1.5728e+00     1.9277e+00
     1.0600e+02     1.7507e+00     1.5733e+00     1.9281e+00
     1.0650e+02     1.7511e+00     1.5738e+00     1.9284e+00
     1.0700e+02     1.7516e+00     1.5744e+00     1.9289e+00
     1.0750e+02     1.7521e+00     1.5749e+00     1.9293e+00
     1.0800e+02     1.7526e+00     1.5755e+00     1.9297e+00
     1.0850e+02     1.7531e+00     1.5760e+00     1.9302e+00
     1.0900e+02     1.7537e+00     1.5767e+00     1.9306e+00
     1.0950e+02     1.7542e+00     1.5772e+00     1.9311e+00
     1.1000e+02     1.7547e+00     1.5779e+00     1.9316e+00
     1.1050e+02     1.7553e+00     1.5785e+00     1.9321e+00
     1.1100e+02     1.7559e+00     1.5792e+00     1.9327e+00
     1.1150e+02     1.7565e+00     1.5798e+00     1.9332e+00
     1.1200e+02     1.7571e+00     1.5805e+00     1.9337e+00
     1.1250e+02     1.7578e+00     1.5812e+00     1.9343e+00
     1.1300e+02     1.7584e+00     1.5819e+00     1.9349e+00
     1.1350e+02     1.7591e+00     1.5827e+00     1.9356e+00
     1.1400e+02     1.7598e+00     1.5835e+00     1.9362e+00
     1.1450e+02     1.7605e+00     1.5842e+00     1.9368e+00
     1.1500e+02     1.7612e+00     1.5850e+00     1.9374e+00
     1.1550e+02     1.7619e+00     1.5858e+00     1.9381e+00
     1.1600e+02     1.7627e+00     1.5866e+00     1.9388e+00
     1.1650e+02     1.7635e+00     1.5874e+00     1.9396e+00
     1.1700e+02     1.7643e+00     1.5883e+00     1.9403e+00
     1.1750e+02     1.7651e+00     1.5892e+00     1.9410e+00
     1.1800e+02     1.7659e+00     1.5900e+00     1.9418e+00
     1.1850e+02     1.7668e+00     1.5909e+00     1.9426e+00
     1.1900e+02     1.7676e+00     1.5919e+00     1.9434e+00
     1.1950e+02     1.7685e+00     1.5928e+00     1.9442e+00
     1.2000e+02     1.7694e+00     1.5938e+00     1.9451e+00
     1.2050e+02     1.7704e+00     1.5947e+00     1.9459e+00
     1.2100e+02     1.7713e+00     1.5958e+00     1.9469e+00
     1.2150e+02     1.7723e+00     1.5968e+00     1.9478e+00
     1.2200e+02     1.7733e+00     1.5978e+00     1.9487e+00
     1.2250e+02     1.7743e+00     1.5989e+00     1.9497e+00
     1.2300e+02     1.7753e+00     1.6000e+00     1.9506e+00
     1.2350e+02     1.7764e+00     1.6011e+00     1.9516e+00
     1.2400e+02     1.7774e+00     1.6022e+00     1.9527e+00
     1.2450e+02     1.7785e+00     1.6034e+00     1.9537e+00
     1.2500e+02     1.7797e+00     1.6045e+00     1.9548e+00
     1.2550e+02     1.7808e+00     1.6057e+00     1.9559e+00
     1.2600e+02     1.7820e+00     1.6069e+00     1.9570e+00
     1.2650e+02     1.7832e+00     1.6082e+00     1.9582e+00
     1.2700e+02     1.7844e+00     1.6094e+00     1.9593e+00
     1.2750e+02     1.7856e+00     1.6107e+00     1.9605e+00
     1.2800e+02     1.7869e+00     1.6120e+00     1.9617e+00
     1.2850e+02     1.7882e+00     1.6134e+00     1.9630e+00
     1.2900e+02     1.7894e+00     1.6147e+00     1.9642e+00
     1.2950e+02     1.7908e+00     1.6161e+00     1.9655e+00
     1.3000e+02     1.7922e+00     1.6175e+00     1.9668e+00
     1.3050e+02     1.7935e+00     1.6189e+00     1.9682e+00
     1.3100e+02     1.7950e+00     1.6204e+00     1.9696e+00
     1.3150e+02     1.7964e+00     1.6219e+00     1.9710e+00
     1.3200e+02     1.7979e+00     1.6234e+00     1.9724e+00
     1.3250e+02     1.7994e+00     1.6249e+00     1.9738e+00
     1.3300e+02     1.8009e+00     1.6265e+00     1.9753e+00
     1.3350e+02     1.8025e+00     1.6281e+00     1.9769e+00
     1.3400e+02     1.8041e+00     1.6297e+00     1.9784e+00
     1.3450e+02     1.8057e+00     1.6314e+00     1.9800e+00
     1.3500e+02     1.8073e+00     1.6331e+00     1.9816e+00
     1.3550e+02     1.8090e+00     1.6348e+00     1.9833e+00
     1.3600e+02     1.8107e+00     1.6365e+00     1.9849e+00
     1.3650e+02     1.8125e+00     1.6383e+00     1.9866e+00
     1.3700e+02     1.8143e+00     1.6401e+00     1.9884e+00
     1.3750e+02     1.8161e+00     1.6420e+00     1.9901e+00
     1.3800e+02     1.8179e+00     1.6439e+00     1.9920e+00
     1.3850e+02     1.8198e+00     1.6458e+00     1.9938e+00
     1.3900e+02     1.8217e+00     1.6477e+00     1.9957e+00
     1.3950e+02     1.8236e+00     1.6497e+00     1.9976e+00
     1.4000e+02     1.8256e+00     1.6517e+00     1.9996e+00
     1.4050e+02     1.8276e+00     1.6537e+00     2.0015e+00
     1.4100e+02     1.8297e+00     1.6558e+00     2.0036e+00
     1.4150e+02     1.8318e+00     1.6580e+00     2.0057e+00
     1.4200e+02     1.8339e+00     1.6601e+00     2.0077e+00
     1.4250e+02     1.8361e+00     1.6623e+00     2.0099e+00
     1.4300e+02     1.8383e+00     1.6645e+00     2.0121e+00
     1.4350e+02     1.8406e+00     1.6668e+00     2.0143e+00
     1.4400e+02     1.8428e+00     1.6691e+00     2.0166e+00
