# AME2020 Nuclear binding energy per nucleon
#
# reduced in size to just 3 columns for this plot
#
A  EL  B_A
  1 H  0.0      
  2 H  1.1122831  
  3 He 2.57268044 
  4 He 7.0739156  
  6 Li 5.3323312  
  7 Li 5.6064401  
  9 Be 6.4626693  
 10 B  6.4750835  
 11 B  6.9277323  
 12 C  7.6801446  
 13 C  7.4698495  
 14 N  7.4756148  
 15 N  7.6994603  
 16 O  7.9762072  
 17 O  7.7507291  
 18 O  7.7670981  
 19 F  7.7790192  
 20 Ne 8.0322412  
 21 Ne 7.9717136  
 22 Ne 8.0804656  
 23 Na 8.1114936  
 24 Mg 8.2607103  
 25 Mg 8.2235028  
 26 Mg 8.3338711  
 27 Al 8.3315533  
 28 Si 8.4477445  
 29 Si 8.4486361  
 30 Si 8.5206549  
 31 P  8.4811677  
 32 S  8.4931301  
 33 S  8.4976304  
 34 S  8.5834986  
 35 Cl 8.5202790  
 36 S  8.5753900  
 36 Ar 8.5199096  
 37 Cl 8.5702816  
 38 Ar 8.6142807  
 39 K  8.5570258  
 40 Ar 8.5952594  
 40 Ca 8.5513046  
 41 K  8.5760731  
 42 Ca 8.6165646  
 43 Ca 8.6006653  
 44 Ca 8.6581769  
 45 Sc 8.6189410  
 46 Ca 8.6689848  
 46 Ti 8.6564623  
 47 Ti 8.6612325  
 48 Ti 8.7230122  
 49 Ti 8.7111625  
 50 Ti 8.7557227  
 51 V  8.7420852  
 52 Cr 8.7759946  
 53 Cr 8.7602103  
 54 Cr 8.7779672  
 54 Fe 8.7363846  
 55 Mn 8.7650247  
 56 Fe 8.7903563  
 57 Fe 8.7702829  
 58 Fe 8.7922534  
 58 Ni 8.7320621  
 59 Co 8.7680379  
 60 Ni 8.7807769  
 61 Ni 8.7650281  
 62 Ni 8.7945555  
 63 Cu 8.7521404  
 64 Ni 8.7774637  
 64 Zn 8.7359057  
 65 Cu 8.7570967  
 66 Zn 8.7596335  
 67 Zn 8.7341534  
 68 Zn 8.7556820  
 69 Ga 8.7245798  
 70 Ge 8.7217028  
 71 Ga 8.7176050  
 72 Ge 8.7317459  
 73 Ge 8.7050500  
 74 Ge 8.7252011  
 74 Se 8.6877155  
 75 As 8.7008748  
 76 Ge 8.7052364  
 76 Se 8.7114781  
 77 Se 8.6946908  
 78 Se 8.7178072  
 78 Kr 8.6612385  
 79 Br 8.6875956  
 80 Se 8.7108142  
 80 Kr 8.6929301  
 81 Br 8.6959465  
 82 Kr 8.7106754  
 83 Kr 8.6957295  
 84 Kr 8.7174473  
 84 Sr 8.6775132  
 85 Rb 8.6974416  
 85 Sr 8.6757193  
 86 Kr 8.7120295  
 86 Sr 8.7084566  
 87 Sr 8.7052363  
 88 Sr 8.7325958  
 89 Y  8.7140110  
 90 Zr 8.7099699  
 91 Zr 8.6933149  
 92 Zr 8.6926783  
 92 Mo 8.6577312  
 93 Nb 8.6641849  
 94 Zr 8.6668016  
 94 Mo 8.6623341  
 95 Mo 8.6487212  
 96 Mo 8.6539880  
 96 Ru 8.6094130  
 97 Mo 8.6350926  
 98 Mo 8.6351691  
 98 Ru 8.6203140  
 99 Ru 8.6087132  
100 Mo 8.6046626  
101 Ru 8.6013660  
102 Ru 8.6074275  
102 Pd 8.5802887  
103 Rh 8.5841927  
104 Ru 8.5873998  
104 Pd 8.5848485  
105 Pd 8.5706509  
106 Pd 8.5799934  
106 Cd 8.5390492  
107 Ag 8.5539012  
108 Pd 8.5670241  
108 Cd 8.5500196  
109 Ag 8.5479155  
110 Pd 8.5471630  
110 Cd 8.5512755  
111 Cd 8.5370801  
112 Cd 8.5447306  
112 Sn 8.5136189  
113 In 8.5229297  
114 Cd 8.5315135  
114 Sn 8.5225671  
115 Sn 8.5140702  
116 Sn 8.5231166  
117 Sn 8.5096120  
118 Sn 8.5165341  
119 Sn 8.4994494  
120 Sn 8.5044880  
120 Te 8.4769857  
121 Sb 8.4820574  
