#
# Lane-Emden Polytrope
# n=1.5
#
  xi            theta         r/R*           rho/rho*
  0.00000       1.00000       0.00000        5.99100    
  0.915727E-02  0.999986      0.250627E-02   5.99087    
  0.183145E-01  0.999944      0.501253E-02   5.99050    
  0.274718E-01  0.999874      0.751880E-02   5.98987    
  0.366291E-01  0.999776      0.100251E-01   5.98899    
  0.457863E-01  0.999651      0.125313E-01   5.98786    
  0.549436E-01  0.999497      0.150376E-01   5.98648    
  0.641009E-01  0.999315      0.175439E-01   5.98485    
  0.732581E-01  0.999106      0.200501E-01   5.98297    
  0.824154E-01  0.998869      0.225564E-01   5.98083    
  0.915727E-01  0.998603      0.250627E-01   5.97846    
  0.100730      0.998310      0.275689E-01   5.97582    
  0.109887      0.997989      0.300752E-01   5.97294    
  0.119044      0.997641      0.325815E-01   5.96981    
  0.128202      0.997264      0.350877E-01   5.96643    
  0.137359      0.996860      0.375940E-01   5.96280    
  0.146516      0.996428      0.401003E-01   5.95893    
  0.155674      0.995968      0.426065E-01   5.95481    
  0.164831      0.995481      0.451128E-01   5.95044    
  0.173988      0.994966      0.476190E-01   5.94582    
  0.183145      0.994424      0.501253E-01   5.94096    
  0.192303      0.993854      0.526316E-01   5.93585    
  0.201460      0.993256      0.551378E-01   5.93050    
  0.210617      0.992631      0.576441E-01   5.92490    
  0.219774      0.991979      0.601504E-01   5.91907    
  0.228932      0.991299      0.626566E-01   5.91298    
  0.238089      0.990592      0.651629E-01   5.90666    
  0.247246      0.989858      0.676692E-01   5.90009    
  0.256403      0.989097      0.701754E-01   5.89329    
  0.265561      0.988308      0.726817E-01   5.88624    
  0.274718      0.987493      0.751880E-01   5.87896    
  0.283875      0.986650      0.776942E-01   5.87143    
  0.293032      0.985780      0.802005E-01   5.86367    
  0.302190      0.984884      0.827068E-01   5.85568    
  0.311347      0.983961      0.852130E-01   5.84744    
  0.320504      0.983011      0.877193E-01   5.83898    
  0.329662      0.982034      0.902256E-01   5.83027    
  0.338819      0.981031      0.927318E-01   5.82134    
  0.347976      0.980001      0.952381E-01   5.81218    
  0.357133      0.978945      0.977444E-01   5.80279    
  0.366291      0.977862      0.100251       5.79316    
  0.375448      0.976753      0.102757       5.78331    
  0.384605      0.975618      0.105263       5.77323    
  0.393762      0.974456      0.107769       5.76292    
  0.402920      0.973269      0.110276       5.75240    
  0.412077      0.972056      0.112782       5.74164    
  0.421234      0.970817      0.115288       5.73067    
  0.430391      0.969552      0.117794       5.71947    
  0.439549      0.968261      0.120301       5.70806    
  0.448706      0.966945      0.122807       5.69642    
  0.457863      0.965603      0.125313       5.68457    
  0.467021      0.964236      0.127820       5.67250    
  0.476178      0.962844      0.130326       5.66022    
  0.485335      0.961426      0.132832       5.64772    
  0.494492      0.959984      0.135338       5.63502    
  0.503650      0.958516      0.137845       5.62210    
