#
# Lane-Emden Polytrope
# n=3
#
  xi            theta         r/R*           rho/rho*
  0.00000       1.00000       0.00000        54.1800    
  0.172856E-01  0.999950      0.250627E-02   54.1719    
  0.345711E-01  0.999801      0.501253E-02   54.1477    
  0.518567E-01  0.999552      0.751880E-02   54.1072    
  0.691423E-01  0.999204      0.100251E-01   54.0507    
  0.864278E-01  0.998756      0.125313E-01   53.9781    
  0.103713      0.998210      0.150376E-01   53.8896    
  0.120999      0.997565      0.175439E-01   53.7852    
  0.138285      0.996822      0.200501E-01   53.6651    
  0.155570      0.995981      0.225564E-01   53.5294    
  0.172856      0.995042      0.250627E-01   53.3782    
  0.190141      0.994007      0.275689E-01   53.2118    
  0.207427      0.992875      0.300752E-01   53.0301    
  0.224712      0.991647      0.325815E-01   52.8337    
  0.241998      0.990325      0.350877E-01   52.6225    
  0.259283      0.988907      0.375940E-01   52.3969    
  0.276569      0.987396      0.401003E-01   52.1571    
  0.293855      0.985792      0.426065E-01   51.9034    
  0.311140      0.984096      0.451128E-01   51.6359    
  0.328426      0.982309      0.476190E-01   51.3551    
  0.345711      0.980432      0.501253E-01   51.0612    
  0.362997      0.978465      0.526316E-01   50.7545    
  0.380282      0.976410      0.551378E-01   50.4354    
  0.397568      0.974267      0.576441E-01   50.1041    
  0.414854      0.972038      0.601504E-01   49.7610    
  0.432139      0.969724      0.626566E-01   49.4065    
  0.449425      0.967326      0.651629E-01   49.0409    
  0.466710      0.964846      0.676692E-01   48.6645    
  0.483996      0.962284      0.701754E-01   48.2779    
  0.501281      0.959641      0.726817E-01   47.8812    
  0.518567      0.956919      0.751880E-01   47.4750    
  0.535852      0.954120      0.776942E-01   47.0596    
  0.553138      0.951244      0.802005E-01   46.6353    
  0.570424      0.948293      0.827068E-01   46.2026    
  0.587709      0.945269      0.852130E-01   45.7619    
  0.604995      0.942172      0.877193E-01   45.3137    
  0.622280      0.939004      0.902256E-01   44.8581    
  0.639566      0.935767      0.927318E-01   44.3958    
  0.656851      0.932461      0.952381E-01   43.9270    
  0.674137      0.929090      0.977444E-01   43.4522    
  0.691423      0.925653      0.100251       42.9718    
  0.708708      0.922152      0.102757       42.4861    
  0.725994      0.918590      0.105263       41.9956    
  0.743279      0.914967      0.107769       41.5007    
  0.760565      0.911285      0.110276       41.0017    
  0.777850      0.907546      0.112782       40.4991    
  0.795136      0.903751      0.115288       39.9931    
  0.812422      0.899901      0.117794       39.4842    
  0.829707      0.895999      0.120301       38.9728    
  0.846993      0.892045      0.122807       38.4592    
  0.864278      0.888042      0.125313       37.9437    
  0.881564      0.883991      0.127820       37.4267    
  0.898849      0.879893      0.130326       36.9087    
  0.916135      0.875750      0.132832       36.3897    
  0.933421      0.871563      0.135338       35.8703    
  0.950706      0.867334      0.137845       35.3508    
  0.967992      0.863065      0.140351       34.8313    
  0.985277      0.858757      0.142857       34.3124    
   1.00256      0.854412      0.145363       33.7941    
   1.01985      0.850031      0.147870       33.2769    
   1.03713      0.845615      0.150376       32.7610    
   1.05442      0.841167      0.152882       32.2467    
   1.07170      0.836687      0.155388       31.7342    
   1.08899      0.832177      0.157895       31.2238    
   1.10628      0.827638      0.160401       30.7157    
   1.12356      0.823072      0.162907       30.2102    
   1.14085      0.818481      0.165414       29.7074    
   1.15813      0.813865      0.167920       29.2076    
