#
# BP2004 Solar Evolution Model
#
# t = time in Gyr
# L = luminosity in Lsun
# Rsquared = solar radius squared in Rsun^2
# Teff = effective temperature in K
# 
 t          L           Rsquared     Teff
 0.00000    0.677000    0.755161     5616.47    
 0.20000    0.721000    0.777924     5663.38    
 0.40000    0.733000    0.788544     5667.56    
 0.60000    0.744000    0.795664     5675.93    
 0.80000    0.754000    0.804609     5679.01    
 1.00000    0.764000    0.811801     5685.09    
 1.20000    0.775000    0.820836     5689.68    
 1.40000    0.786000    0.828100     5697.20    
 1.60000    0.797000    0.837225     5701.38    
 1.80000    0.808000    0.846400     5705.39    
 2.00000    0.820000    0.853776     5714.05    
 2.20000    0.831000    0.863041     5717.67    
 2.40000    0.844000    0.872356     5724.51    
 2.60000    0.856000    0.883600     5726.39    
 2.80000    0.869000    0.893025     5732.78    
 3.00000    0.882000    0.904401     5735.92    
 3.20000    0.896000    0.913936     5743.47    
 3.40000    0.910000    0.925444     5747.77    
 3.60000    0.924000    0.937024     5751.84    
 3.80000    0.939000    0.948676     5757.23    
 4.00000    0.954000    0.962361     5759.42    
 4.20000    0.970000    0.974169     5765.81    
 4.40000    0.986000    0.988036     5769.02    
 4.60000     1.00300     1.00200     5773.44    
 4.80000     1.02000     1.01606     5777.58    
 5.00000     1.03700     1.03226     5778.62    
 5.20000     1.05500     1.04653     5783.64    
 5.40000     1.07300     1.06296     5785.58    
 5.60000     1.09200     1.08160     5785.83    
 5.80000     1.11200     1.09830     5789.91    
 6.00000     1.13200     1.11725     5790.96    
 6.20000     1.15200     1.13636     5791.76    
 6.40000     1.17200     1.15563     5792.34    
 6.60000     1.19300     1.17723     5791.24    
 6.80000     1.21400     1.19903     5789.94    
 7.00000     1.23500     1.22102     5788.45    
 7.20000     1.25600     1.24546     5784.18    
 7.40000     1.27800     1.27013     5780.92    
 7.60000     1.30400     1.29732     5779.42    
 7.80000     1.33200     1.32710     5777.32    
 8.00000     1.36300     1.35956     5775.65    
