#
# Uniform-density and polytropic Sun models
# source: Ryden calculation
#
# units:
#  R/Rsun - dimensionless
#  uniRho - density in g/cm^3, uniform-density model
#  uniP - pressure in atm, uniform-density model
#  uniT - temperature in K, uniform-density model
#  polyRho - density in g/cm^3, polytropic model
#  polyP - pressure in atm, polytropic model
#  polyT - temperature in K, polytropic model
# 
R/Rsun        uniRho      uniP         uniT          polyRho     polyP        polyT
0.0000        1.4098      0.13200E+10  0.70000E+07   76.410      0.14600E+12  0.14400E+08
0.57896E-03   1.4098      0.13200E+10  0.70000E+07   76.409      0.14600E+12  0.14400E+08
0.95217E-03   1.4098      0.13200E+10  0.70000E+07   76.408      0.14600E+12  0.14400E+08
0.12834E-02   1.4098      0.13200E+10  0.70000E+07   76.407      0.14599E+12  0.14400E+08
0.14177E-02   1.4098      0.13200E+10  0.70000E+07   76.406      0.14599E+12  0.14400E+08
0.17298E-02   1.4098      0.13200E+10  0.70000E+07   76.405      0.14599E+12  0.14400E+08
0.19108E-02   1.4098      0.13200E+10  0.70000E+07   76.403      0.14598E+12  0.14400E+08
0.21107E-02   1.4098      0.13200E+10  0.70000E+07   76.402      0.14598E+12  0.14399E+08
0.23315E-02   1.4098      0.13200E+10  0.70000E+07   76.400      0.14597E+12  0.14399E+08
0.25754E-02   1.4098      0.13200E+10  0.70000E+07   76.398      0.14597E+12  0.14399E+08
0.28449E-02   1.4098      0.13200E+10  0.69999E+07   76.395      0.14596E+12  0.14399E+08
0.31425E-02   1.4098      0.13200E+10  0.69999E+07   76.392      0.14595E+12  0.14399E+08
0.34713E-02   1.4098      0.13200E+10  0.69999E+07   76.388      0.14594E+12  0.14399E+08
0.38345E-02   1.4098      0.13200E+10  0.69999E+07   76.383      0.14593E+12  0.14398E+08
0.42357E-02   1.4098      0.13200E+10  0.69999E+07   76.377      0.14592E+12  0.14398E+08
0.46788E-02   1.4098      0.13200E+10  0.69998E+07   76.370      0.14590E+12  0.14398E+08
0.51683E-02   1.4098      0.13200E+10  0.69998E+07   76.361      0.14588E+12  0.14397E+08
0.57090E-02   1.4098      0.13200E+10  0.69998E+07   76.351      0.14585E+12  0.14396E+08
0.63063E-02   1.4098      0.13199E+10  0.69997E+07   76.338      0.14582E+12  0.14395E+08
0.69661E-02   1.4098      0.13199E+10  0.69997E+07   76.322      0.14578E+12  0.14394E+08
0.76949E-02   1.4098      0.13199E+10  0.69996E+07   76.302      0.14573E+12  0.14393E+08
0.85000E-02   1.4098      0.13199E+10  0.69995E+07   76.279      0.14567E+12  0.14392E+08
0.93892E-02   1.4098      0.13199E+10  0.69994E+07   76.250      0.14559E+12  0.14390E+08
0.10372E-01   1.4098      0.13199E+10  0.69992E+07   76.215      0.14550E+12  0.14388E+08
0.11457E-01   1.4098      0.13198E+10  0.69991E+07   76.172      0.14539E+12  0.14385E+08
0.12655E-01   1.4098      0.13198E+10  0.69989E+07   76.120      0.14526E+12  0.14382E+08
0.13979E-01   1.4098      0.13197E+10  0.69986E+07   76.056      0.14510E+12  0.14378E+08
0.15442E-01   1.4098      0.13197E+10  0.69983E+07   75.978      0.14490E+12  0.14373E+08
0.17057E-01   1.4098      0.13196E+10  0.69980E+07   75.884      0.14466E+12  0.14367E+08
0.18842E-01   1.4098      0.13195E+10  0.69975E+07   75.768      0.14437E+12  0.14360E+08
0.20813E-01   1.4098      0.13194E+10  0.69970E+07   75.628      0.14401E+12  0.14351E+08
0.22991E-01   1.4098      0.13193E+10  0.69963E+07   75.457      0.14358E+12  0.14340E+08
0.25396E-01   1.4098      0.13191E+10  0.69955E+07   75.249      0.14305E+12  0.14327E+08
0.28053E-01   1.4098      0.13190E+10  0.69945E+07   74.997      0.14241E+12  0.14311E+08
0.30988E-01   1.4098      0.13187E+10  0.69933E+07   74.690      0.14163E+12  0.14291E+08
0.34230E-01   1.4098      0.13185E+10  0.69918E+07   74.318      0.14069E+12  0.14267E+08
0.37811E-01   1.4098      0.13181E+10  0.69900E+07   73.867      0.13956E+12  0.14238E+08
0.41767E-01   1.4098      0.13177E+10  0.69878E+07   73.321      0.13818E+12  0.14203E+08
0.46137E-01   1.4098      0.13172E+10  0.69851E+07   72.663      0.13653E+12  0.14161E+08
0.50964E-01   1.4098      0.13166E+10  0.69818E+07   71.869      0.13455E+12  0.14109E+08
0.56296E-01   1.4098      0.13158E+10  0.69778E+07   70.915      0.13217E+12  0.14046E+08
0.62186E-01   1.4098      0.13149E+10  0.69729E+07   69.773      0.12934E+12  0.13970E+08
0.68692E-01   1.4098      0.13138E+10  0.69670E+07   68.411      0.12599E+12  0.13879E+08
0.75879E-01   1.4098      0.13124E+10  0.69597E+07   66.794      0.12203E+12  0.13769E+08
0.83817E-01   1.4098      0.13107E+10  0.69508E+07   64.886      0.11740E+12  0.13636E+08
0.92586E-01   1.4098      0.13087E+10  0.69400E+07   62.650      0.11204E+12  0.13478E+08
0.10227       1.4098      0.13062E+10  0.69268E+07   60.051      0.10589E+12  0.13289E+08
0.11297       1.4098      0.13032E+10  0.69107E+07   57.062      0.98919E+11  0.13065E+08
0.12479       1.4098      0.12994E+10  0.68910E+07   53.664      0.91143E+11  0.12800E+08
0.13785       1.4098      0.12949E+10  0.68670E+07   49.854      0.82621E+11  0.12490E+08
0.15227       1.4098      0.12894E+10  0.68377E+07   45.655      0.73474E+11  0.12129E+08
0.16820       1.4098      0.12827E+10  0.68020E+07   41.113      0.63894E+11  0.11712E+08
0.18580       1.4098      0.12744E+10  0.67584E+07   36.310      0.54141E+11  0.11237E+08
0.20524       1.4098      0.12644E+10  0.67051E+07   31.359      0.44528E+11  0.10701E+08
0.22671       1.4098      0.12522E+10  0.66402E+07   26.402      0.35399E+11  0.10105E+08
0.25043       1.4098      0.12372E+10  0.65610E+07   21.597      0.27082E+11  0.94503E+07
0.27663       1.4098      0.12190E+10  0.64643E+07   17.106      0.19847E+11  0.87437E+07
0.30557       1.4098      0.11967E+10  0.63464E+07   13.072      0.13865E+11  0.79938E+07
0.33651       1.4098      0.11705E+10  0.62073E+07   9.6972      0.93114E+10  0.72365E+07
0.36670       1.4098      0.11425E+10  0.60587E+07   7.1809      0.62382E+10  0.65469E+07
0.39613       1.4098      0.11129E+10  0.59015E+07   5.3179      0.41796E+10  0.59232E+07
0.42494       1.4098      0.10816E+10  0.57360E+07   3.9384      0.28006E+10  0.53590E+07
0.45319       1.4098      0.10489E+10  0.55623E+07   2.9168      0.18766E+10  0.48486E+07
0.48091       1.4098      0.10147E+10  0.53811E+07   2.1602      0.12574E+10  0.43868E+07
0.50811       1.4098      0.97921E+09  0.51928E+07   1.5999      0.84254E+09  0.39689E+07
0.53475       1.4098      0.94253E+09  0.49983E+07   1.1848      0.56454E+09  0.35908E+07
0.56082       1.4098      0.90483E+09  0.47983E+07  0.87744      0.37824E+09  0.32488E+07
