#
# MIST PMS Evolutionary Track
# M=6.00 Msun
# Source File: 00600M.track.eep
# Starting Age: 100 kyr
# units:
#   age - kyr
#  Teff - K
#     L - Lsun
#
   age   logTe logL
   0.103 3.717 2.448
   0.108 3.720 2.464
   0.113 3.724 2.476
   0.118 3.727 2.484
   0.124 3.731 2.491
   0.130 3.735 2.495
   0.136 3.739 2.498
   0.141 3.744 2.500
   0.148 3.749 2.503
   0.153 3.754 2.506
   0.160 3.760 2.510
   0.165 3.766 2.514
   0.170 3.772 2.519
   0.176 3.779 2.525
   0.181 3.787 2.533
   0.186 3.794 2.541
   0.190 3.801 2.550
   0.195 3.809 2.560
   0.201 3.817 2.571
   0.205 3.824 2.582
   0.210 3.832 2.595
   0.214 3.839 2.608
   0.219 3.847 2.620
   0.223 3.854 2.634
   0.228 3.862 2.648
   0.232 3.869 2.660
   0.236 3.877 2.675
   0.240 3.884 2.688
   0.245 3.893 2.706
   0.249 3.901 2.720
   0.253 3.908 2.735
   0.257 3.916 2.751
   0.261 3.924 2.767
   0.264 3.930 2.779
   0.268 3.939 2.796
   0.272 3.947 2.812
   0.277 3.956 2.829
   0.280 3.962 2.842
   0.284 3.971 2.859
   0.287 3.977 2.872
   0.291 3.986 2.889
   0.295 3.995 2.906
   0.298 4.002 2.918
   0.302 4.010 2.934
   0.305 4.019 2.950
   0.308 4.026 2.962
   0.312 4.034 2.976
   0.316 4.043 2.991
   0.319 4.051 3.005
   0.323 4.059 3.018
   0.326 4.067 3.031
   0.330 4.075 3.043
   0.333 4.083 3.055
   0.336 4.091 3.066
   0.340 4.101 3.080
   0.344 4.108 3.090
   0.348 4.118 3.103
   0.351 4.125 3.112
   0.355 4.135 3.124
   0.358 4.142 3.132
   0.362 4.151 3.143
   0.366 4.160 3.152
   0.370 4.169 3.161
   0.374 4.177 3.169
   0.377 4.186 3.177
   0.381 4.194 3.184
   0.385 4.202 3.190
   0.390 4.212 3.197
   0.394 4.220 3.201
   0.399 4.229 3.204
   0.404 4.237 3.206
   0.410 4.247 3.204
   0.417 4.254 3.193
   0.426 4.259 3.160
   0.434 4.258 3.123
   0.440 4.256 3.094
   0.443 4.237 3.040
   0.443 4.237 3.040
   0.444 4.238 3.043
   0.457 4.237 3.016
   0.479 4.242 3.014
   0.488 4.248 3.027
   0.499 4.258 3.051
   0.505 4.264 3.065
   0.512 4.271 3.082
   0.519 4.278 3.094
   0.531 4.286 3.104
   0.551 4.291 3.086
   0.568 4.289 3.054
   0.589 4.285 3.023
   0.610 4.283 3.009
