#
# MIST PMS Isochrone
# t = 100 kyr
# Source File: MIST_v1.0_feh_p0.00_afe_p0.0_vvcrit0.4_full.iso
# Initial Mass Range: 0.1 to 6.0 Msun
# units:
#  Teff - K
#     L - Lsun
#
logTe logL
3.469 -0.850
3.470 -0.833
3.471 -0.812
3.473 -0.775
3.475 -0.752
3.477 -0.721
3.479 -0.686
3.481 -0.660
3.482 -0.636
3.484 -0.603
3.486 -0.572
3.488 -0.542
3.490 -0.513
3.492 -0.484
3.494 -0.455
3.497 -0.428
3.499 -0.400
3.501 -0.374
3.504 -0.339
3.506 -0.313
3.508 -0.286
3.510 -0.262
3.513 -0.233
3.515 -0.214
3.517 -0.191
3.519 -0.167
3.522 -0.142
3.524 -0.121
3.525 -0.103
3.528 -0.072
3.531 -0.050
3.534 -0.017
3.537  0.012
3.539  0.036
3.542  0.069
3.544  0.084
3.545  0.090
3.545  0.096
3.546  0.105
3.549  0.129
3.552  0.155
3.556  0.184
3.560  0.221
3.563  0.238
3.567  0.269
3.571  0.298
3.576  0.335
3.580  0.364
3.584  0.399
3.589  0.438
3.594  0.476
3.599  0.514
3.605  0.565
3.608  0.596
3.613  0.642
3.616  0.672
3.618  0.703
3.621  0.736
3.624  0.770
3.627  0.807
3.630  0.843
3.632  0.870
3.635  0.909
3.638  0.945
3.639  0.968
3.642  1.008
3.644  1.044
3.647  1.078
3.648  1.094
3.650  1.130
3.652  1.161
3.654  1.199
3.655  1.213
3.657  1.251
3.659  1.278
3.671  1.482
3.674  1.521
3.677  1.574
3.680  1.620
3.682  1.643
3.684  1.684
3.686  1.712
3.687  1.741
3.689  1.772
3.690  1.793
3.692  1.827
3.693  1.852
3.694  1.876
3.695  1.901
3.696  1.930
3.697  1.960
3.698  1.987
3.699  2.014
3.701  2.048
3.703  2.087
3.704  2.121
3.706  2.170
3.707  2.212
3.709  2.257
3.710  2.301
3.711  2.336
3.713  2.379
3.715  2.428
