#
# MIST PMS Isochrone
# t = 10 Myr
# Source File: MIST_v1.0_feh_p0.00_afe_p0.0_vvcrit0.4_full.iso
# Initial Mass Range: 0.1 to 6.0 Msun
# units:
#  Teff - K
#     L - Lsun
#
logTe logL
3.476 -1.887
3.477 -1.876
3.479 -1.856
3.480 -1.841
3.482 -1.820
3.483 -1.802
3.485 -1.782
3.486 -1.766
3.487 -1.746
3.489 -1.726
3.490 -1.711
3.491 -1.690
3.492 -1.675
3.494 -1.654
3.496 -1.629
3.498 -1.596
3.501 -1.568
3.503 -1.539
3.506 -1.507
3.508 -1.478
3.509 -1.463
3.511 -1.442
3.512 -1.424
3.513 -1.407
3.515 -1.386
3.516 -1.370
3.518 -1.350
3.520 -1.324
3.522 -1.300
3.525 -1.270
3.527 -1.246
3.529 -1.223
3.530 -1.208
3.531 -1.206
3.531 -1.203
3.531 -1.200
3.531 -1.198
3.532 -1.196
3.532 -1.193
3.532 -1.191
3.532 -1.189
3.534 -1.176
3.536 -1.152
3.539 -1.120
3.544 -1.079
3.546 -1.061
3.551 -1.017
3.555 -0.981
3.559 -0.942
3.563 -0.909
3.567 -0.876
3.571 -0.836
3.574 -0.806
3.577 -0.773
3.579 -0.754
3.582 -0.729
3.584 -0.709
3.587 -0.689
3.591 -0.660
3.596 -0.620
3.601 -0.588
3.606 -0.555
3.611 -0.520
3.616 -0.483
3.622 -0.444
3.628 -0.404
3.636 -0.361
3.647 -0.293
3.654 -0.255
3.661 -0.213
3.671 -0.160
3.679 -0.109
3.687 -0.062
3.700  0.021
3.706  0.057
3.714  0.108
3.723  0.172
3.731  0.232
3.739  0.298
3.745  0.346
3.752  0.406
3.758  0.463
3.765  0.524
3.770  0.566
3.775  0.616
3.783  0.682
3.790  0.734
3.871  0.988
3.872  0.962
3.863  0.940
3.864  0.934
3.863  0.909
3.861  0.887
3.861  0.876
3.872  0.936
3.885  0.992
3.895  1.030
3.907  1.076
3.918  1.113
3.930  1.147
3.943  1.176
