Mr  xH
7.813022e-08 2.007509e-02
1.562604e-07 2.008902e-02
3.125209e-07 2.010561e-02
6.250417e-07 2.013197e-02
1.250083e-06 2.017385e-02
2.500167e-06 2.024047e-02
5.000334e-06 2.034655e-02
1.000067e-05 2.051574e-02
1.719914e-05 2.073564e-02
2.439761e-05 2.095389e-02
3.879455e-05 2.124776e-02
6.758843e-05 2.175802e-02
1.251762e-04 2.262496e-02
2.403517e-04 2.408743e-02
4.707027e-04 2.657266e-02
8.530151e-04 3.037645e-02
1.715487e-03 3.742923e-02
2.914939e-03 4.793401e-02
4.629536e-03 6.200560e-02
5.944316e-03 7.595074e-02
7.565491e-03 8.872067e-02
8.376078e-03 9.888985e-02
9.186666e-03 1.054250e-01
9.954718e-03 1.118396e-01
1.072277e-02 1.178021e-01
1.149082e-02 1.235350e-01
1.225888e-02 1.291445e-01
1.302693e-02 1.346029e-01
1.379498e-02 1.398908e-01
1.533109e-02 1.474993e-01
1.605660e-02 1.544802e-01
1.678212e-02 1.588805e-01
1.750764e-02 1.631791e-01
1.823316e-02 1.675386e-01
1.977884e-02 1.746253e-01
2.132452e-02 1.834999e-01
2.441587e-02 1.959055e-01
2.781414e-02 2.122164e-01
3.121241e-02 2.282956e-01
3.358807e-02 2.408255e-01
3.596374e-02 2.509185e-01
3.967559e-02 2.634624e-01
4.338744e-02 2.778063e-01
4.853971e-02 2.937008e-01
5.653544e-02 3.160635e-01
6.477154e-02 3.411051e-01
7.327260e-02 3.646157e-01
7.904963e-02 3.829963e-01
8.491254e-02 3.971194e-01
9.085434e-02 4.106662e-01
9.686856e-02 4.236859e-01
1.029491e-01 4.361715e-01
1.090904e-01 4.481249e-01
1.152870e-01 4.595908e-01
1.215341e-01 4.705877e-01
1.278269e-01 4.811330e-01
1.341610e-01 4.912427e-01
1.405323e-01 5.009322e-01
1.469368e-01 5.102158e-01
1.501469e-01 5.168906e-01
1.565948e-01 5.234060e-01
1.630670e-01 5.317358e-01
1.695603e-01 5.397064e-01
1.760715e-01 5.473303e-01
1.825978e-01 5.546194e-01
1.891364e-01 5.615858e-01
1.956845e-01 5.682410e-01
1.989621e-01 5.730205e-01
2.055197e-01 5.776655e-01
2.087997e-01 5.821229e-01
2.153620e-01 5.864519e-01
2.219246e-01 5.919743e-01
2.284853e-01 5.972407e-01
2.350423e-01 6.022624e-01
2.383179e-01 6.058651e-01
2.448653e-01 6.093592e-01
