Mr  xH
7.813022e-08 6.994941e-01
1.562604e-07 6.994941e-01
3.125209e-07 6.994941e-01
6.250417e-07 6.994941e-01
1.250083e-06 6.994941e-01
2.500167e-06 6.994941e-01
5.000334e-06 6.994941e-01
1.000067e-05 6.994941e-01
1.719914e-05 6.994941e-01
2.439761e-05 6.994941e-01
3.879455e-05 6.994941e-01
6.758843e-05 6.994941e-01
1.251762e-04 6.994941e-01
2.403517e-04 6.994941e-01
4.707027e-04 6.994941e-01
8.530151e-04 6.994941e-01
1.715487e-03 6.994941e-01
3.314756e-03 6.994941e-01
4.629536e-03 6.994941e-01
5.944316e-03 6.994941e-01
7.565491e-03 6.994941e-01
8.376078e-03 6.994941e-01
9.186666e-03 6.994941e-01
1.080784e-02 6.994941e-01
1.242901e-02 6.994941e-01
1.339637e-02 6.994941e-01
1.533109e-02 6.994941e-01
1.629844e-02 6.994941e-01
1.823316e-02 6.994941e-01
2.016787e-02 6.994941e-01
2.229187e-02 6.994941e-01
2.441587e-02 6.994941e-01
2.664863e-02 6.994941e-01
2.888138e-02 6.994941e-01
3.121241e-02 6.994941e-01
3.354344e-02 6.994941e-01
3.596374e-02 6.994941e-01
3.838404e-02 6.994941e-01
4.088574e-02 6.994941e-01
4.338744e-02 6.994941e-01
4.596357e-02 6.994941e-01
4.853971e-02 6.994941e-01
5.118408e-02 6.994941e-01
5.382845e-02 6.994941e-01
5.653544e-02 6.994941e-01
5.924244e-02 6.994941e-01
6.200699e-02 6.994941e-01
6.477154e-02 6.994941e-01
6.758900e-02 6.994941e-01
7.040647e-02 6.994941e-01
7.327260e-02 6.994941e-01
7.613874e-02 6.994941e-01
7.904963e-02 6.995041e-01
8.196052e-02 6.995142e-01
8.491254e-02 6.995241e-01
8.786456e-02 6.995420e-01
9.085434e-02 6.995587e-01
9.384413e-02 6.995813e-01
9.686856e-02 6.997078e-01
9.989298e-02 6.997135e-01
1.029491e-01 6.997190e-01
1.090904e-01 6.997268e-01
1.121755e-01 6.997342e-01
1.152870e-01 6.997390e-01
1.183985e-01 6.997437e-01
1.215341e-01 6.997482e-01
1.246696e-01 6.997526e-01
1.278269e-01 6.997570e-01
1.309841e-01 6.997612e-01
1.341610e-01 6.997654e-01
1.373378e-01 6.997696e-01
1.405323e-01 6.997737e-01
1.437267e-01 6.997778e-01
1.469368e-01 6.997818e-01
1.501469e-01 6.997858e-01
1.533709e-01 6.997898e-01
1.565948e-01 6.997938e-01
1.598309e-01 6.997977e-01
1.630670e-01 6.998017e-01
1.663137e-01 6.998055e-01
1.695603e-01 6.998094e-01
1.760715e-01 6.998152e-01
1.793347e-01 6.998209e-01
1.825978e-01 6.998246e-01
1.858671e-01 6.998283e-01
1.891364e-01 6.998320e-01
1.956845e-01 6.998374e-01
1.989621e-01 6.998427e-01
2.022397e-01 6.998462e-01
2.055197e-01 6.998496e-01
2.087997e-01 6.998529e-01
2.153620e-01 6.998579e-01
2.219246e-01 6.998643e-01
2.284853e-01 6.998704e-01
2.350423e-01 6.998764e-01
2.415935e-01 6.998821e-01
2.481371e-01 6.998875e-01
2.546716e-01 6.998927e-01
2.611951e-01 6.998977e-01
2.677063e-01 6.999025e-01
2.742034e-01 6.999071e-01
2.806853e-01 6.999115e-01
2.871503e-01 6.999156e-01
2.935974e-01 6.999196e-01
3.000252e-01 6.999234e-01
3.064325e-01 6.999270e-01
3.128182e-01 6.999304e-01
3.191812e-01 6.999337e-01
3.255205e-01 6.999369e-01
3.318352e-01 6.999398e-01
3.381242e-01 6.999427e-01
3.443867e-01 6.999454e-01
3.506218e-01 6.999480e-01
3.568288e-01 6.999504e-01
3.630068e-01 6.999528e-01
3.691551e-01 6.999550e-01
3.752730e-01 6.999571e-01
3.813599e-01 6.999592e-01
3.874151e-01 6.999611e-01
3.934380e-01 6.999629e-01
3.994281e-01 6.999647e-01
4.053849e-01 6.999664e-01
4.113077e-01 6.999680e-01
4.171962e-01 6.999695e-01
4.230499e-01 6.999709e-01
4.288683e-01 6.999723e-01
4.346511e-01 6.999736e-01
4.403979e-01 6.999749e-01
4.461083e-01 6.999761e-01
4.517819e-01 6.999772e-01
4.574186e-01 6.999783e-01
4.630180e-01 6.999793e-01
4.685797e-01 6.999803e-01
4.741037e-01 6.999812e-01
4.795895e-01 6.999821e-01
4.850371e-01 6.999830e-01
4.904462e-01 6.999838e-01
4.958167e-01 6.999845e-01
5.011483e-01 6.999853e-01
5.064410e-01 6.999860e-01
5.116946e-01 6.999867e-01
5.169089e-01 6.999873e-01
5.220839e-01 6.999879e-01
5.272195e-01 6.999885e-01
5.323157e-01 6.999890e-01
5.373722e-01 6.999895e-01
5.423892e-01 6.999900e-01
5.473666e-01 6.999905e-01
5.523042e-01 6.999910e-01
5.572022e-01 6.999914e-01
5.620605e-01 6.999918e-01
5.668791e-01 6.999922e-01
5.716580e-01 6.999926e-01
5.763973e-01 6.999929e-01
5.810970e-01 6.999933e-01
5.857571e-01 6.999936e-01
5.903776e-01 6.999939e-01
5.949587e-01 6.999942e-01
5.995005e-01 6.999945e-01
6.040029e-01 6.999947e-01
6.084661e-01 6.999950e-01
6.128901e-01 6.999952e-01
6.172751e-01 6.999955e-01
6.216211e-01 6.999957e-01
6.259284e-01 6.999959e-01
6.301969e-01 6.999961e-01
6.344268e-01 6.999963e-01
6.386183e-01 6.999965e-01
6.427715e-01 6.999966e-01
6.468864e-01 6.999968e-01
6.509634e-01 6.999969e-01
6.550025e-01 6.999971e-01
6.629676e-01 6.999973e-01
6.707831e-01 6.999976e-01
6.746168e-01 6.999977e-01
6.784504e-01 6.999978e-01
6.822107e-01 6.999979e-01
6.859710e-01 6.999980e-01
6.933462e-01 6.999982e-01
7.005778e-01 6.999984e-01
7.041224e-01 6.999985e-01
7.076671e-01 6.999986e-01
7.146160e-01 6.999987e-01
7.214261e-01 6.999988e-01
7.280990e-01 6.999989e-01
7.346367e-01 6.999990e-01
7.410407e-01 6.999991e-01
7.473130e-01 6.999992e-01
7.534554e-01 6.999993e-01
7.594697e-01 6.999993e-01
7.653577e-01 6.999994e-01
