G,BP-RP,MG
19.8866,4.7953,6.6206
11.5885,4.4967,-1.6775
20.263,4.4662,6.997
11.4519,4.3394,-1.8141
18.8576,4.3185,5.5916
11.5109,4.0481,-1.7551
20.292,4.0432,7.026
20.6381,4.0215,7.3721
19.8493,4.0077,6.5833
20.635,3.9771,7.369
20.2603,3.9703,6.9943
20.009,3.8626,6.743
19.7771,3.8239,6.5111
19.9667,3.754,6.7007
19.6666,3.7307,6.4006
20.5685,3.6745,7.3025
20.6149,3.6311,7.3489
19.6536,3.5782,6.3876
20.6013,3.5758,7.3353
20.0154,3.5471,6.7494
20.8868,3.4816,7.6208
20.6564,3.4553,7.3904
20.5413,3.42,7.2753
20.4832,3.3599,7.2172
20.1389,3.3248,6.8729
20.7576,3.3174,7.4916
20.09,3.2635,6.824
20.2998,3.2365,7.0338
20.3511,3.2323,7.0851
19.9502,3.1957,6.6842
19.075,3.1818,5.809
19.8368,3.1389,6.5708
20.7802,3.1222,7.5142
20.5957,3.0674,7.3297
20.1568,3.0339,6.8908
20.1269,3.0124,6.8609
19.7923,3.0119,6.5263
18.768,3.0035,5.502
20.3915,2.9759,7.1255
20.553,2.9537,7.287
20.3811,2.9471,7.1151
20.5302,2.9404,7.2642
20.2682,2.9213,7.0022
10.9947,2.9106,-2.2713
16.971,2.9038,3.705
20.4515,2.8877,7.1855
19.6626,2.8863,6.3966
19.2444,2.8841,5.9784
20.8249,2.8781,7.5589
20.1698,2.87,6.9038
10.8664,2.8537,-2.3996
11.0013,2.8506,-2.2647
19.6259,2.8379,6.3599
20.7361,2.8346,7.4701
19.5734,2.8098,6.3074
20.367,2.7963,7.101
20.441,2.7858,7.175
20.3908,2.7764,7.1248
11.0478,2.7729,-2.2182
19.6919,2.7702,6.4259
20.8874,2.7698,7.6214
19.6788,2.7605,6.4128
20.765,2.7475,7.499
20.1439,2.7431,6.8779
19.2268,2.734,5.9608
20.779,2.7274,7.513
20.2589,2.721,6.9929
10.9862,2.7059,-2.2798
20.3213,2.7049,7.0553
19.9269,2.693,6.6609
20.4482,2.6799,7.1822
10.8963,2.6753,-2.3697
19.7109,2.661,6.4449
19.4626,2.6577,6.1966
20.7759,2.6543,7.5099
20.3313,2.6474,7.0653
20.6312,2.6447,7.3652
10.7138,2.6422,-2.5522
10.934,2.6385,-2.332
19.1289,2.6383,5.8629
20.4856,2.6359,7.2196
20.8406,2.6338,7.5746
20.6611,2.6293,7.3951
10.9093,2.6273,-2.3567
19.9929,2.622,6.7269
19.7268,2.6064,6.4608
19.9451,2.6023,6.6791
20.7002,2.5934,7.4342
19.2962,2.5845,6.0302
20.3876,2.5782,7.1216
20.8222,2.5727,7.5562
20.5919,2.5724,7.3259
19.7008,2.5709,6.4348
19.5195,2.57,6.2535
20.1937,2.5367,6.9277
20.1259,2.5363,6.8599
10.8631,2.5362,-2.4029
20.4119,2.5341,7.1459
19.8392,2.5301,6.5732
18.99,2.5262,5.724
19.903,2.5232,6.637
20.1909,2.522,6.9249
20.3372,2.5213,7.0712
19.3922,2.5188,6.1262
20.5164,2.5102,7.2504
20.4599,2.5074,7.1939
19.2534,2.5004,5.9874
20.8038,2.4988,7.5378
20.5469,2.4979,7.2809
18.7415,2.4952,5.4755
10.8477,2.4832,-2.4183
19.5191,2.4829,6.2531
20.0918,2.4822,6.8258
19.2739,2.4729,6.0079
19.4749,2.4677,6.2089
10.8759,2.466,-2.3901
20.6538,2.4634,7.3878
11.0082,2.4422,-2.2578
20.8731,2.4387,7.6071
20.5491,2.4272,7.2831
20.1974,2.4261,6.9314
20.5147,2.4206,7.2487
20.8419,2.4197,7.5759
10.8334,2.4187,-2.4326
20.4786,2.4187,7.2126
20.5347,2.4163,7.2687
20.8729,2.4088,7.6069
20.4582,2.4049,7.1922
20.0814,2.3999,6.8154
10.9001,2.3976,-2.3659
20.7369,2.3915,7.4709
20.4638,2.388,7.1978
10.9384,2.3821,-2.3276
20.5404,2.3811,7.2744
10.8508,2.3773,-2.4152
10.9626,2.3675,-2.3034
19.9045,2.3547,6.6385
10.8627,2.3521,-2.4033
20.8255,2.3473,7.5595
20.1038,2.3447,6.8378
20.6819,2.3435,7.4159
20.2172,2.3422,6.9512
19.7603,2.3417,6.4943
20.4156,2.3334,7.1496
19.2231,2.3249,5.9571
20.2854,2.3237,7.0194
11.2377,2.3235,-2.0283
20.0537,2.3183,6.7877
20.7138,2.3178,7.4478
18.857,2.3042,5.591
18.8348,2.2981,5.5688
20.7834,2.298,7.5174
10.9292,2.2887,-2.3368
18.4681,2.2881,5.2021
