G,BP-RP,MG
19.9666,-1.5808,5.3716
20.8757,-1.1638,6.2807
19.8373,-1.1298,5.2423
19.8286,-1.0405,5.2336
20.7746,-0.9574,6.1796
20.839,-0.9462,6.244
20.2346,-0.8576,5.6396
20.6332,-0.6785,6.0382
19.8603,-0.6233,5.2653
20.2254,-0.5991,5.6304
20.0364,-0.5989,5.4414
20.6854,-0.585,6.0904
20.6944,-0.562,6.0994
19.5735,-0.5603,4.9785
20.4458,-0.553,5.8508
19.5928,-0.4939,4.9978
19.5956,-0.4665,5.0006
19.391,-0.4533,4.796
20.3196,-0.4324,5.7246
18.9368,-0.4268,4.3418
19.6845,-0.408,5.0895
18.4942,-0.3711,3.8992
20.2731,-0.3573,5.6781
19.7891,-0.3504,5.1941
20.5232,-0.3116,5.9282
20.7473,-0.3067,6.1523
20.5248,-0.3051,5.9298
20.551,-0.3007,5.956
20.7481,-0.2956,6.1531
20.0517,-0.2873,5.4567
19.3293,-0.2837,4.7343
20.142,-0.2718,5.547
20.3438,-0.248,5.7488
19.965,-0.2433,5.37
19.7582,-0.2304,5.1632
20.0568,-0.2288,5.4618
20.3081,-0.2264,5.7131
20.4773,-0.1557,5.8823
16.5361,-0.1471,1.9411
16.3829,-0.1406,1.7879
16.5051,-0.1338,1.9101
16.4081,-0.1335,1.8131
16.4136,-0.1327,1.8186
16.3103,-0.1309,1.7153
16.5054,-0.1283,1.9104
16.4319,-0.1274,1.8369
16.4031,-0.1272,1.8081
16.4016,-0.1245,1.8066
20.5775,-0.1201,5.9825
16.558,-0.1153,1.963
20.2802,-0.112,5.6852
16.1842,-0.1089,1.5892
16.3276,-0.1024,1.7326
16.2468,-0.0995,1.6518
16.1377,-0.0982,1.5427
16.1794,-0.0953,1.5844
16.3362,-0.0926,1.7412
16.1225,-0.0921,1.5275
15.9376,-0.0886,1.3426
15.7463,-0.0847,1.1513
19.3659,-0.0837,4.7709
19.7214,-0.0758,5.1264
15.8971,-0.0723,1.3021
15.9464,-0.072,1.3514
15.7529,-0.0701,1.1579
20.0972,-0.0682,5.5022
15.9665,-0.067,1.3715
16.5978,-0.065,2.0028
16.1347,-0.0646,1.5397
16.2377,-0.0625,1.6427
16.4524,-0.0606,1.8574
16.5897,-0.0571,1.9947
15.8189,-0.0513,1.2239
15.8939,-0.051,1.2989
16.2384,-0.0489,1.6434
16.2274,-0.0484,1.6324
19.922,-0.0443,5.327
20.5502,-0.0439,5.9552
15.8592,-0.0438,1.2642
15.9224,-0.0436,1.3274
16.6616,-0.0414,2.0666
20.3043,-0.0386,5.7093
15.8513,-0.036,1.2563
15.6036,-0.0352,1.0086
15.8378,-0.0348,1.2428
19.1542,-0.0324,4.5592
19.1916,-0.0314,4.5966
20.2221,-0.0301,5.6271
20.656,-0.0268,6.061
20.5715,-0.0265,5.9765
20.4936,-0.0261,5.8986
15.7369,-0.0208,1.1419
15.9025,-0.0198,1.3075
15.8479,-0.0144,1.2529
20.349,-0.0142,5.754
20.389,-0.0123,5.794
15.9477,-9.70E-03,1.3527
16.0062,-6.50E-03,1.4112
20.8623,-3.90E-03,6.2673
15.5895,-3.10E-03,0.9945
19.7675,-1.80E-03,5.1725
16.2918,-1.50E-03,1.6968
16.5415,3.00E-04,1.9465
15.7656,1.20E-03,1.1706
20.7328,3.80E-03,6.1378
15.8253,3.90E-03,1.2303
20.3348,6.20E-03,5.7398
16.0465,6.60E-03,1.4515
15.6534,0.01,1.0584
15.6989,0.0109,1.1039
16.0663,0.0118,1.4713
16.3845,0.0144,1.7895
15.6436,0.015,1.0486
20.5046,0.0172,5.9096
15.7363,0.0186,1.1413
20.3264,0.02,5.7314
15.3784,0.0213,0.7834
20.645,0.0221,6.05
15.9943,0.0242,1.3993
16.5427,0.0257,1.9477
15.1452,0.032,0.5502
16.2202,0.0325,1.6252
15.5962,0.0327,1.0012
16.2886,0.0368,1.6936
15.4836,0.0378,0.8886
19.874,0.0391,5.279
15.3728,0.0397,0.7778
15.6018,0.0408,1.0068
16.2409,0.0409,1.6459
15.2442,0.0409,0.6492
16.0407,0.0411,1.4457
18.4695,0.0444,3.8745
15.5289,0.0473,0.9339
15.7933,0.0475,1.1983
15.4689,0.0475,0.8739
16.2089,0.0496,1.6139
15.5034,0.0509,0.9084
16.2145,0.0514,1.6195
20.0036,0.0521,5.4086
15.5794,0.0534,0.9844
15.7035,0.0535,1.1085
15.5524,0.0538,0.9574
15.5079,0.0559,0.9129
19.5556,0.0573,4.9606
16.4615,0.0598,1.8665
20.7647,0.0603,6.1697
19.6732,0.0607,5.0782
19.9245,0.0628,5.3295
15.6172,0.0687,1.0222
15.3616,0.0704,0.7666
19.6304,0.073,5.0354
15.509,0.0752,0.914
15.4799,0.0783,0.8849
15.3631,0.0792,0.7681
18.243,0.0794,3.648
16.3893,0.0804,1.7943
15.4717,0.0826,0.8767
15.8874,0.0831,1.2924
15.5358,0.0832,0.9408
15.3972,0.0833,0.8022
15.5739,0.0852,0.9789
15.4399,0.0861,0.8449
15.625,0.0862,1.03
20.1325,0.0866,5.5375
15.3604,0.0874,0.7654
15.3207,0.0927,0.7257
19.9021,0.0929,5.3071
15.4951,0.0932,0.9001
19.666,0.0956,5.071
15.8486,0.0958,1.2536
15.4439,0.0972,0.8489
15.3332,0.0986,0.7382
15.369,0.0995,0.774
18.8856,0.1001,4.2906
19.7268,0.1093,5.1318
15.365,0.1114,0.77
20.6354,0.1117,6.0404
20.4629,0.1134,5.8679
16.5626,0.114,1.9676
16.5594,0.1153,1.9644
15.3042,0.1156,0.7092
15.3751,0.1159,0.7801
16.0109,0.1164,1.4159
19.1174,0.1183,4.5224
16.0828,0.1197,1.4878
20.6353,0.1208,6.0403
18.073,0.1232,3.478
