logTeff_30,logL_30,State_30
4.46197041,5.313529923,1
4.459108926,5.321498019,1
4.456213056,5.329265479,1
4.453286263,5.336857136,1
4.450332463,5.344291034,1
4.447353136,5.35157507,1
4.444360752,5.35880018,1
4.441223737,5.366218935,1
4.437851623,5.374100206,1
4.434471221,5.382081422,1
4.431105135,5.390297215,1
4.42781743,5.399088947,1
4.424868954,5.409158927,1
4.423961019,5.420662076,1
4.425990842,5.427959496,1
4.428897451,5.432113913,1
4.432018373,5.435050002,1
4.435198859,5.437466141,1
4.43839654,5.43963192,1
4.441587596,5.441660953,1
4.444752234,5.443652849,1
4.447877518,5.445660622,1
4.450949815,5.447715773,1
4.453956843,5.449840309,1
4.456889704,5.452035161,1
4.459742975,5.454296997,1
4.462512397,5.456607795,1
4.465201553,5.458966979,2
4.467809056,5.461337001,2
4.470344551,5.463703365,2
4.472814763,5.466020071,2
4.475218347,5.46826216,2
4.477561075,5.470361902,2
4.47983346,5.472206324,2
4.481985079,5.473744761,2
4.483844932,5.474813258,2
4.485178214,5.47511302,2
4.485130845,5.473929436,2
4.483180167,5.471357833,2
4.480417472,5.469086921,2
4.47729565,5.468127153,2
4.474202889,5.468928532,2
4.470970586,5.470194647,2
4.467614784,5.470926891,2
4.464026371,5.471131827,2
4.460490993,5.473834893,2
4.457147842,5.478568021,2
4.453954389,5.484786486,2
4.450857736,5.491746693,2
4.447799545,5.498722742,2
4.444798617,5.505596641,2
4.44205399,5.511475575,2
4.43988587,5.51374267,2
4.437753699,5.51227634,2
4.434779953,5.510255295,2
4.431805885,5.509180562,2
4.428603214,5.50848014,2
4.425300827,5.507976667,2
4.421967037,5.507715925,2
4.418563493,5.50740359,2
4.415107298,5.50710768,2
4.411652404,5.506917746,2
4.408171294,5.50687743,2
4.404674035,5.506759301,2
4.401083089,5.506103154,2
4.39755849,5.506406019,2
4.394051685,5.507401351,2
4.390542935,5.508753216,2
4.387032286,5.510264849,2
4.38352367,5.511817153,2
4.381563565,5.512604311,2
4.379605116,5.513365585,2
4.377646453,5.5140656,2
4.375686068,5.514697964,2
4.373726008,5.515260302,2
4.371764301,5.515747159,2
4.369801798,5.516160265,2
4.367839707,5.516507192,2
4.365875318,5.516786526,2
4.363909018,5.517007553,2
4.361942713,5.517179094,2
4.35997471,5.5173062,2
4.358003682,5.517396307,2
4.356035617,5.517459573,2
4.354061401,5.517498001,2
4.352084998,5.51751979,2
4.350106802,5.517529093,2
4.348127047,5.517529399,2
4.346145203,5.517524686,2
4.344160746,5.517517905,2
4.342177995,5.5175105,2
4.340192208,5.517504798,2
4.338201343,5.517501657,2
4.336210963,5.517502444,2
4.334217783,5.517507351,2
4.332224114,5.517517528,2
4.330228807,5.51753298,2
4.328234231,5.517553884,2
4.326235847,5.517578867,2
4.324236206,5.517609479,2
4.322234591,5.517644195,2
4.320234566,5.517685738,2
4.31823036,5.517729949,2
4.316225579,5.51777875,2
4.314219066,5.517831612,2
4.312211367,5.517888533,2
4.31020328,5.517950712,2
4.308194273,5.518015631,2
4.306183362,5.518084025,2
4.304170958,5.518155826,2
4.302156756,5.518229973,2
4.300142361,5.518309228,2
4.298125936,5.518389976,2
4.296109343,5.518476294,2
4.294090648,5.518564355,2
4.292071048,5.518656744,2
4.290049632,5.518748391,2
4.288029116,5.51885445,2
4.286004744,5.518952306,2
4.283979753,5.519059194,2
4.281953179,5.519167292,2
4.279925463,5.519279502,2
4.277896739,5.519398027,2
4.275866971,5.519521215,2
4.273835795,5.519646753,2
4.271804323,5.519782773,2
4.269770699,5.519914452,2
4.26773659,5.520058099,2
4.265702036,5.520211606,2
4.263666095,5.520366056,2
4.261629414,5.520528484,2
4.259591532,5.520689936,2
4.257553171,5.520864378,2
4.255513978,5.521042477,2
4.253474644,5.521238688,2
4.251434412,5.521432805,2
4.249393619,5.52163179,2
4.247352458,5.521839972,2
4.245310858,5.522052756,2
4.243268894,5.522276894,2
4.241226626,5.522506737,2
4.239184168,5.522747957,2
4.237141594,5.523002963,2
4.235098616,5.523253243,2
4.233055528,5.523518375,2
4.231012256,5.523785937,2
4.228968866,5.524059824,2
4.226925446,5.524348224,2
4.224881842,5.524635612,2
4.222838336,5.524949161,2
4.220794717,5.525261322,2
4.218750859,5.525553389,2
4.216707166,5.525881484,2
4.214663489,5.526221695,2
4.212619711,5.526556373,2
4.210575792,5.5268779,2
4.208531997,5.527225121,2
4.206488228,5.527582456,2
4.204444414,5.527938715,2
4.202400497,5.528284924,2
4.2003567,5.528654064,2
4.198312936,5.529032925,2
4.196269131,5.529410514,2
4.194225162,5.529768709,2
4.192181343,5.53015296,2
4.190137511,5.530540454,2
4.188093639,5.530927339,2
4.186049775,5.53132064,2
4.184005821,5.531706094,2
4.181961847,5.53209358,2
4.179917919,5.532492699,2
4.177873912,5.53288924,2
4.17582993,5.533295332,2
4.173785931,5.533706026,2
4.171741883,5.534118072,2
4.169697658,5.534513016,2
4.167653352,5.534901681,2
4.165608982,5.535286824,2
4.163564865,5.535723193,2
4.161520392,5.5361188,2
4.159475797,5.536503962,2
4.157431138,5.536887708,2
4.155386418,5.537277752,2
4.15334168,5.537679635,2
4.151296881,5.538087857,2
4.149251871,5.538479075,2
4.147206656,5.538844693,2
4.145161408,5.539221075,2
4.143116164,5.539622475,2
4.141070595,5.539984196,2
4.139025048,5.540382266,2
4.136979339,5.540771253,2
4.13493334,5.541109207,2
4.13288723,5.541457097,2
4.130841001,5.541816057,2
4.128794615,5.542184477,2
