logTeff_1,logL_1,Stage_1,logTeff_3,logL_3,Stage_3,logTeff_10,logL_10,Stage_10,logTeff_30,logL_30,Stage_30
3.758228479,0.055045417,1,3.980473979,2.123548645,1,4.302868789,3.98017831,1,4.46197041,5.313529923,1
3.758722099,0.062794318,1,3.978905138,2.129144961,1,4.301811377,3.985506074,1,4.459108926,5.321498019,1
3.759199746,0.070503938,1,3.977346311,2.134798563,1,4.30075614,3.990829086,1,4.456213056,5.329265479,1
3.759658157,0.078179478,1,3.975815904,2.140593179,1,4.299702967,3.996142499,1,4.453286263,5.336857136,1
3.760097572,0.085825979,1,3.974344182,2.146668648,1,4.298663839,4.001494431,1,4.450332463,5.344291034,1
3.760517539,0.093431175,1,3.97299006,2.153260221,1,4.297644145,4.006891378,1,4.447353136,5.35157507,1
3.760915259,0.100973061,1,3.971895366,2.160829591,1,4.296662968,4.012391065,1,4.444360752,5.35880018,1
3.761294352,0.108464028,1,3.971532257,2.170197739,1,4.295737875,4.01803059,1,4.441223737,5.366218935,1
3.761655007,0.115927875,1,3.972638142,2.180034334,1,4.294919739,4.023903452,1,4.437851623,5.374100206,1
3.761999761,0.123351604,1,3.974606668,2.18760687,1,4.294272209,4.030048866,1,4.434471221,5.382081422,1
3.762331423,0.130732772,1,3.976805383,2.193545054,1,4.293939965,4.036418107,1,4.431105135,5.390297215,1
3.762650653,0.138101414,1,3.97907189,2.198643042,1,4.293996738,4.042698814,1,4.42781743,5.399088947,1
3.762961682,0.145477622,1,3.981365772,2.203231507,1,4.294511219,4.048595216,1,4.424868954,5.409158927,1
3.763261516,0.152821656,1,3.98367091,2.207490564,1,4.295484782,4.053804149,1,4.423961019,5.420662076,1
3.763549318,0.160161716,1,3.985980062,2.211499187,1,4.296779292,4.058080365,1,4.425990842,5.427959496,1
3.763827008,0.167485468,1,3.988287702,2.215363629,1,4.298251044,4.061515002,1,4.428897451,5.432113913,1
3.764093141,0.174802897,1,3.990592507,2.219146954,1,4.299805358,4.064394648,1,4.432018373,5.435050002,1
3.764327573,0.182116324,1,3.992893663,2.222870647,1,4.30140096,4.066909627,1,4.435198859,5.437466141,1
3.764564243,0.189508109,1,3.995185875,2.226550132,1,4.303024435,4.069153928,1,4.43839654,5.43963192,1
