Vmag,Teff,Lithium,limit
-1.077,4727,0.08,1
-0.799,4790,0.17,1
-0.709,4811,0.19,1
-0.646,4826,0.25,1
2.444,5405,1.1,1
3.457,6206,1.72,1
-0.439,4873,0.19,0
-0.288,4905,0.5,0
-0.029,4955,0.82,0
0.024,4965,1.1,0
0.077,4975,1.04,0
0.09,4977,1.1,0
0.22,5002,1.16,0
0.229,5003,1.16,0
0.463,5044,1.08,0
0.528,5047,1.12,0
0.563,5049,1.1,0
0.65,5062,1.03,0
0.882,5144,1.04,0
0.951,5166,1.17,0
1.118,5174,1.21,0
1.126,5175,1.11,0
1.144,5180,1.14,0
1.245,5202,1.1,0
1.677,5254,1,0
1.718,5258,1.12,0
1.785,5269,1.11,0
1.803,5272,1.06,0
1.809,5273,1.13,0
1.839,5277,1.04,0
1.85,5279,1.08,0
1.863,5281,1.16,0
1.901,5288,1.12,0
1.966,5302,1.06,0
2.01,5311,1.22,0
2.084,5327,0.92,0
2.099,5330,0.92,0
2.118,5336,1.03,0
2.127,5338,1.24,0
2.144,5343,1.24,0
2.148,5344,0.98,0
2.193,5357,1.11,0
2.252,5373,1.27,0
2.261,5376,1.28,0
2.334,5394,1.28,0
2.368,5397,1.25,0
2.432,5404,1.13,0
2.467,5407,1.3,0
2.502,5412,1.25,0
2.519,5416,1.29,0
2.529,5418,1.29,0
2.621,5439,1.48,0
2.631,5441,1.09,0
2.657,5447,1.42,0
2.672,5450,1.25,0
2.691,5454,1.38,0
2.694,5455,1.5,0
2.71,5458,1.34,0
2.718,5460,1.38,0
2.744,5467,1.41,0
2.749,5469,1.39,0
2.758,5472,1.27,0
2.764,5474,1.29,0
2.821,5493,1.35,0
2.83,5496,1.27,0
2.853,5503,1.44,0
2.865,5507,1.52,0
2.889,5515,1.39,0
2.901,5519,1.45,0
2.906,5521,1.2,0
2.926,5527,1.54,0
2.926,5527,1.46,0
2.949,5537,1.54,0
2.965,5547,1.62,0
2.983,5558,1.4,0
2.988,5562,1.48,0
2.998,5568,1.59,0
2.999,5569,1.53,0
3.012,5577,1.51,0
3.014,5578,1.57,0
3.017,5580,1.57,0
3.035,5592,1.53,0
3.045,5598,1.68,0
3.063,5609,1.58,0
3.064,5610,1.59,0
3.065,5611,1.61,0
3.081,5621,1.69,0
3.083,5622,1.71,0
3.113,5641,1.7,0
3.133,5654,1.88,0
3.147,5671,1.86,0
3.158,5689,1.67,0
3.174,5715,1.98,0
3.175,5716,1.94,0
3.176,5718,1.88,0
3.182,5728,1.77,0
3.188,5738,1.97,0
3.191,5742,1.83,0
3.195,5749,1.97,0
3.196,5751,1.9,0
3.213,5778,2.05,0
3.219,5788,1.97,0
