MG,BP-RP,MG0,BP-RP0
17.548367,1.252853,5.820266054,1.137593255
15.048946,0.874293,3.320845054,0.759033255
15.307907,0.891043,3.579806054,0.775783255
15.36917,0.846997,3.641069054,0.731737255
17.851519,1.324444,6.123418054,1.209184255
10.05114,2.186167,-1.676960946,2.070907255
15.640878,0.912232,3.912777054,0.796972255
17.320715,0.991406,5.592614054,0.876146255
14.969955,0.880022,3.241854054,0.764762255
16.298147,0.987466,4.570046054,0.872206255
17.269754,1.184601,5.541653054,1.069341255
16.599808,1.029094,4.871707054,0.913834255
16.79861,1.11355,5.070509054,0.998290255
17.028887,1.135689,5.300786054,1.020429255
15.550554,0.902081,3.822453054,0.786821255
17.590862,1.248835,5.862761054,1.133575255
17.279188,1.177088,5.551087054,1.061828255
14.942824,1.165386,3.214723054,1.050126255
15.831078,0.888673,4.102977054,0.773413255
15.649022,0.894225,3.920921054,0.778965255
15.619576,1.214749,3.891475054,1.099489255
14.839127,0.910327,3.111026054,0.795067255
14.795229,0.911431,3.067128054,0.796171255
16.91289,1.094965,5.184789054,0.979705255
17.527727,1.28179,5.799626054,1.166530255
16.270048,0.992285,4.541947054,0.877025255
15.355145,0.896319,3.627044054,0.781059255
17.834637,1.405622,6.106536054,1.290362255
14.878616,1.077609,3.150515054,0.962349255
17.718784,1.335312,5.990683054,1.220052255
12.34406,1.385309,0.615959054,1.270049255
15.814697,0.879529,4.086596054,0.764269255
15.900348,0.915418,4.172247054,0.800158255
16.753754,1.149336,5.025653054,1.034076255
16.046436,0.925188,4.318335054,0.809928255
15.846668,0.841641,4.118567054,0.726381255
16.735209,1.047474,5.007108054,0.932214255
17.887205,1.298601,6.159104054,1.183341255
17.055,1.121609,5.326899054,1.006349255
15.712763,0.883705,3.984662054,0.768445255
16.741003,1.086712,5.012902054,0.971452255
17.226868,1.235708,5.498767054,1.120448255
14.877585,1.066147,3.149484054,0.950887255
17.363714,1.357563,5.635613054,1.242303255
17.34552,1.171408,5.617419054,1.056148255
17.131388,1.260534,5.403287054,1.145274255
17.845852,1.615362,6.117751054,1.500102255
16.39652,1.000547,4.668419054,0.885287255
17.394642,1.225431,5.666541054,1.110171255
13.185721,1.31784,1.457620054,1.202580255
12.150776,1.360139,0.422675054,1.244879255
16.583132,1.076132,4.855031054,0.960872255
13.974292,1.27621,2.246191054,1.160950255
17.856623,1.388937,6.128522054,1.273677255
15.624954,0.928437,3.896853054,0.813177255
16.407948,1.032856,4.679847054,0.917596255
14.850134,0.903493,3.122033054,0.788233255
17.396574,1.232613,5.668473054,1.117353255
17.601017,1.302534,5.872916054,1.187274255
15.336721,0.898161,3.608620054,0.782901255
16.718126,1.070299,4.990025054,0.955039255
17.155792,1.178612,5.427691054,1.063352255
15.933228,0.934315,4.205127054,0.819055255
15.83839,0.925576,4.110289054,0.810316255
17.553396,1.322149,5.825295054,1.206889255
15.337397,0.898949,3.609296054,0.783689255
16.899559,1.109411,5.171458054,0.994151255
17.242817,1.242136,5.514716054,1.126876255
16.439154,0.993924,4.711053054,0.878664255
11.07467,1.79569,-0.653430946,1.680430255
16.568308,1.077395,4.840207054,0.962135255
15.229193,0.880092,3.501092054,0.764832255
15.550154,0.93419,3.822053054,0.818930255
15.273831,0.902785,3.545730054,0.787525255
14.818305,1.018868,3.090204054,0.903608255
15.930809,1.060192,4.202708054,0.944932255
15.219144,0.899899,3.491043054,0.784639255
17.008215,1.145697,5.280114054,1.030437255
15.89559,0.942457,4.167489054,0.827197255
16.349789,0.982828,4.621688054,0.867568255
17.309294,1.195147,5.581193054,1.079887255
16.384453,1.071536,4.656352054,0.956276255
16.938446,1.103964,5.210345054,0.988704255
16.394426,0.996933,4.666325054,0.881673255
17.759956,1.367802,6.031855054,1.252542255
15.875793,0.907515,4.147692054,0.792255255
15.535738,0.923466,3.807637054,0.808206255
17.855726,1.338697,6.127625054,1.223437255
15.011875,0.816124,3.283774054,0.700864255
14.372907,1.24918,2.644806054,1.133920255
15.825535,0.959928,4.097434054,0.844668255
16.120396,1.047378,4.392295054,0.932118255
15.560734,0.933107,3.832633054,0.817847255
17.15421,1.155315,5.426109054,1.040055255
