MG,BP-RP0,MG0
17.998228,3.033121,11.648228
15.805969,2.528612,9.455969
16.564083,2.784516,10.214083
16.675661,2.79921,10.325661
16.92783,2.746878,10.57783
17.306372,3.087177,10.956372
14.526263,1.954389,8.176263
14.43742,1.978498,8.08742
9.814334,0.62742,3.464334
15.08069,2.213951,8.73069
13.266846,1.461727,6.916846
17.949108,2.913151,11.599108
11.503157,0.927423,5.153157
14.345362,1.860087,7.995362
13.927447,1.714271,7.577447
12.319331,1.136819,5.969331
17.535246,2.94294,11.185246
12.636957,1.242955,6.286957
17.083097,3.03122,10.733097
15.176469,2.184048,8.826469
15.473185,2.320899,9.123185
10.261184,0.707566,3.911184
14.880089,2.170081,8.530089
15.74826,2.5572,9.39826
14.349368,1.897286,7.999368
13.055716,1.408139,6.705716
10.735033,0.767685,4.385033
16.745358,2.732642,10.395358
14.989451,2.473033,8.639451
14.844673,2.090165,8.494673
14.684579,2.013641,8.334579
11.713224,1.18783,5.363224
17.299139,2.891325,10.949139
16.785307,3.003421,10.435307
15.536804,2.423987,9.186804
15.936785,2.446178,9.586785
17.006727,2.906267,10.656727
16.078579,2.485103,9.728579
11.453332,0.94496,5.103332
11.377359,1.02168,5.027359
9.027759,0.481041,2.677759
14.752681,2.041262,8.402681
13.926704,1.713923,7.576704
17.857454,3.096218,11.507454
12.051959,1.070989,5.701959
13.248028,1.427448,6.898028
10.114675,0.698825,3.764675
17.48967,2.868193,11.13967
17.289211,3.000633,10.939211
10.665988,0.771448,4.315988
17.073936,3.04297,10.723936
15.544751,2.42088,9.194751
16.529835,2.788426,10.179835
15.829994,2.49927,9.479994
17.614622,3.004021,11.264622
15.763354,2.40859,9.413354
16.408344,2.772201,10.058344
13.162781,1.421666,6.812781
15.887369,2.715938,9.537369
16.125387,2.510368,9.775387
13.34352,1.476481,6.99352
13.486948,1.542989,7.136948
16.054152,2.601266,9.704152
16.083649,2.539896,9.733649
14.245193,2.124904,7.895193
17.634932,2.936586,11.284932
12.77134,1.298164,6.42134
17.477577,3.02121,11.127577
15.793995,2.50689,9.443995
15.931406,2.501775,9.581406
16.570196,2.836025,10.220196
13.470006,1.588004,7.120006
14.711002,2.010682,8.361002
14.976298,2.345115,8.626298
16.939386,2.970224,10.589386
16.658535,2.806791,10.308535
15.907125,2.83137,9.557125
15.477041,2.329517,9.127041
14.474058,1.925845,8.124058
12.129682,1.11101,5.779682
14.082102,1.78942,7.732102
12.425856,1.171486,6.075856
17.708584,3.032787,11.358584
15.243824,2.221177,8.893824
16.113047,2.639792,9.763047
15.488722,2.430269,9.138722
14.254088,1.865837,7.904088
12.50592,1.142579,6.15592
17.858948,2.953037,11.508948
13.275563,1.59077,6.925563
13.376653,1.533624,7.026653
10.580589,0.754297,4.230589
16.209085,2.815957,9.859085
10.531589,0.757409,4.181589
16.832762,2.702902,10.482762
17.658617,2.973541,11.308617
6.681441,0.286998,0.331441
13.590301,1.617579,7.240301
14.521798,1.960067,8.171798
15.851398,2.458611,9.501398
16.206055,2.839772,9.856055
15.651371,2.492151,9.301371
13.090208,1.393134,6.740208
17.400303,2.822199,11.050303
11.645328,0.966403,5.295328
9.687124,0.644134,3.337124
12.026661,1.090252,5.676661
15.789783,2.3501,9.439783
15.439257,2.483363,9.089257
13.370219,1.554624,7.020219
15.440974,2.597344,9.090974
14.138555,1.830483,7.788555
16.8183,2.845056,10.4683
16.169046,2.518543,9.819046
16.733366,2.960094,10.383366
17.963413,3.083418,11.613413
12.850705,1.340773,6.500705
17.136406,2.983935,10.786406
17.15942,2.930614,10.80942
15.408853,2.600992,9.058853
11.260693,0.890063,4.910693
12.637868,1.244275,6.287868
14.99484,2.225618,8.64484
16.84337,2.925753,10.49337
16.030308,2.535758,9.680308
15.861176,2.451791,9.511176
17.683899,3.054661,11.333899
10.246216,0.855911,3.896216
16.358843,2.758551,10.008843
17.41185,2.922117,11.06185
17.659216,2.903608,11.309216
16.876245,2.905495,10.526245
17.46631,2.919962,11.11631
12.885399,1.328458,6.535399
17.681456,3.017155,11.331456
17.526632,2.99085,11.176632
9.078867,0.520556,2.728867
15.129478,2.202479,8.779478
15.602067,2.370339,9.252067
17.531176,2.935581,11.181176
17.333862,2.954346,10.983862
