MG,BP-RP,MG0,BP-RP0
0,0,-6.239483696,1.036406213
0,0,-6.454412358,1.336010681
0,0,-6.395047465,1.488347931
0,0,-5.866829281,1.823850033
0,0,-6.359142158,1.871109651
0,0,-5.350323898,2.338522882
0,0,-5.472889283,2.686188638
14.073245,0.68929,0.782925,-0.0321
13.452291,0.551614,0.161971,-0.169776
15.154001,0.773092,1.863681,0.051702
13.142543,0.587497,-0.147777,-0.133893
15.18732,0.861335,1.897,0.139945
13.590285,0.894821,0.299965,0.173431
14.923219,0.931167,1.632899,0.209777
15.217305,0.930553,1.926985,0.209163
13.24531,0.635096,-0.04501,-0.086294
15.004911,0.754681,1.714591,0.033291
12.765909,0.523849,-0.524411,-0.197541
14.685671,0.659418,1.395351,-0.061972
11.982861,0.486719,-1.307459,-0.234671
14.313868,0.859275,1.023548,0.137885
14.384785,0.689681,1.094465,-0.031709
14.737293,0.646494,1.446973,-0.074896
16.079195,1.186564,2.788875,0.465174
14.59468,0.742792,1.30436,0.021402
13.974691,0.72622,0.684371,4.83E-03
13.096244,0.450089,-0.194076,-0.271301
13.789,0.619335,0.49868,-0.102055
14.201246,0.894196,0.910926,0.172806
12.67763,0.593271,-0.61269,-0.128119
15.451423,0.94919,2.161103,0.2278
14.220988,0.593718,0.930668,-0.127672
14.107393,0.765889,0.817073,0.044499
14.78977,0.796349,1.49945,0.074959
13.538053,0.76811,0.247733,0.04672
8.102315,0.462356,-5.188005,-0.259034
14.315051,0.786272,1.024731,0.064882
14.281086,0.687709,0.990766,-0.033681
14.146179,0.623529,0.855859,-0.097861
15.342086,0.898018,2.051766,0.176628
16.040314,1.177141,2.749994,0.455751
14.937589,0.703696,1.647269,-0.017694
14.177405,0.790137,0.887085,0.068747
10.818704,0.343258,-2.471616,-0.378132
14.310023,0.71078,1.019703,-0.01061
14.93536,0.881181,1.64504,0.159791
13.314292,0.618478,0.023972,-0.102912
13.777461,0.576819,0.487141,-0.144571
15.710233,1.018188,2.419913,0.296798
14.263136,0.64777,0.972816,-0.07362
15.443658,0.924619,2.153338,0.203229
13.388319,0.585615,0.097999,-0.135775
13.77245,0.608387,0.48213,-0.113003
14.071886,0.677823,0.781566,-0.043567
15.384028,0.91634,2.093708,0.19495
15.118394,0.79508,1.828074,0.07369
14.058225,0.755205,0.767905,0.033815
16.073011,1.201093,2.782691,0.479703
9.268651,0.428896,-4.021669,-0.292494
15.333767,0.950067,2.043447,0.228677
13.250005,0.636238,-0.040315,-0.085152
14.568993,0.901928,1.278673,0.180538
14.296546,0.710796,1.006226,-0.010594
15.625792,0.990378,2.335472,0.268988
15.048333,0.814323,1.758013,0.092933
15.234728,0.911587,1.944408,0.190197
15.898312,1.074964,2.607992,0.353574
16.259676,1.316024,2.969356,0.594634
15.122993,0.892427,1.832673,0.171037
12.984399,0.61068,-0.305921,-0.11071
14.135275,0.729838,0.844955,8.45E-03
13.398417,0.768115,0.108097,0.046725
13.441381,0.66272,0.151061,-0.05867
10.398611,0.525861,-2.891709,-0.195529
15.291253,0.876001,2.000933,0.154611
14.967343,0.820777,1.677023,0.099387
15.150147,0.795106,1.859827,0.073716
14.927319,0.816509,1.636999,0.095119
16.047735,1.449679,2.757415,0.728289
14.694284,0.689589,1.403964,-0.031801
14.379619,0.682583,1.089299,-0.038807
14.379376,0.700567,1.089056,-0.020823
14.784365,0.808292,1.494045,0.086902
14.428823,0.670837,1.138503,-0.050553
13.456187,0.593766,0.165867,-0.127624
16.108093,1.176889,2.817773,0.455499
15.255136,0.922574,1.964816,0.201184
14.24123,0.569008,0.95091,-0.152382
13.973351,0.63406,0.683031,-0.08733
13.90922,0.573304,0.6189,-0.148086
15.329485,1.148716,2.039165,0.427326
12.713078,0.550736,-0.577242,-0.170654
13.526464,0.762424,0.236144,0.041034
13.098839,0.712508,-0.191481,-8.88E-03
15.438473,0.967844,2.148153,0.246454
15.905412,1.090116,2.615092,0.368726
14.446338,0.822293,1.156018,0.100903
15.294785,0.9264,2.004465,0.20501
14.169919,0.777673,0.879599,0.056283
13.126696,0.545561,-0.163624,-0.175829
14.517685,0.868368,1.227365,0.146978
14.064429,0.706291,0.774109,-0.015099
15.217031,0.834761,1.926711,0.113371
14.67579,0.847304,1.38547,0.125914
15.305505,0.985458,2.015185,0.264068
16.363937,1.270001,3.073617,0.548611
15.108623,0.841838,1.818303,0.120448
12.156569,0.649372,-1.133751,-0.072018
12.470313,0.479749,-0.820007,-0.241641
15.41881,0.919939,2.12849,0.198549
13.186707,0.484227,-0.103613,-0.237163
12.941088,0.735668,-0.349232,0.014278
13.132879,0.527531,-0.157441,-0.193859
16.373512,1.414269,3.083192,0.692879
16.328594,1.474514,3.038274,0.753124
14.834654,0.754462,1.544334,0.033072
15.490734,0.991647,2.200414,0.270257
14.837276,0.716678,1.546956,-4.71E-03
13.694643,0.717194,0.404323,-4.20E-03
10.588058,0.502447,-2.702262,-0.218943
14.361697,0.588469,1.071377,-0.132921
10.264087,0.479268,-3.026233,-0.242122
12.780875,0.540828,-0.509445,-0.180562
12.999084,0.414984,-0.291236,-0.306406
14.031345,0.667376,0.741025,-0.054014
13.689549,0.637438,0.399229,-0.083952
14.000797,0.583537,0.710477,-0.137853
13.207363,0.452356,-0.082957,-0.269034
16.300808,1.455567,3.010488,0.734177
16.017775,1.215067,2.727455,0.493677
11.535039,0.445566,-1.755281,-0.275824
11.367433,0.525286,-1.922887,-0.196104
16.67037,1.302001,3.38005,0.580611
11.19454,0.692843,-2.09578,-0.028547
14.517432,0.871743,1.227112,0.150353
15.034161,0.821597,1.743841,0.100207
13.409696,0.642958,0.119376,-0.078432
15.016595,0.862205,1.726275,0.140815
12.585402,0.572517,-0.704918,-0.148873
15.646877,1.026944,2.356557,0.305554
13.897768,0.718805,0.607448,-2.58E-03
15.632248,0.967706,2.341928,0.246316
15.130234,0.806224,1.839914,0.084834
15.39435,0.955869,2.10403,0.234479
14.225606,0.688636,0.935286,-0.032754
13.761147,0.571321,0.470827,-0.150069
15.652763,0.931778,2.362443,0.210388
14.692832,0.760633,1.402512,0.039243
15.25061,0.95064,1.96029,0.22925
10.979244,0.433031,-2.311076,-0.288359
8.355086,0.605309,-4.935234,-0.116081
14.812568,0.755709,1.522248,0.034319
15.167679,0.777775,1.877359,0.056385
14.734644,0.760535,1.444324,0.039145
13.250859,0.639314,-0.039461,-0.082076
13.191791,0.735992,-0.098529,0.014602
14.736835,0.842018,1.446515,0.120628
14.202146,0.654248,0.911826,-0.067142
14.837726,0.6625,1.547406,-0.05889
16.739567,1.392709,3.449247,0.671319
12.523183,0.619685,-0.767137,-0.101705
12.98807,0.58445,-0.30225,-0.13694
14.841224,0.720616,1.550904,-7.74E-04
16.11333,1.334438,2.82301,0.613048
13.714511,0.577245,0.424191,-0.144145
15.388432,1.005596,2.098112,0.284206
14.471223,0.774453,1.180903,0.053063
12.168809,0.44968,-1.121511,-0.27171
15.286654,0.899235,1.996334,0.177845
14.540841,0.655651,1.250521,-0.065739
14.753518,0.706537,1.463198,-0.014853
15.852049,1.142112,2.561729,0.420722
15.724185,1.147144,2.433865,0.425754
14.692457,0.852315,1.402137,0.130925
14.05429,0.755041,0.76397,0.033651
16.54154,1.614976,3.25122,0.893586
14.644902,0.785128,1.354582,0.063738
15.155363,0.799806,1.865043,0.078416
15.646639,0.941294,2.356319,0.219904
13.539215,0.693172,0.248895,-0.028218
13.838891,0.665896,0.548571,-0.055494
14.629354,0.770005,1.339034,0.048615
15.191295,0.898189,1.900975,0.176799
14.284006,0.817364,0.993686,0.095974
14.98203,0.683326,1.69171,-0.038064
16.438469,1.416846,3.148149,0.695456
15.336162,0.894255,2.045842,0.172865
13.646791,0.614552,0.356471,-0.106838
16.402828,1.234244,3.112508,0.512854
16.296267,1.075953,3.005947,0.354563
16.303036,1.282598,3.012716,0.561208
12.277204,0.532137,-1.013116,-0.189253
15.588414,0.973768,2.298094,0.252378
15.725924,1.134934,2.435604,0.413544
16.813847,1.30154,3.523527,0.58015
15.093505,0.829053,1.803185,0.107663
13.56107,0.781848,0.27075,0.060458
16.194168,1.246779,2.903848,0.525389
16.096045,1.243094,2.805725,0.521704
14.788864,0.756544,1.498544,0.035154
15.131225,1.027931,1.840905,0.306541
15.879901,1.174969,2.589581,0.453579
13.517262,0.606336,0.226942,-0.115054
14.501112,0.688271,1.210792,-0.033119
15.539561,0.911006,2.249241,0.189616
14.779912,0.805887,1.489592,0.084497
15.743211,1.106715,2.452891,0.385325
16.11802,1.168766,2.8277,0.447376
13.000031,0.746882,-0.290289,0.025492
15.365124,0.923347,2.074804,0.201957
11.56899,0.532047,-1.72133,-0.189343
16.062855,1.168355,2.772535,0.446965
15.647054,0.92499,2.356734,0.2036
15.003252,1.05482,1.712932,0.33343
12.742118,0.550051,-0.548202,-0.171339
15.042767,0.848902,1.752447,0.127512
14.210698,0.791742,0.920378,0.070352
14.813823,0.861142,1.523503,0.139752
15.035222,0.93048,1.744902,0.20909
15.478745,0.998761,2.188425,0.277371
13.630214,0.672493,0.339894,-0.048897
16.743284,1.576445,3.452964,0.855055
14.704161,0.818352,1.413841,0.096962
13.416924,0.483825,0.126604,-0.237565
13.80048,0.748697,0.51016,0.027307
16.081728,1.299075,2.791408,0.577685
