#
# White Dwarf final and initial masses
# Cummings et al. 2018, ApJ, 866, 21
# Table 1 - converted from ApJ ASCII into a machine readable format
#
# Units:
#  Teff  -  K
#  tcool - Myr
#  M_x   - Msun
#  initial mass estimates: P = PARSEC isochrones, M = MESA isochrones
#
starID            Teff  errT  log_g  errlg  M_f    errMf  tcool etm   etp  M_iP    eMiPm   eMiPp   M_iM   eMiMm   eMiMp   SN
NGC2099-WD10      19250  500  8.160  0.084  0.717  0.049  115   21    23   2.99    0.04    0.05   3.03    0.05    0.06   43      
NGC2099-WD13      20250  850  8.526  0.126  0.949  0.078  199   47    58   3.19    0.12    0.19   3.25    0.13    0.20   30      
NGC2099-WD16      17150  850  8.334  0.144  0.823  0.092  230   59    75   3.29    0.17    0.29   3.35    0.18    0.31   24      
NGC2099-WD17      18000  950  8.571  0.154  0.974  0.092  302   82    102  3.57    0.31    0.64   3.64    0.33    0.70   25      
Prae_WD0833+194   14500  300  8.325  0.042  0.813  0.027  364   30    33   3.40    0.10    0.12   3.51    0.10    0.12  173     
Prae_WD0836+199   14900  300  8.351  0.043  0.830  0.028  352   31    34   3.36    0.10    0.12   3.41    0.10    0.12  130     
Prae_WD0837+185   14750  350  8.413  0.046  0.870  0.029  402   39    42   3.54    0.14    0.19   3.65    0.14    0.19  140     
Prae_WD0837+199   17200  200  8.230  0.040  0.757  0.025  190   15    16   2.96    0.03    0.03   3.02    0.03    0.03  216     
Prae_WD0840+190   14800  400  8.452  0.047  0.895  0.030  425   44    48   3.64    0.18    0.25   3.76    0.17    0.26  106     
Prae_WD0840+200   16050  200  8.226  0.042  0.752  0.027  233   18    19   3.05    0.04    0.04   3.12    0.04    0.05  134     
Prae_WD0843+184   14850  300  8.456  0.043  0.898  0.028  423   41    38   3.63    0.17    0.19   3.75    0.16    0.20  173     
NGC6121-WD00      20900  500  7.771  0.076  0.507  0.036   35   4     6    0.87    0.01    0.01   0.83    0.01    0.01   49      
NGC6121-WD04      25450  550  7.776  0.074  0.522  0.034   16   1     1    0.87    0.01    0.01   0.83    0.01    0.01   64      
NGC6121-WD05      28850  500  7.767  0.072  0.527  0.032   10   0.6   0.6  0.87    0.01    0.01   0.83    0.01    0.01   78      
NGC6121-WD06      26350  500  7.903  0.069  0.587  0.035   15   1     3    0.87    0.01    0.01   0.83    0.01    0.01   56      
NGC6121-WD15      24600  600  7.887  0.081  0.574  0.041   19   2     5    0.87    0.01    0.01   0.83    0.01    0.01   47      
NGC6121-WD20      21050  550  7.792  0.084  0.517  0.040   34   4     7    0.87    0.01    0.01   0.83    0.01    0.01   44      
NGC6121-WD24      26250  500  7.789  0.069  0.530  0.032   14   0.9   1    0.87    0.01    0.01   0.83    0.01    0.01   64      
NGC6819-6         21700  350  7.944  0.051  0.597  0.028   40   5     7    1.61    0.01    0.01   1.58    0.01    0.01   97      
NGC7789-5         31700  450  8.116  0.061  0.714  0.036    8   1     0.8  1.90    0.01    0.01   1.79    0.01    0.01   91      
NGC7789-8         24800  550  8.114  0.074  0.700  0.044   32   8     10   1.91    0.01    0.01   1.81    0.01    0.01   58      
NGC7789-11        20500  650  8.270  0.095  0.787  0.060  117   25    28   1.96    0.01    0.01   1.85    0.02    0.03   46      
NGC7789-14        21100 1000  7.987  0.144  0.619  0.080   52   18    28   1.92    0.01    0.02   1.82    0.01    0.01   24      
NGC1039-WD15      25900  500  8.58   0.07   0.990  0.044  103   17    19   5.81    0.46    0.71   5.42    0.36    0.51   66      
NGC1039-WD17      26050  350  8.61   0.05   1.005  0.028  108   12    13   5.95    0.35    0.47   5.53    0.27    0.34  135     
NGC1039-WDS2      31600  400  8.46   0.04   0.921  0.027   31   4     6    4.48    0.04    0.07   4.32    0.04    0.06  303     
NGC2099-WD2       22200  650  8.24   0.07   0.77   0.045   81   16    18   2.92    0.03    0.04   2.95    0.03    0.04   55      
NGC2099-WD5       18100  650  8.21   0.01   0.74   0.062  156   32    36   3.08    0.07    0.09   3.13    0.08    0.10   34      
NGC2099-WD6       16700  750  8.44   0.11   0.89   0.069  299   62    73   3.55    0.24    0.40   3.63    0.26    0.44   32      
NGC2099-WD9       16200  800  7.95   0.14   0.59   0.078  139   38    47   3.04    0.08    0.12   3.08    0.09    0.13   27      
NGC2099-WD18      24900  600  8.21   0.06   0.76   0.036   44   10    11   2.85    0.02    0.02   2.87    0.02    0.02   75      
NGC2099-WD21      16900  700  8.37   0.11   0.85   0.069  258   52    63   3.39    0.17    0.27   3.45    0.18    0.29   36      
NGC2099-WD24      18700  700  8.29   0.11   0.80   0.068  163   35    40   3.10    0.08    0.11   3.14    0.09    0.12   42      
