logT_1_zahb,logrho_1_zahb,logT_3_zahb,logrho_3_zahb,logT_10_zahb,logrho_10_zahb,logT_30_zahb,logrho_30_zahb,logT_1_heignite,logrho_1_heignite,logT_3_heignite,logrho_3_heignite,M_zams,logT_zams,logrho_zams,M_zahb,logT_zahb,logrho_zahb
3.657966265,-7.729601113,3.673413686,-7.656674865,3.588924453,-8.465534087,3.561038447,-9.077823629,3.479084239,-8.566946621,3.649101547,-7.848576071,1,7.132349807,1.898824371,1,8.067504332,4.319323038
3.657966684,-7.729598185,3.673414745,-7.656667453,3.58892446,-8.465534035,3.561038447,-9.077823629,3.479084239,-8.56694662,3.649101818,-7.848574168,3,7.389278324,1.637588907,3,8.051533355,4.472493877
3.657967223,-7.72959441,3.673416761,-7.656653346,3.588924483,-8.46553388,3.561038447,-9.077823628,3.479084239,-8.566946618,3.649102336,-7.848570546,10,7.512757862,1.006276483,10,8.165192478,3.468179247
3.657967927,-7.729589483,3.673420348,-7.656628243,3.588924533,-8.46553353,3.561038447,-9.077823626,3.47908424,-8.566946612,3.649103257,-7.8485641,30,7.593445853,0.585057589,30,8.271215334,2.692394767
3.657968796,-7.729583402,3.673427352,-7.656579237,3.588924601,-8.465533055,3.561038448,-9.077823619,3.479084243,-8.566946595,3.649105055,-7.848551517,,,,,,
3.657970099,-7.72957428,3.67344324,-7.656468106,3.588924686,-8.465532455,3.561038451,-9.077823598,3.479084247,-8.566946565,3.649109134,-7.848522975,,,,,,
3.657972706,-7.729556039,3.673468869,-7.656288943,3.58892479,-8.465531729,3.561038461,-9.077823532,3.479084252,-8.566946531,3.649115714,-7.848476946,,,,,,
3.657978574,-7.729514988,3.673510097,-7.656000999,3.588924962,-8.465530526,3.561038483,-9.077823377,3.479084261,-8.566946471,3.649126296,-7.84840293,,,,,,
3.657991819,-7.729422341,3.673569929,-7.655583718,3.588925202,-8.465528847,3.561038529,-9.077823055,3.479084273,-8.566946386,3.64914165,-7.848295579,,,,,,
3.658010053,-7.729294862,3.673652765,-7.655007125,3.588925591,-8.465526127,3.561038597,-9.07782258,3.47908429,-8.56694627,3.649162903,-7.848147074,,,,,,
3.65803351,-7.729130964,3.67376934,-7.654197933,3.588926314,-8.465521068,3.561038722,-9.077821703,3.479084312,-8.566946121,3.6491928,-7.847938327,,,,,,
3.658062194,-7.728930703,3.673935779,-7.653047065,3.588927388,-8.465513551,3.561038949,-9.077820115,3.479084345,-8.566945897,3.649235464,-7.847640766,,,,,,
3.658098119,-7.72868011,3.674275443,-7.650713575,3.588929289,-8.465500253,3.561039426,-9.077816772,3.479084388,-8.566945597,3.649322473,-7.847035018,,,,,,
3.658172288,-7.728163514,3.674803905,-7.647127469,3.588933132,-8.465473368,3.561040504,-9.077809229,3.479084455,-8.566945143,3.649457589,-7.84609766,,,,,,
3.658311952,-7.72719373,3.675552074,-7.642134194,3.588938836,-8.46543348,3.561042894,-9.077792507,3.479084544,-8.566944534,3.649648504,-7.844779484,,,,,,
3.658527046,-7.725707776,3.6771399,-7.631835284,3.588945449,-8.465387239,3.561045841,-9.077771887,3.479084678,-8.566943611,3.650052581,-7.84201231,,,,,,
3.658871142,-7.723349021,3.681079122,-7.607896895,3.588953551,-8.465330604,3.561050336,-9.077740447,3.479084858,-8.566942376,3.651048944,-7.835319011,,,,,,
