Mstar Mcore           Menv            Mconv
0.30  0.00000000E+00  3.00000000E-01  0.00000000
0.40  0.00000000E+00  2.32923387E-01  0.41769153
0.45  0.00000000E+00  1.83220803E-01  0.59284266
0.50  0.00000000E+00  1.46863072E-01  0.70627386
0.55  0.00000000E+00  1.18703225E-01  0.78417595
0.60  0.00000000E+00  9.72708923E-02  0.83788185
0.65  0.00000000E+00  8.11672754E-02  0.87512727
0.70  0.00000000E+00  6.93197571E-02  0.90097178
0.75  0.00000000E+00  6.04074739E-02  0.91945670
0.80  0.00000000E+00  5.39290555E-02  0.93258868
0.85  0.00000000E+00  4.85547219E-02  0.94287680
0.90  0.00000000E+00  4.23012285E-02  0.95299864
0.95  0.00000000E+00  3.54122774E-02  0.96272392
1.00  0.00000000E+00  2.81379357E-02  0.97186206
1.05  0.00000000E+00  2.07935721E-02  0.98019660
1.10  0.00000000E+00  1.38800215E-02  0.98738180
1.15  0.00000000E+00  8.03730762E-03  0.99301104
1.20  0.00000000E+00  3.92730139E-03  0.99672725
1.25  1.02999570E-02  1.61666970E-03  0.99870666
1.30  2.14354572E-02  5.52920397E-04  0.99957468
1.35  3.49093911E-02  1.51951182E-04  0.99988744
1.40  5.07336857E-02  2.73933728E-05  0.99998043

