 Mstar mL50  mR50
  0.10 0.077 0.442
  0.15 0.079 0.445
  0.20 0.078 0.448
  0.30 0.080 0.452
  0.35 0.083 0.454
  0.40 0.087 0.479
  0.50 0.085 0.580
  0.55 0.084 0.639
  0.60 0.084 0.696
  0.70 0.080 0.754
  0.80 0.081 0.782
  0.90 0.082 0.817
  1.00 0.083 0.856
  1.20 0.090 0.920
  1.30 0.089 0.955
  1.40 0.083 0.968
  1.50 0.078 0.974
  1.60 0.070 0.974
  1.80 0.062 0.972
  2.00 0.053 0.971
  3.00 0.036 0.965
  4.00 0.034 0.960
  5.00 0.032 0.954
  6.00 0.032 0.948
  8.00 0.033 0.940
 10.00 0.033 0.931
 20.00 0.036 0.909
 30.00 0.038 0.901
 40.00 0.039 0.898
 50.00 0.038 0.899
 60.00 0.040 0.905
 80.00 0.040 0.921
100.00 0.041 0.942
